Herr Präsident! Herzlichen Dank an den Kommissar für die Arbeit, die er geleistet hat.	Mr President, my thanks to the Commissioner for the work which he has carried out.
Natürlich beglückwünschen wir China und Taiwan, weil ich denke, wir sollten - wie meine Vorrednerin gesagt hat - uns freuen, dass China und Taiwan aufgenommen werden.	Of course we welcome China and Taiwan, because I think we should be pleased, as the previous speaker said, that China and Taiwan are joining.
Es werden eine ganz Menge Reformen angestoßen. Die Kommission weist mit Recht darauf hin.	A whole host of reforms is being initiated, as the Commission has rightly pointed out.
China wird im Übrigen eine Schlüsselposition im Rahmen der WTO einnehmen, und das wird auch zu erheblichen Veränderungen für die westlichen Länder führen.	For the rest, China will take up a key position within the WTO and this will also bring about considerable changes for the West.
Ich bin mir ziemlich sicher, dass die Kommission dadurch auch vor weiteren Herausforderungen stehen wird.	I am fairly certain that this will present the Commission with further challenges.
Wir unterstützen im Übrigen den Beitritt Chinas mit erheblichen finanziellen Mitteln, und ich glaube, wir sollten da noch mehr tun.	For the rest, we are supporting the accession of China with considerable funds and I think we should do more here.
Das Parlament wird das erste Mal befasst.	For the first time, Parliament has been consulted.
Auch das ist auf die hervorragende Zusammenarbeit mit der Kommission, aber natürlich auch mit dem Rat zurückzuführen.	This is a result of excellent collaboration with the Commission and, of course, with the Council.
Meinem Kollegen Gahrton möchte ich doch aber eines sagen: Es ist richtig, der WTO-Beitritt ist nicht unumstritten in China.	But I have one thing to say to Mr Gahrton: it is true that accession to the WTO is not without its opponents in China.
Nur meine ich, das in diesem Bericht so extrem überzubewerten und dann nicht gleichzeitig darauf zu vertrauen, dass China sehr wohl fähig ist, selbst zu bewerten, ob es in der Lage ist, mit dem Beitritt fertig zu werden, ist doch eine erhebliche Unterschätzung der chinesischen Kapazitäten.	But I think that to overemphasise this in the report without, at the same time, trusting in the fact that China is more than capable of evaluating whether or not it is in a position to cope with accession is to underestimate China's capabilities considerably.
Ich würde meinen, dass das Katastrophenszenarium, das Sie in Ihrem Bericht heraufbeschwören, doch zu einer extremen Übertreibung geführt hat.	I rather think that the doomsday scenario which you have conjured up in your report is highly exaggerated.
Ich würde mich freuen, wenn Sie in Zukunft diese Sachen etwas fairer und ausgewogener bewerten würden.	I would like to see you evaluate matters in a somewhat fairer and more balanced manner in the future.
