Ich begrüße die klare Mehrheit für die Entschließung zur Türkei.	I welcome the clear majority in favour of the resolution on Turkey.
Wir müssen der türkischen Regierung deutlich machen, dass der seit Jahren andauernde Reformstillstand Konsequenzen hat.	We need to make it clear to the Turkish Government that the standstill in the reform process that has lasted for years has consequences.
Insbesondere die Meinungs- und Pressefreiheit erleben herbe Rückschläge.	Freedom of expression and freedom of the press, in particular, have suffered severe setbacks.
Dies zeigt sich nicht zuletzt in dem aktuellen Vorgehen der türkischen Regierung gegen die Dogan-Mediengruppe.	This is especially evident in the current behaviour of the Turkish Government towards the Doğan Media Group.
Die geforderten, ruinösen Strafzahlungen wegen angeblicher Steuerhinterziehung sind unverhältnismäßig und gleichen einer Medienzensur!	The ruinous fines being demanded on account of alleged tax evasion are disproportionate and are tantamount to censorship of the media.
Bei der Religionsfreiheit gibt es trotz des neuen Stiftungsgesetzes keinerlei Fortschritte.	No progress has been made with regard to religious freedom, despite the new Law on Foundations.
Religiöse Minderheiten werden weiter diskriminiert und schikaniert.	Religious minorities continue to be discriminated against and harassed.
Ich bin froh, dass mein Vorschlag, die Türkei aufzufordern, die geplante Enteignung des Klosters St. Gabriel in Tur Abdin zurückzunehmen, im Entschließungsantrag berücksichtigt wurde.	I am pleased that my proposal to call on Turkey to retract its plans for the expropriation of the Monastery of St. Gabriel in Tur Abdin has been included in the motion for a resolution.
Außerdem fordern wir, dass die Türkei bei den Staudämmen des "Südanatolien-Projektes" die Natur- und Umweltstandards der EU einhält und die Rechte der betroffenen Bevölkerung respektiert.	We are also demanding that Turkey complies with the EU's ecological and environmental standards and respects the rights of the people affected in connection with the dams in the South-East Anatolia Project.
Die Türkei ist nicht auf dem Weg zur Erfüllung der Kopenhagener Kriterien, sondern entfernt sich immer mehr von unseren Grundwerten.	Rather than being on its way to meeting the Copenhagen criteria, Turkey is moving ever further away from our fundamental values.
Will die türkische Regierung die Republik eigentlich wirklich auf ein neues, demokratisches Fundament setzen?	Does the Turkish Government really want to set the Republic on a new democratic foundation?
Der Gerichtsprozess gegen die AK-Partei sowie das undurchsichtige Ergenekon-Verfahren zeichnen das Bild einer tief zerrissenen Gesellschaft, die weder Willens noch in der Lage ist sich der europäischen Herausforderung zu stellen.	The court procedure against the AK Party and the mysterious Ergenekon proceedings present a picture of a deeply divided society that is neither willing nor able to meet the challenges presented by the European Union.
Es ist deshalb an der Zeit, endlich konkret über die privilegierte Partnerschaft EU - Türkei zu sprechen!	It is therefore time we finally started talking specifically about a privileged partnership between the EU and Turkey.
