Natürlich, Herr Kollege, das kann ich Ihnen bestätigen.	Of course I can confirm that, Mr Lindqvist.
Ich habe das auch eben bereits beantwortet, indem ich darauf hingewiesen habe, daß ein Mitgliedstaat das Recht hat, aus Gründen des Verbraucherschutzes strengere Maßnahmen beizubehalten oder zu ergreifen, als sie auf Gemeinschaftsebene existieren.	And I have already answered that question by pointing out that a Member State has the right to maintain or introduce more stringent consumer protection measures than those that exist at Community level.
Das schließt natürlich solche Maßnahmen wie die, von denen Sie gesprochen haben, ein.	Naturally that includes measures such as those you mentioned.
Allerdings ist es so, daß dadurch kein Handelshemmnis entstehen darf und keine Wettbewerbsverzerrung.	However, this must not create any barriers to trade or distortion of competition.
Deshalb besteht hier die Regel, daß es der Kommission mitzuteilen ist, damit sie diese Frage prüfen kann.	Hence the rule that the Commission must be notified of any such measures so that it can examine that question.
Ich lese Ihnen aber gerne die entsprechende Passage aus dem Vertrag von Amsterdam noch einmal vor.	I am happy to read out the relevant passage from the Amsterdam Treaty again.
Es ist der Artikel 153, der frühere Artikel 129a, und hier ist es der Absatz 5, der lautet: Die nach Absatz 4 beschlossenen Maßnahmen hindern die einzelnen Mitgliedstaaten nicht daran, strengere Schutzmaßnahmen beizubehalten oder zu ergreifen.	It is the fifth paragraph of Article 153, former Article 129a, and it reads: 'Measures adopted pursuant to paragraph 4 shall not prevent any Member State from maintaining or introducing more stringent protective measures.
Diese Maßnahmen müssen mit diesem Vertrag vereinbar sein.	Such measures must be compatible with this Treaty.
Sie werden der Kommission mitgeteilt.	The Commission shall be notified of them.'
Das ist das, was ich Ihnen eben schon erläutert habe.	That is what I just explained to you.
Die Vereinbarkeit mit dem Vertrag bezieht sich auf die Frage der Handelshemmnisse und der Wettbewerbsfreiheit.	Compatibility with the Treaty relates to the question of barriers to trade and freedom of competition.
