Frau Präsidentin!	Madam President.
Sinn dieser Entschließung - soweit wir das verstehen - ist es allerdings auch zu zeigen, daß wir als Europäer immer dann eine besondere Verantwortung haben, wenn es um die Bestrafung der Verantwortlichen für Verbrechen in einer Diktatur geht.	The point about this resolution - as we understand it - is also to show that we as Europeans always have a particular responsibility for the punishment of those guilty of crimes under a dictatorship.
Der Übergang von der Diktatur zur Demokratie ist eine Entwicklung, die viele Länder in Europa durchgemacht haben.	Transition from a dictatorship to a democracy is a development which many countries in Europe have made.
Oft ging das nicht so einfach und auch nicht dadurch, daß man von heute auf morgen einfach die Form der Staatsführung ändert.	This has often not been easy, nor did it take place by simply altering the form of state government at a stroke.
Es geht also hier nicht um Rache, es geht auch nicht darum zu beweisen, daß vielleicht die neue Demokratie in Chile nicht stabil genug ist.	This is not a matter of revenge, therefore, nor of proving that perhaps the new democracy in Chile is not sufficiently stable.
Es ist jedoch notwendig, jene zu verfolgen und zu verurteilen, die für Verbrechen während einer Diktatur verantwortlich waren.	It is essential, however, to seek out and sentence those who were responsible for crimes during the dictatorship.
Der Übergang von einer Diktatur zur Demokratie ist immer auch Familiengeschichte.	Transition from dictatorship to democracy is always a bit of family history as well.
Meine Generation hat dies hier in Europa durchgemacht.	My generation has experienced that here in Europe.
Es geht um das Schicksal von Tätern und Opfern, die es selbst in der eigenen Familie gab und die man als Teil unserer Geschichte erkennen mußte.	It concerns the fate of perpetrators and victims who were part of one's own family and whom one has to acknowledge as part of our history.
Vielleicht hat erst die Erkenntnis dieser Entwicklungen in der eigenen Familie unsere Demokratien in Europa letzten Endes so stabil gemacht.	Perhaps it is only the recognition of this development in one's own family that has made our democracies in Europe so stable.
Deshalb ist die Verfolgung der Verantwortlichen eine Grundvoraussetzung für die Stabilität einer neuen Demokratie.	For this reason the prosecution those responsible is a basic requirement for the stability of a new democracy.
Eine Amnestie oder eine Verjährung ist kein Ausdruck von Großzügigkeit, sondern bewirkt letzten Endes eine Destabilisierung der demokratischen Zukunft von Chile.	An amnesty or statute of limitations is not an expression of generosity, but in the end would cause a destabilisation of Chile's democratic future.
Es geht hier nicht um Rache, sondern es geht um einen Prozeß, in dem bewiesen wird, daß eine Demokratie stark genug ist, nicht die, die damals nur mitgemacht haben, zu verurteilen, sondern jene, die konkret für Verbrechen verantwortlich waren.	This is not a matter of revenge, but of a process by which one proves that a democracy is strong enough to condemn, not those who simply carried out orders, but those who were specifically responsible for crimes.
Äthiopien	Ethiopia
