. – Herr Präsident!	.
Ich möchte mich auf die drei Kernpunkte dieser Richtlinie konzentrieren: die Rechtsgrundlage, das Kadmiumverbot und die Sammelziele.	Mr President, I would like to concentrate on the three core aspects of this directive, those being its legal basis, the ban on cadmium, and the collection targets.
Die Verringerung und Vermeidung von Abfall durch Batterien steht bei dieser Richtlinie im Vordergrund. Dabei darf nicht übersehen werden, dass es sich hier auch um ein Stück produktorientierter Gesetzgebung für den Binnenmarkt handelt.	This directive has as its priority objective the reduction and avoidance of waste batteries, but we cannot overlook the fact that it is also an example of product-oriented legislation for the internal market.
Die alleinige Rechtsgrundlage, Artikel 175, könnte zu unterschiedlichen Standards und damit zu Wettbewerbs- und Marktverzerrungen führen.	The fact that it has Article 175 as its sole legal basis could result in varying standards and hence in distortions of competition and of the market.
Deshalb unterstützen die Liberalen die doppelte Rechtsgrundlage von Artikel 95 und 175. Hiermit folgen wir auch der Empfehlung des Rechtsausschusses.	It is for that reason that the Liberals support Articles 95 and 175 as a dual legal basis, and in so doing we are doing as the Legal Affairs Committee has recommended.
Im Umweltausschuss wie auch im Rat ist ein Kadmium- und Quecksilberverbot nur für tragbare Batterien angenommen worden.	In both the Committee on the Environment, Public Health and Food Safety and the Council, a ban on cadmium and mercury was adopted only in relation to portable batteries.
Unsere Fraktion unterstützt keine weiteren Vermarktungsverbote und keine Ausdehnung des Kadmiumverbots auf andere Bereiche wie schnurlose Werkzeuge oder medizinische Geräte.	Our group is not in favour of there being any further bans on marketing or of the ban on cadmium being extended to, for example, tools without cables or medical equipment.
Natürlich gibt es für die viel zitierten Powertools Alternativen zu Nickel-Kadmium. Dies sage ich ganz besonders in Richtung von Herrn Schlyter und auch von Frau Westlund.	The example of power tools is always being quoted, and I will say now, particularly for the benefit of Mr Schlyter and also Mrs Westlund, that there are of course alternatives to nickel-cadmium available for those, but every kind of technology has its advantages and disadvantages.
Aber jede Technologie hat Vor- und Nachteile. Bei aufladbaren Batterien und Akkumulatoren, die ohnehin nur eine sehr geringe Abfallmenge ausmachen, müssen wir auch andere Eigenschaften im Auge behalten: die Energieeffizienz, die Lebensdauer und natürlich auch den Preis für den Verbraucher.	In the case of rechargeable batteries and accumulators, which amount in any case to only a very small quantity of waste, we have to consider other characteristics as well, such as energy efficiency, useful life and, of course, the price that the consumer has to pay for them.
Dass eine Alternative auf dem Markt verfügbar ist, bedeutet nicht automatisch, dass diese ein adäquates Substitut darstellt.	The presence of an alternative on the market does not necessarily mean that it is an adequate substitute.
Was den Stoff Kadmium konkret angeht, so liegt der Anteil an Kadmium, den wir in Europa über unsere Umwelt aufnehmen, deutlich unter dem, was die WHO als gesundheitsgefährdend betrachtet. Davon stammt übrigens nur etwa ein Prozent von Batterien.	The actual amount of cadmium that we in Europe absorb through our environment is considerably below the level regarded by the WHO as harmful to health, and it is worth noting that only about one per cent of it comes from batteries.
Lassen Sie mich zum Schluss noch zu den Sammelzielen kommen.	Let me conclude by considering the collection targets.
Die Ziele des Rates von 25 % nach sechs und 45 % nach zehn Jahren sind nicht sehr ambitioniert. Die 40 % bzw. 60 %, auf die wir uns im Ausschuss geeinigt haben, sind allerdings nicht realistisch.	The Council is not aiming very high with its targets of 25% after six years and 45% after ten, but it has to be said that the 40% and 60% respectively on which we agreed in the Committee are not realistic; the quotas in some Member States are under 10%.
In einigen Mitgliedstaaten liegen die Quoten bei unter 10 %. In Deutschland haben wir nach mehr als zehn Jahren intensiver Anstrengungen 35 % erreicht.	In Germany, over ten years of all-out effort have enabled us to achieve 35%.
Wichtig ist deshalb, dass wir die Sammelziele in sechs Jahren überprüfen. Dabei sollten wir auf die besten Erfahrungen in den Mitgliedstaaten zurückgreifen.	It follows that it is important that we review the collection targets in six years’ time and, in so doing, learn from the experience and best practice in the Member States.
Zum Schluss möchte ich noch auf die Verantwortung aller Beteiligten zu sprechen kommen: Wir dürfen einerseits die Sammelkosten nicht auf den Einzelhandel abwälzen, andererseits müssen wir die Händler beim Sammeln in die Pflicht nehmen!	Finally, I would like to emphasise that all stakeholders bear a responsibility for this; while we must not dump the costs of collection on the retail trade, we do have to oblige traders to collect!
