schriftlich. - Wer in einem Geschäft etwas mitgehen lässt, wird erwischt und bestraft.	Anyone who is involved in shoplifting will be caught and punished.
Aus dem EU-Fördertopf hingegen kann man fast ohne Risiko Millionen abzweigen.	In contrast, it is possible to divert millions of euro from the EU funding pot without running almost any risk at all.
Nicht nur dass die Wahrscheinlichkeit, erwischt zu werden, gering ist, selbst wenn endlich ein Betrug nachgewiesen werden kann, sind die Mitgliedstaaten kaum an gerichtlicher Verfolgung und Wiedereinziehung der Gelder interessiert.	It is not only that the likelihood of being discovered is small. Even when it is finally possible to prove that a fraud has been committed, the Member States are not interested in instituting legal proceedings and recovering the money.
Das großzügige Subventionswesen bleibt eine Einladung für Betrügereien und Unregelmäßigkeiten.	The generous subsidy system continues to lay itself open to fraud and irregularities.
Insbesondere in den östlichen und südlichen Mitgliedstaaten häufen sich die Betrugsfälle.	There are many cases of fraud, in particular, in the eastern and southern Member States.
Als besonders anfällig erweisen sich die Heranführungshilfen.	Pre-accession assistance funding has proved to be especially susceptible.
Im Fall der Türkei kommen die Heranführungshilfen nicht nur einem nicht-europäischen Land zugute, sondern versickern zum Teil auch in dunklen Kanälen.	In the case of Turkey, the pre-accession assistance is not only benefiting a non-European country, but is also, in some cases, disappearing into the pockets of corrupt officials.
Um weiteren Schaden für die Steuerzahler abzuwenden, muss klar Schiff gemacht werden.	In order to prevent taxpayers suffering further harm, we must clear the decks.
Der vorliegende Bericht ist nur ein Schritt in diese Richtung.	This report only represents one step in this direction.
Im Endeffekt ist bei weitem noch nicht sichergestellt, dass das Geld der europäischen Steuerzahler nicht in einem anderen EU-Staat oder gar in Regionen außerhalb der EU versickert.	Ultimately, it is unlikely to be able to guarantee that European taxpayers' money will not be siphoned off to another EU state or even to regions outside the EU.
Ich habe dementsprechend gestimmt.	I have voted accordingly.
