Frau Präsidentin, Frau Kommissarin, meine sehr geehrten Damen und Herren!	Madam President, Madam Commissioner, ladies and gentlemen.
Ich sehe im besonderen hier in diesem Bericht und in dem, was wir diskutieren, die Bereiche "Struktur und Agrarpolitik" auf dem Prüfstand stehen.	This report, and the matter under discussion, focuses attention on two particular areas, namely structure and agricultural policy.
Ich widerspreche Herrn Rack.	Here I must contradict Mr Rack.
Was nutzt eine Bewertung der Vergangenheit, ohne dabei auch Schlüsse zu ziehen für die folgenden Jahre?	What is the point of examining the past without also drawing conclusions for the future.
Herr Izquierdo Collado versucht, in die Zukunft gerichtet zu argumentieren, wohl wissend, daß die EU ständig in Bewegung ist und daß wir gerade jetzt vor gravierenden Veränderungen stehen, wenn wir die Erweiterungen in unsere Überlegungen miteinbeziehen wollen.	Mr Izquierdo Collado tries to train his argument on the future, knowing well that the EU is in constant flux and that we are right now faced with major changes if we are to include European enlargement in our considerations.
Es ist aber richtig, dies zu tun, denn eine Erweiterung wird kommen, und sie ist politisch notwendig und auch gewünscht.	Yet this approach is the correct one, since enlargement is coming and in political terms it is both necessary and desirable.
Es steht uns auch zu, nach den Kosten zu fragen.	We also have to ask how much this will cost.
Kann eine europäische Familie weiter so wirtschaften wie bisher, wenn für mehr Familienmitglieder gesorgt werden muß?	Can the European family continue to manage its affairs in the same way as before when it has to look after a number of new members?
Muß vielleicht das eine oder andere umgestaltet werden?	Is it not time for some reorganizing here and there?
Muß man sich vielleicht auch einschränken?	Should we also be tightening our belts?
Besitzstandsdenken ist da fehl am Platz.	Here talk of ownership is simply out of place.
Die Strukturfonds sind eingesetzt, um den ärmeren Regionen der EU eine Anpassung zu ermöglichen.	The structural fund has been introduced to enable the EU's poorer regions to adapt.
Ich gehe davon aus, daß sich diese Regionen bei effizientem Einsatz der Mittel im Laufe der Jahre auch anpassen können.	I am assuming here that these regions will in fact be able to adapt over a period of years by the efficient use of resources.
Es sind auch jetzt schon Erfolge aufzuzeigen.	There are in fact some early indications of success in this respect.
Wäre dies nicht so, wären diese Mittel falsch eingesetzt.	Were this not to be the case, then the resources in question will have been misappropriated.
Deshalb ist die jetzige Diskussion über höhere Eigenmittel einfach verfrüht.	It is simply premature to be discussing increased levels of self-generated resources.
Sicher müssen wir in fünf Jahren neu darüber nachdenken, neu überprüfen, dafür spreche ich mich, dafür spricht sich auch meine Fraktion aus.	Of course we will have to think about this again in five years time and review the situation. I advocate this, as does my group.
Für den Kohäsionsfonds gilt meines Erachtens das gleiche. Er wurde geschaffen, um den Mitgliedstaaten auf dem Weg zur Währungsunion zu helfen.	I believe that the same applies to the cohesion fund, which was set up to help Member States move towards monetary union.
Ist dies jedoch erreicht, hat der Kohäsionsfonds für meine Begriffe seine Aufgabe erfüllt.	When this has been achieved, then I would say that the cohesion fund will have fulfilled its role.
Sind weitere Hilfen notwendig, muß man über eine andere Möglichkeit nachdenken, vielleicht auch im Rahmen einer strukturellen Förderung.	Should further support be required, then we should consider some other arrangement, possibly also involving a structural aid scheme.
Wirtschaftlicher und sozialer Zusammenhalt läßt sich nicht nur in finanziellen Mitteln messen.	Economic and social cohesion cannot only be measured in terms of financial resources.
Es ist der Zusammenhalt, der auch von innen her kommen muß.	But cohesion must also come from within.
Ich bedauere, daß wir heute abend so wenig Positives sagen konnten, auch mir fehlt die Zeit.	I regret that we have had so few positive things to say this evening, but I too am running out of time.
Ich sage nur einen Satz: Die Strukturpolitik, die Regionalpolitik hat auch positive Erfolge gezeigt, und die sollten wir auch erwähnen!	Let me just say one final thing: structural policy and regional policy have both scored successes and that is something we should not forget.
