. Ich möchte mich dem Anliegen von Herrn Posselt anschließen.	I would like to take up the matter raised by Mr Posselt.
Die Formulierung des Präsidenten - und ich werde mir erlauben, auch in den Protokollen von heute morgen nachzusehen - war nicht so, dass der Präsident sich dem Anliegen des Antragstellers angeschlossen hat, sondern die Formulierung war: 'Hat das Haus irgendwelche Einwände?'	The President's phrasing - and I will take the liberty of checking the Minutes from this morning - did not imply that the President endorsed the proposer's concern. The phrasing was this: 'Does the House have any objectives?'
Das heißt, dass exakt der Fall, den die Geschäftsordnung nennt, nicht vorlag.	That means that the precise case described in the Rules of Procedure did not apply.
Ich weigere mich, hier in diesem Hause als Abgeordneter herumgestoßen zu werden wie eine Tomate, die im Landwirtschaftsausschuss als Überschuss behandelt wird.	As a Member of Parliament, I refuse to be passed around this House like a surplus tomato in the Committee on Agriculture and Rural Development.
Ich habe hier Gruppen, wir haben Einladungen, wir haben Termine.	I have groups to attend, we have invitations, and we have meetings.
Hier werden ständig Abstimmungen und andere Dinge, insbesondere am Donnerstag, verschoben.	Votes and other matters are constantly being postponed, especially on a Thursday.
Ich glaube nicht, dass wir uns lediglich auf Entscheidungen der Verwaltung, die dann im Endeffekt dem Präsidenten zugeflüstert werden, verlassen sollten.	I do not think that we should simply rely on decisions by the Administration which are ultimately whispered in the President's ear.
Wir haben auch Abstimmungen - da ist jeder Kollege von jeder Fraktion schon betroffen gewesen - wo ein Sternchen dransteht mit dem Hinweis 'Dieser Antrag ist gemäß Paragraph Sowieso irrecevable', deshalb wird nicht darüber abgestimmt.	We even have votes - every Member from every group has been affected by this - where there is an asterisk and a note saying 'This proposal is out of order under paragraph so and so', so no vote is taken.
Wer entscheidet denn in diesem Haus?	Who is making the decisions here?
Wir, die wir hier zu Ihnen schauen, sind die Abgeordneten der europäischen Unionsbürger.	We - the people looking at you - are the European Union's elected representatives.
Außer Ihnen - sehr verehrter Herr Präsident dort vorne - sind diejenigen, die zu uns schauen, diejenigen, die uns zuarbeiten müssen.	Apart from you, distinguished President at the front, the people looking at us are supposed to be reporting to us.
Zuarbeiten müssen heißt nicht bevormunden.	'Reporting to' does not mean making decisions for us.
Deshalb möchte ich die Anliegen des Kollegen Posselt ausdrücklich unterstützen!	I therefore fully support Mr Posselt on this issue.
