Herr Präsident, liebe Kolleginnen und Kollegen! Ich komme selbst aus Sachsen.	Mr President, honourable Members, I myself am from Saxony.
Mir fällt es sehr schwer, nicht noch einmal darzustellen, was passiert ist. Aber zwei Minuten Redezeit reichen dafür einfach nicht aus.	It pains me to even think about what has happened there and two minutes is far too little time in which to do so.
Am 12. August begann in Sachsen eine der größten Naturkatastrophen, die dieses Land je erlebt hat.	12 August marked the start of one of the worse natural disasters this country has ever known.
Um nur eine Zahl zu nennen: An diesem Tag regnete es im Erzgebirge in 24 Stunden 360 Liter pro Quadratmeter.	To give you just one statistic: on 12 August, the Erzgebirge had 360 litres of rain per square metre within 24 hours.
Ich glaube, manches Mitgliedsland wäre froh, wenn es ein Teil dieses Wassers im Sommer als Regen im Land hätte.	I think many a Member State would be quite happy with just a fraction of that rainfall in summer.
Die angeschwollenen Bäche und Flüsse rissen alles mit, was sich in den Weg stellte.	The swollen streams and rivers carried off everything in their path.
Tausende von Menschen verloren innerhalb von Stunden alles, was sie besaßen.	Thousands of people lost everything they owned within a few hours.
Händler und Gewerbetreibende verloren nicht nur ihre Läden und ihre Betriebe, sondern auch die gesamten Waren und die gesamten Materialien.	Retailers and tradesmen lost not just their shops and businesses but all their stock and materials.
Wahrscheinlich mussten 21 Menschen die Flut mit ihrem Leben bezahlen.	21 people are thought to have died in the floods.
Was nach dem Wasser bleibt, ist Zerstörung und Schlamm.	The floodwaters have receded and what are we left with: devastation and mud.
Eine erste Schadensbilanz für den Freistaat Sachsen weist Schäden an Infrastruktur und öffentlichen Gebäuden in Höhe von 16,5 Mrd. Euro aus.	Initial estimates put the damage to infrastructure and public buildings in Saxony Free State at EUR 16.5 billion.
Zum Vergleich: Der Jahreshaushalt des Freistaates Sachsen beträgt etwa 15. Mrd. Euro.	By way of comparison, the annual budget of Saxony Free State is around EUR 15 billion.
Auch in Sachsen-Anhalt müssen wir Schäden von ca. 2,1 Mrd. Euro beklagen. Ich nehme an, das wird nicht die Schlussrechnung sein.	Saxony-Anhalt is complaining of damage in the region of EUR 2.1 billion, although I think that the final bill will be higher.
Dringend ist Soforthilfe erforderlich.	Emergency help is urgently needed.
Die Bundesregierung hat reagiert. Sie wird innerhalb kürzester Zeit 10 Mrd. Euro für den Wiederaufbau zur Verfügung stellen.	The federal government has already reacted and will shortly be providing EUR 10 billion for reconstruction.
Aber auch die Europäische Union ist gefordert.	However, the European Union is also being called on to help.
Die ersten Reaktionen gibt es ja. Sie sind positiv aufgenommen worden.	It too has already reacted and this reaction has been welcomed.
Ich möchte an dieser Stelle aber deutlich sagen, dass das Herausgreifen von Strukturfondsmitteln, Vorziehen von Maßnahmen, nicht das Einzige bleiben kann.	But may I point out that, even if we single out the Structural Funds and give priority to certain measures, we cannot stop there.
Es darf auch danach kein Loch in der Strukturfondsförderung in den Ziel I-Gebieten in Ostdeutschland entstehen. Ich bitte darum, dass das in die Überlegung einbezogen wird.	There must be no let-up in subsequent Structural Fund support for Objective 1 areas in eastern Germany and I urge you to bear this in mind.
An dieser Stelle möchte ich ganz, ganz herzlich all denjenigen danken, die geholfen haben, aufzuräumen, die geholfen haben, das Wasser zu bekämpfen.	May I take this opportunity to thank everyone who has helped clear up and helped fight the floods.
Ich möchte eine Bitte auch an die Kommission richten, dass bei allen Überlegungen der Soforthilfe die Tschechische Republik und die Slowakei nicht vergessen werden.	I should also like to ask the Commission not to leave the Czech Republic and Slovakia out of its emergency aid plans.
Dort sind die Schäden enorm und die Möglichkeiten, die die Länder haben, vielleicht nicht ganz so groß, wie wir sie in den deutschen Bundesländern und in Österreich haben.	They have suffered enormous damage and are perhaps not as well-equipped as Germany or Austria.
