Herr Präsident! Die beiden Berichterstatter haben das Wesentliche eigentlich schon gesagt.	Mr President, the two rapporteurs have already mentioned the essential points.
Ich möchte den beiden recht herzlich danken für die ausführliche Darlegung erstens hier in diesem Haus und zweitens in ihren Berichten.	Many thanks to both of them for their detailed explanation, first here in the House and secondly in their reports.
Die Assoziierungsabkommen mit Chile und natürlich auch mit Mercosur haben für die Europäische Union einen hohen Stellenwert.	The association agreements with Chile and also of course with Mercosur are valued highly by the European Union.
Wir unterstützen deshalb die Kommission bei ihren Verhandlungen und bedauern natürlich auch, dass das Europäische Parlament noch nicht formell an der Festlegung des Verhandlungsmandats beteiligt ist.	Therefore we support the Commission in its negotiations and also regret of course that the European Parliament is not yet formally involved in the definition of negotiating mandates.
Zur Sache selbst, und ich spreche jetzt hier für den Ausschuss für Industrie, Außenhandel, Forschung und Energie, sind wir der Auffassung, dass die Freihandelszone, die wir gemeinsam mit Chile und auch mit Mercosur schaffen wollen, mit den WTO-Bestimmungen übereinstimmen muss.	Turning to the matter in hand itself, and I speak now on behalf of the Committee on Industry, External Trade, Research and Energy, we feel that the free trade area which we wish to establish with both Chile and Mercosur must conform to WTO rules.
Zum zweiten wollen wir, dass die regionalen Wirtschafts- und Handelsbeziehungen zwischen Chile und seinen Nachbarländern nicht Schaden leiden, sondern im Gegenteil gefördert werden.	Secondly, we do not want to damage the regional economic and trade relations between Chile and her neighbouring countries but rather to encourage these relations.
Im Übrigen empfiehlt sich Eile. Das ist auch von Herrn Salafranca Sánchez-Neyra gesagt worden.	This is a matter of urgency, a point also emphasised by Mr Salafranca Sánchez-Neyra.
Wir wollen nicht warten, bis die Verhandlungen der WTO-Runde abgeschlossen sind.	We do not want to wait until the round of WTO negotiations has been concluded.
Ich erinnere im Übrigen daran, dass die neue amerikanische Regierung Bush bereits angekündigt hat, die amerikanische Freihandelszone ALCA zu einem Schwerpunkt ihrer Außenbeziehungen zu machen.	Let me remind you as well that the new Bush administration in America has already announced its intention to make the Free Trade Area of the Americas (FTAA) a main focus of its external relations.
Da ergibt sich sofort die Frage: Wollen wir Lateinamerika den USA überlassen, sozusagen nach einer Art Arbeitsteilung - die USA kümmern sich um Lateinamerika, Europa kümmert sich dann um Osteuropa - oder wollen wir in Lateinamerika präsent sein?	The question then immediately arises: Do we want to leave Latin America to the United States, in a kind of division of tasks, whereby the United States takes care of Latin America and Europe takes care of Eastern Europe, or do we want some kind of presence in Latin America?
Ich glaube, es wäre weder in unserem Interesse noch im Interesse der Latinos, wenn es zu einer solchen Zweiteilung der Welt käme.	I feel that it would be neither in our interest nor in the interest of Latin Americans if the world were divided into two in this way.
Am Ende, glaube ich, sollte eine Regelung stehen, die die Integration des lateinamerikanischen Kontinents fördert und auch den historisch gewachsenen europäisch-lateinamerikanischen Beziehungen Rechnung trägt.	When all is said and done, I believe that there should be a regulation which promotes the integration of the South American continent and also takes account of the historic links between Europe and Latin America.
Im Übrigen, und das möchte ich ganz allgemein zu unserer Lateinamerikapolitik sagen, möchte ich die Kommission, den Rat, aber auch uns, das Parlament, drängen, Lateinamerika ein höheres Profil in unseren Außenbeziehungen, in unseren Debatten zu geben.	I would also like to say, as regards our policy on Latin America in general, that I urge the Commission, the Council and also us here in Parliament, to give Latin America a higher profile in our external relations and in our debates.
Leider steht uns, und das muss ich an dieser Stelle auch noch einmal sagen, ein wichtiges Instrument nicht mehr zur Verfügung: Irela, das europäisch-lateinamerikanische Institut, das in der Vergangenheit eine große Hilfe, im Übrigen auch manchmal bei delikaten Aufgaben, war.	Unfortunately, and I must once again mention this here, we no longer have at our disposal as important an instrument as Irela, the Institute for European and Latin American relations, which provided great assistance in the past, even occasionally when dealing with more delicate matters.
Das ist leider mausetot.	This is now regrettably as dead as a doornail.
Welche Bedeutung dieses Institut übrigens in Lateinamerika gehabt hat, möchte ich am einem Beispiel deutlich machen.	I would incidentally like to give an example of just how important this institute was in Latin America.
Erst vor kurzem ist ein Mitglied des Aufsichtsrats von Irela, Celso Lafer, brasilianischer Außenminister geworden.	Only recently, a member of the Irela supervisory board, Celso Lafer, was appointed Brazil' s foreign minister.
Daran zeigt sich schon, welch hohes Profil wir früher in unseren Lateinamerikabeziehungen auch gehabt haben.	This then shows what a high profile we gave previously to our relations with Latin America.
Ich möchte die Kommission in diesem Zusammenhang auffordern, gemeinsam mit dem Parlament nach einer Lösung zu suchen, damit es gelingt, eine vernünftige Nachfolgeregelung zu finden, und damit wir über ein Instrument verfügen, das diesen gewachsenen und bedeutsamen Beziehungen mit Lateinamerika das entsprechende Profil verleihen kann.	In this respect, I would ask the Commission, together with Parliament, to look for a solution to enable a sensible replacement regulation to be found and to enable us to have at our disposal an instrument that can give these historic and important relations with Latin America the profile they deserve.
