Aber ich will da nicht auf Zusammenhänge hinweisen.	I do not want to suggest, however, that there is any connection.
Vielmehr hat mich aufgeregt, was der Kollege de Gaulle gerade zum Ausdruck gebracht hat, denn wenn man hier Reden hält, die die Europäische Union in die Zeit vor dem Binnenmarkt zurückführen wollen, dann muss man einfach sagen, dass er nicht an die wirtschaftlichen Interessen Frankreichs gedacht hat.	I am far more worked up about the sentiments Mr de Gaulle has just expressed, as, if he wants to make speeches expressing the desire to take the European Union back to the days before the internal market, one has to say that he was not thinking of France's economic interests.
Ich bin deswegen sehr dankbar für das, was der Kollege Lamassoure hier zum Ausdruck gebracht hat, denn es ist, glaube ich, ein ausgewogenes Modell, was er vorgelegt hat. Es ist die entsprechende Balance zwischen der Klarheit der Kompetenzregelungen und der Notwendigkeit, dass wir dem Wort Walter Hallsteins gerecht werden, dass die Europäische Union eine creatio continua ist.	I am, therefore very grateful to Mr Lamassoure for what he said, for I believe that the model he has put forward possesses the balance called for between the clear regulation of competences and the need for us to live up to Walter Hallstein's saying that the European Union is a creatio continua.
Das heißt, wir sind in der Lage, die Europäische Union entsprechend den Notwendigkeiten fortzuentwickeln.	What this means is that we are in a position to continue the European Union's development in line with what is needed.
Dabei ist es natürlich völlig klar, dass wir bei der Anwendung des Subsidiaritätsprinzips immer so entscheiden müssen, dass die Entscheidung auf der Ebene, auf der sie am besten getroffen werden kann, zu treffen ist.	It is of course perfectly clear that, when applying the subsidiarity principle, we must always take decisions in such a way that the decision is taken at the level at which it ideally should be.
Aber wir müssen auf der anderen Seite auch deutlich machen, dass wir nur über eine entsprechende Klarheit der Abgrenzung in der Lage sein werden, im Prozess dieser Verhandlungen im Konvent und in der anschließenden Regierungskonferenz die Zustimmung dafür zu finden, dass wir auch in den verbleibenden Bereichen die Mehrheitsentscheidung durchsetzen.	On the other hand, though, we also have to make it clear that it is only appropriately clear delimitation that will enable us, in the negotiating process in the Convention and in the ensuing Intergovernmental Conference, to get agreement to us pushing through majority voting in the remaining areas as well.
Hier gibt es einen engen Zusammenhang zwischen der Klarheit der Kompetenzen und der weiteren Ausdehnung der Mehrheitsentscheidung, denn nur darüber kann man die entsprechende Akzeptanz sowohl in der Politik in den nationalen Hauptstädten als auch in der Bevölkerung finden, die in dieser Frage eben diese Klarheit haben will.	There is a close connection here between clear competences and the further extension of majority voting, by which alone the former will be accepted both in political circles in the national capitals and among the public, who want this very clarity on this issue.
Aber die Klarheit im Konfliktfalle können wir nicht über die politische Ebene herstellen.	We cannot, though, create clarity in a conflict situation via the political level.
Wenn man einen Subsidiaritätsausschuss, bestehend aus nationalen und europäischen Parlamentariern einsetzen würde, der mindestens 100 Mitglieder haben müsste, dann würde nach genau denselben politischen Opportunitätsüberlegungen wie im Ministerrat und im Europäischen Parlament entschieden.	If a subsidiarity committee, consisting - as it would have to - of at least 100 MEPs and members of national Parliaments, were to be set up, decisions would be reached on the very same grounds of political opportunism as they are in the Council of Ministers and in this Parliament.
Wenn aber das Regionalitätsprinzip angewandt wird, dann hat auch eine Minderheit eine Chance, wenn sie meint, dass eine Kompetenz überschritten worden ist, ihre Vorstellung durchzusetzen.	If, however, the regionality principle is applied, even a minority has a chance of getting its view accepted if it believes that powers have been exceeded.
Deswegen ist der Ansatz des Kollegen Lamassoure, über den Europäischen Gerichtshof zu gehen, genau der richtige.	That is why Mr Lamassoure's approach, taking the matter to the European Court of Justice, is exactly the right one.
Er ermöglicht sowohl in den normalen Verfahren als auch in diesem Schnellverfahren über eine Reihe von Gruppen und Institutionen, die Klagerecht haben, die Verteidigung von Kompetenzen, wenn man meint, dass der Gesetzgeber seine Kompetenzen überschreitet.	It would make it possible, both in the normal procedure and in this accelerated procedure, by way of a range of groups and institutions possessing the right of action, to defend competences where it is believed that the legislature is exceeding its powers.
Ich möchte Ihnen auch vorschlagen, in die Liste derjenigen, die dieses Klagerecht haben, auch die nationalen Parlamente einzubeziehen.	I would like to propose to you that the national parliaments should also be added to the list of those bodies that possess the right of action in the ECJ.
Ich halte es für außerordentlich wichtig, taktisch klug aus der Sicht und der Interessenlage des Europäischen Parlaments und in der Sache für notwendig und geboten, dass diese Möglichkeit gegeben wird.	I see making this possible as extraordinarily important, tactically astute from Parliament's point of view and in its interests, and, in this case, as necessary and imperative.
In den meisten Ländern, in denen es Regionen mit gesetzgeberischen Zuständigkeiten gibt, haben diese dann auch über eine nationale Kammer ein solches Klagerecht. Auch dies kann man in weiten Teilen damit auffangen.	In most countries whose regions have the power to pass legislation, those regions have such a right of action through the medium of a national chamber, and this is something that could, to a substantial extent, be taken up.
Ich meine, dass dies der entscheidende Ansatzpunkt ist, wirkliche Entscheidungsfähigkeit zu erreichen, klare Verteilung zu haben, dadurch Akzeptanz zu bekommen und gleichzeitig Rechtssicherheit zu gewährleisten.	I do think that this is the decisive point of departure for achieving real decision-making power, getting responsibilities clearly defined, thereby gaining their acceptance, and at the same time guaranteeing legal certainty.
Aus dem Grunde möchte ich dem Kollegen Lamassoure zu seinem Bericht gratulieren.	For that reason I would like to congratulate Mr Lamassoure on his report.
(Beifall)	(Applause)
