Herr Präsident!	.
Ich möchte ebenfalls meine Überraschung darüber zum Ausdruck bringen, dass zu diesen Immunitätsfällen eine Debatte stattfindet.	Mr President, I, too, would like to say how surprised I am that we are actually debating these immunity cases.
Wir haben das meiner Erinnerung nach bisher anders gehandhabt.	My recollection is that we have always, in the past, had a different way of doing these things.
Ich möchte der Kollegin Wallis danken, dass sie sich diese Fälle so genau angeschaut hat.	I would like to thank Mrs Wallis for considering these cases with such care.
Wenn man die Dokumente liest, braucht man schon einen guten Magen, wenn man sieht, in welche Niederungen sich manche italienische Politiker begeben.	If you are going to read these documents and find out to what depths some Italian politicians sink, you will need a pretty strong stomach.
Ich teile Ihre Meinung, und wir haben Sie auch hier im Ausschuss unterstützt im Fall 3, also dem Fall, der beim Gericht in Mailand anhängig ist.	I share her view, which we, in Committee, also endorsed in Case 3, which is due to be heard by a court in Milan.
Bei den Fällen in Brescia und in Bergamo glaube ich, dass es Grenzfälle sind, in denen ein Abgeordneter den Schutz, den ihm die Immunität dieses Hauses verschafft, weidlich – auch gegen andere Personen – nutzt.	I believe that the cases to be heard in Brescia and in Bergamo are on the borderline, and involve a Member of this House using his immunity to the utmost, even to the detriment of others.
Für mich ist hier wirklich schon eine Grenze erreicht. Aber ich würde sagen, in diesem Fall sollte gelten: „Im Zweifel für den Angeklagten“.	Although I regard that as being as far as one can go, I would say that this case is an example of the rule that the accused enjoys the benefit of the doubt.
Wenn wir im Fall 4, den wir schon im Rechtsausschuss als problematisch erachteten, unsere Meinung und die Empfehlung noch einmal überdenken könnten, wäre ich besonders dankbar.	Turning to Case 4, which the Committee on Legal Affairs found particularly problematic, I would be particularly appreciative if we could again review our opinion and our recommendation.
Ich glaube, dass hier ein Fall vorliegt, in dem die Schutzmechanismen, die dieses Haus gewähren kann, missbräuchlich eingesetzt werden.	I believe this to be a case in which the machinery of protection that this House has at its disposal is being improperly used.
Insgesamt zeigt dieser Fall, aber auch der nächste, dass wir dringend eine Überarbeitung des Immunitätsrechts brauchen.	As a whole, not only this case but also the next, show the urgent need for revision of the laws on immunity.
Damit ist auch meine Wortmeldung für den nächsten Fall hinfällig.	My saying that absolves me of the need to say anything about the next case.
Wir erhoffen uns ja, dass es durch das Statut dazu kommt. Ich meine nämlich, dass die jetzigen Regelungen zu grob gerastert sind, indem sie einerseits Kollegen, die zu schützen sind, nicht schützen, anderen wiederum ermöglichen, dieses System auszunutzen.	We do indeed hope that the Statute will bring this about, for I do believe that the current regulations are too vague, in that they fail to protect those Members who need protection, while allowing others to exploit the system.
