Frau Präsidentin, Frau Vizepräsidentin, Frau Ratspräsidentin! Ich verstehe diese Debatte nicht.	Madam President, Mrs Győri, Mrs Reding, I fail to see the point of this debate.
Ich hätte die ungarische Verfassung in manchen Punkten nicht so geschrieben, wie sie ist.	I would have framed some of the points in the Hungarian constitution differently.
Ich bin auch mit manchen Punkten in meinem eigenen deutschen Grundgesetz nicht einverstanden und in manchen Punkten auch nicht mit der französischen Verfassung.	There are also some points in my own German constitution that I do not fully agree with, likewise the French constitution.
Aber es geht dieses Haus nichts an, dafür ist dieses Haus nicht zuständig.	However, this has nothing to do with this House, because it is not responsible for such issues.
Das ist der entscheidende Punkt.	That is the crucial point.
Es sei denn, es wird konkret nachgewiesen, dass etwas gegen europäisches Recht verstößt.	That is, unless is it specifically established that some provision is in breach of European law.
Wenn jemandem etwas nicht passt an einer nationalen Verfassung, dann geht es dieses Haus nichts an, weil es Ausdruck nationaler Identität und nationaler Zuständigkeit ist.	If someone does not like a particular element in a national constitution, this has nothing to do with this House, because this is a matter of national identity and jurisdiction.
Wie die Kommission beim Medienrecht von Ungarn Veränderungen erzwungen hat, weil einige Dinge nicht in Ordnung waren, so wird sie bzw. der Europäische Gerichtshof tätig werden, wenn bei der Umsetzung der Verfassung Gesetze beschlossen werden, die gegen europäisches Recht verstoßen.	Just as the Commission forced changes in Hungary's media laws because some points were unacceptable, so it or the European Court of Justice will take action if laws are passed when implementing the constitution that breach European law.
Beim Europäischen Gerichtshof kann man sogar klagen.	It is even possible to take a case to the European Court of Justice.
Deswegen halte ich das hier für eine politische Showveranstaltung.	It is for this reason that I believe what we are witnessing here is a bit of political theatre.
Wir haben nicht das Recht, in die ungarische Verfassung einzugreifen.	We do not have the right to interfere with the Hungarian constitution.
Ich hätte manches nicht so gemacht, aber es ist das Recht der Ungarn, es so zu machen.	Perhaps I would have done certain things differently, but it is Hungary's right to do things as it sees fit.
