Herr Präsident! Wenn man der ersten Runde zugehört hat, dann konnte man einen Eindruck gewinnen, wer alles an dieser Vertrauenskrise schuld ist - es ist eine solche geworden, das stimmt schon: Erstens die Kommission, zweitens die Spekulanten, drittens der Rat, speziell Frau Merkel.	Mr President, if you listened to the first round of speakers, you would have gained an idea of who was responsible for the crisis of confidence, and it is true that this is what it has now become. Firstly it was the Commission, secondly the speculators and thirdly the Council and, in particular, Mrs Merkel.
Ja, es ist relativ einfach.	It is all quite simple.
Zum Glück hat jemand darauf hingewiesen - der Vorsitzende der S&D-Fraktion -, dass der Euro stabil ist, nicht nur nach außen, sondern auch nach innen, mit den niedrigsten Inflationsraten.	Fortunately, someone pointed out - it was the chair of the Group of the Progressive Alliance of Socialists and Democrats in the European Parliament - that the euro is stable, not only externally, but also internally, with the lowest rates of inflation.
Die Spekulation kann gar nicht schuld sein.	Speculation cannot be the cause of the problem.
Der Euro ist ein stabiles Element.	The euro is a stable currency.
Es waren die Vertragsgrundlagen und die Kakofonie im ECOFIN-Rat.	It was the basic terms of the treaty and the uproar in the Ecofin Council.
In jeder ECOFIN-Sitzung neue Turbulenzen!	There is new turmoil in every Ecofin meeting.
Herr Rehn hat gerade darauf hingewiesen, dass die Kommission ein Gemeinschaftsinstrument vorgeschlagen hat, dass aber der Rat nicht bereit war, bei diesem Gemeinschaftsinstrument mitzumachen.	Mr Rehn has just pointed out that the Commission has proposed the use of a European mechanism, but that the Council was not prepared to participate. We are now saying that the Commission did not act.
Wir sagen jetzt, die Kommission hat nicht gehandelt - ich gehöre nicht zu denen, die dauernd die Kommission anbeten, aber korrekt war, dass die Kommission im Jahre 2008 nach zehn Jahren Euro eine exakte Bestandsaufnahme gemacht hat.	I am not one of those who are constantly worshipping the Commission, but it was the right thing for the Commission to do in 2008 to draw up an accurate inventory, after the euro had been in existence for 10 years.
Sie hat vier Punkte genannt, die zu regeln sind: eine einheitliche europäische Aufsicht, zweitens eine einheitliche governance, Wirtschaftsregierung, wie immer man es nennen mag, drittens eine einheitliche Außenvertretung und viertens einen einheitlichen Krisenmechanismus.	It referred to four points that needed to be resolved: firstly, a consistent European supervisory mechanism, secondly, consistent economic governance, or whatever you want to call it, thirdly, consistent external representation and, fourthly, a consistent crisis mechanism.
Die Dinge liegen auf dem Tisch.	All of these things are now on the table.
Es waren andere, die sie nicht beachtet haben - ich möchte das ausdrücklich betonen.	I would like to emphasise the fact that it was others who did not take them into account.
Wenn wir hier Schuldige suchen, dann dürfen wir einen Schuldigen nicht vergessen: Das sind die Mitgliedstaaten, die sich über alle Maßen verschuldet haben, die die Vorteile der Euroeinführung nicht genutzt haben, um Reformen anzugehen, um die Verschuldung abzubauen, sondern um über ihre Verhältnisse zu leben.	If we are looking for people to blame, there is one guilty party we must not forget and that is the Member States, which have got themselves up to their necks in debt and which have not made use of the benefits of introducing the euro to implement reforms and to reduce their debt levels, but instead have lived above their means.
Ich möchte schon noch betonen, dass es bei diesen Staaten einen roten Faden gibt.	I would also like to emphasise that there is a recurring theme among all these Member States.
Egal wer es war, sie sind über längere Zeit oder bis heute von Sozialdemokraten regiert worden: Portugal, Spanien, Großbritannien, Ungarn, Lettland.	Regardless of who it was, they have all had social-democratic governments for a long period, some of them up until today. That includes Portugal, Spain, the UK, Hungary and Latvia.
In Griechenland haben unsere vier Jahre lang den gleichen Mist mitgemacht.	In Greece they have been doing the same stupid things for four years.
Das ist doch das Resultat.	This is the result.
Wenn wir nicht offen darüber reden, wo die Hauptursache für die übermäßige Verschuldung der Mitgliedstaaten liegt, dann kommen wir nicht zurecht.	If we do not talk openly about the main cause of the excessive levels of debt in the Member States, we will not be able to resolve the problems.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der "blauen Karte" zu beantworten (Artikel 149 Absatz 8 GO).)	(The speaker agreed to take a question under the 'blue card' procedure (Rule 149(8) of the Rules of Procedure)).
