Herr Präsident! Im Herzen einer Politik ohne "Ismen" steht die Glaubwürdigkeit.	Mr President, at the heart of a policy without any '-isms' is credibility.
Glaubwürdigkeit hat sehr viel mit dem Umgang mit den zur Verfügung stehenden Steuergeldern zu tun, und die wiederum kann ein Bürger am besten dort ablesen, wo es um Verwaltungsbereiche geht.	Credibility has a great deal to do with the purposes to which available tax revenue is put, and people can see this most clearly in the amounts spent on administrative bodies.
Leider ist auch in diesem Haushaltsplan wieder nicht klar, wie viel tatsächlich für die Verwaltung ausgegeben wird.	Regrettably, this budget once again fails to indicate precisely how much is actually to be spent on administration.
Wir haben einen Posten mit 6,6 Milliarden Euro darin, aber auch in vielen anderen Bereichen sind Verwaltungsausgaben kaschiert.	We have an item with EUR 6.6 billion there, but administrative expenditure is also hidden away inside many other appropriations.
Außerdem hat es im Kernstück mit Demokratie zu tun, ob die politische Klasse in ihrem Lebensumfeld etwas mit der Lebenswirklichkeit der großen Mehrheit der Bevölkerung zu tun hat oder nicht.	Besides, whether the lifestyle of the political classes bears any relation to the living conditions of the vast majority of the population or not says something fundamental about the democratic nature of a society.
Da haben wir ein eklatantes Negativbeispiel innerhalb der Europäischen Union, und das ist das Pensionssystem für Beamte, auch für diejenigen hier im Hause, die an den Luxuszusatzpensionen teilnehmen.	We have a glaring example of a gulf between the two inside the European Union in the form of the pension scheme for officials as well as for those in this House who are in the luxury-class supplementary pension scheme.
Aber bei den Beamten summiert sich mittlerweile die Zahlung auf 963 Millionen Euro im Jahr, wobei diese Beamten selbst nur maximal ein Drittel dazu beitragen.	In the case of officials, the total volume of annual payments now stands at EUR 963 million, to which these officials themselves contribute no more than a third.
Und das geht immer mehr in die Höhe.	The bill, moreover, just keeps rising.
Ein Anstieg von 5,5 % allein an Pensionären wird erwartet.	The number of pension recipients alone is set to increase by 5.5%.
Die Inflationsrate wird automatisch eingerechnet.	The inflation rate is automatically factored in.
So entfernt sich Brüssel immer mehr von denen, die es zu vertreten vorgibt, und das schadet der Demokratie.	In this way Brussels is becoming increasingly remote from those it claims to represent, and that is bad for democracy.
Das wäre ein Ansatzpunkt, wie man einen Haushalt sinnvoll reformieren könnte, und auch eine Aufforderung an Sie, Frau Kommissarin, da etwas zu unternehmen.	This would be a starting point for rational budgetary reform, and it is also a call to action for you, Commissioner.
