Meine Herren Präsidenten! Auf Dauer kann man nicht mehr ausgeben, als man einnimmt.	Mr President, Mr Lamfalussy, in the long run you cannot spend more than you earn.
Das gilt für die Familie, die, wenn sie auf Dauer mehr ausgibt, als sie einnimmt, an Kaufkraft verliert, das gilt für die Unternehmungen, in denen, wenn auf Dauer mehr ausgegeben als eingenommen wird, Arbeitsplätze gefährdet werden und verloren gehen, und das gilt natürlich auch für den Staat, wenn er auf Dauer mehr ausgibt, als er einnimmt.	Families that go on spending more than they earn, lose spending power; in businesses jobs are put at risk and lost if, in the long term, they spend more than they make, and the same, of course, applies to States if, in the long term, they spend more than they take in.
Jeder kann so an Glaubwürdigkeit verlieren, und wir haben in der Geschichte schon Krisen gehabt, die gezeigt haben, daß dann alle Bürger ihr Vermögen verlieren und Arbeitsplätze massenweise verloren gehen.	Anyone can lose credibility in that way, and we have in the past seen crises which have shown that all citizens then lose their assets and enormous numbers of jobs are lost.
Deshalb ist der Stabilitätspakt von besonderer Bedeutung.	That is why the Stability Pact is so important.
Wir müssen uns anstrengen, daß wir solide Finanzen haben, denn Sie sind ja letztlich das beste Fundament für den Binnenmarkt.	We have to try to establish sound finances, as they are, when all is said and done, the best foundation for the internal market.
Das Dach bildet die einheitliche Währung.	The roof is build out of the single currency.
Die Finanzen sind letztlich ein ganz entscheidendes Kriterium für Wettbewerbsfähigkeit auch gegenüber Staaten außerhalb der Europäischen Gemeinschaft.	Our finances are in the end critical to our ability to compete, including with States outside the European Union.
Deshalb ist es notwendig, die harmonisierten Steuern ganz intensiv zu betrachten.	That is why we need to take a very close look at the harmonized taxes.
Das Parlament hat schon einen Entwurf für die Folgekostenabschätzung verabschiedet.	This House has already made a preliminary assessment of what the subsequent costs will be.
Bei der Steuerharmonisierung auch im Mehrwertsteuerbereich ist es ganz wichtig sich anzusehen, was kostet es den Staat, was kostet es den Bürger, was kostet es die Betriebe?	It is very important in relation to VAT harmonization also, to consider what the costs will be to the State, to citizens and to businesses.
Der zweite Bereich ist das lean management .	My second point concerns lean management.
Ich glaube, es ist unbedingt notwendig, daß die Betroffenen in die Harmonisierung eingebunden werden.	I think it absolutely vital that those concerned are involved in the harmonization process.
99, 8 % der Unternehmen der Europäischen Union haben unter 250 Beschäftigte.	99.8 % of businesses in the European Union have less than 250 employees.
Ich glaube, wir müssen darauf achten, daß das Steuersystem für den Einzelnen so einfach und so gut verständlich wie möglich wird.	I think that we have to ensure that, for individuals, the taxation system is as simple and easy to understand as possible.
Dritter und letzter Punkt ist Benchmarking.	My third and final point concerns bench marks.
So wie die Konvergenzkriterien schon ein gutes Instrumentarium für Benchmarking darstellen, brauchen wir dieses System auch im Steuerbereich, und zwar deutlich verbessert und auch verfügbar für zukünftige Entscheidungen.	In the same way as the convergence criteria provide useful bench marks, we need to have that same system for taxation, and indeed to have an improved version that can be applied when decisions are taken in the future also.
