Herr Präsident, meine Damen und Herren! Im Juni 2002 läuft der EGKS-Vertrag aus.	Mr President, ladies and gentlemen, the ECSC Treaty will expire in June 2002.
Das heißt, das Jahr 2001 bietet den letzten vollständigen Jahreshaushalt, und das bildet auch den Hintergrund für die Beurteilung des Kommissionsvorschlags und des Vorschlags, den wir dem Parlament unterbreiten.	In other words, the year 2001 will see the last full annual budget, and will also form the background to the assessment of the Commission proposal and the proposal that we are in the process of submitting to Parliament.
Die Kommission schlägt eine Aufstockung der Mittel gegenüber dem Vorjahr von 176 auf 190 Millionen Euro vor.	The Commission has proposed that the appropriations should be increased to EUR 190 million, as compared with EUR 176 million the previous year.
Das entspricht dem Vorschlag des Parlaments im vergangenen Haushaltsjahr bzw. kommt ihm sehr nahe. Wir hatten damals 196 Millionen Euro vorgeschlagen.	This corresponds, or rather, comes very close to what Parliament proposed during the previous budgetary procedure, i.e. EUR 196 million.
Wir unterstützen deshalb diesen Vorschlag nachdrücklich. Allerdings ist die Mittelaufteilung in unseren Augen nicht optimal.	Therefore, we emphatically support this proposal, although we feel the breakdown of allocations could be better.
Hier sehen wir noch Veränderungsbedarf und bitten die Kommission um Prüfung.	We believe that changes are called for here, and would urge the Commission to look into this.
Es geht vor allem um das Verhältnis bei den Verwaltungsausgaben.	It is the situation with regard to administrative expenditure that we are most concerned about.
Hier schlagen wir eine Kürzung bei den Anpassungsbeihilfen, bei den Forschungsbeihilfen und bei den Sozialmaßnahmen vor, auf die ich noch näher eingehen werde.	We suggest a cut in redeployment aid, aid for research and social aid, and I intend to be more specific here.
Das heißt, wir befürworten keine Unterstützung der Kürzungen im Forschungsbereich.	In other words, we do not approve of cuts in the sphere of research.
Im Gegenteil sind wir der Meinung, dass gerade im Hinblick auf die Beitrittsländer der Forschungsbereich forciert werden sollte.	On the contrary, we feel that there should be increased efforts in research, particularly in view of the candidate countries.
Durch die Beitrittsländer wird sich die Kohleproduktion verdoppeln, die Stahlproduktion wird erheblich gesteigert werden, und wir sind der Meinung, dass wir deshalb dringend einen Modernisierungs- und Umstrukturierungsprozess brauchen.	As a result of enlargement, coal production will double and there will be a significant increase in steel production, and we believe therefore, that we urgently need a modernisation and restructuring process.
Wir müssen ihn forcieren, wir brauchen eine Forschung in Richtung umweltverträgliche Technologien.	We must step up our efforts to this end, and we need research into environmentally sustainable technologies.
Wir schlagen vor, sobald der EGKS-Vertrag ausgelaufen ist und die Mittel in den EU-Haushalt überführt worden sind, den Beitrittsländern eine Teilnahme an der von der Gemeinschaft finanzierten Kohle- und Stahlforschung nach dem Beispiel der Programme SOKRATES und LEONARDO zu ermöglichen.	We suggest that as soon as the ECSC Treaty has expired and the appropriations have been transferred into the EU budget, the candidate countries should be given the opportunity to participate in the coal and steel research financed by the Community, following the example of the SOCRATES and LEONARDO programmes.
Das halten wir für einen wichtigen Vorschlag in Richtung auf umweltverträgliche, modernisierte Stahl- und Kohleproduktion in Europa und auch im Hinblick auf die Finanzierung dieser Bereiche und die Umstellungsmaßnahmen.	We believe this to be an important proposal, in terms of achieving environmentally sustainable, modernised steel and coal production in Europe, and also with respect to the financing of these areas and the conversion measures.
Ferner wollen wir als zweiten Punkt eine Überprüfung des Verhältnisses zwischen den Sozialmaßnahmen und den Anpassungsbeihilfen.	Secondly, we want a review of the relationship between he social measures and the redeployment aid.
Die Sozialmaßnahmen sind in dem Vorschlag des Rates von 31 auf 29 Millionen Euro gekürzt worden.	The social measures were cut from EUR 31 million to EUR 29 million in the Council' s proposal.
Das ist für uns nicht nachvollziehbar.	We cannot comprehend this.
Wir sind der Meinung, dass in dem Bereich strukturelle Anpassungshilfen gegeben werden müssen.	We believe that it is imperative for structural redeployment aid to be provided in this area.
Der Beschäftigungsstand ging seit 1999 von 15 % auf 5 % zurück, da muss man reagieren.	The level of employment has dropped from 15% to 5% since 1999, and it is vital that we respond to this.
Wir sind dagegen der Meinung, dass die Anpassungsbeihilfen gekürzt werden können.	On the other hand, we do not believe that the redeployment aid can be cut.
Die Anpassungsbeihilfen sind in den letzten Jahren nicht ausgeschöpft worden.	Its capacity has not been fully exploited in recent years.
1999 zum Beispiel wurde nur noch die Hälfte der angesetzten Mittel tatsächlich verwendet.	In 1999, for example, only half of the allocation was actually used.
Die Kommission will dagegen mit der Aufstockung den Gesamtzeitraum bis Juni 2002 abdecken.	However, the Commission, in making this increase, wants to cover the whole period up to June 2002.
Das erscheint uns widersinnig, da es immer noch einen Funktionshaushalt im zweiten Halbjahr 2002 geben wird, und wir wollen deshalb eine Überprüfung des Verhältnisses zwischen Anpassungsbeihilfen und Sozialbeihilfen.	This seems odd to us because there will still be an operational budget in the second part of 2002, and so we are calling for a review of the relationship between redeployment aid and social aid.
Wir wollen außerdem eine Überprüfung der Verwaltungsausgaben.	In addition, we want there to be a review of the administrative expenditure.
Das Parlament schlägt schon seit langem Kürzungen vor.	Parliament has been proposing cuts for a long time now.
Angesichts der Verringerung der EGKS-Tätigkeiten, angesichts der Umstellung, ist es fraglich, ob der Verwaltungshaushalt in dieser Höhe tatsächlich noch gerechtfertigt ist.	In view of the decline in ECSC activities, and the conversion, it is debatable as to whether we can really still justify having an administrative budget of this size.
