Herr Präsident, meine Damen und Herren, Herr Kommissar! Sie haben ja völlig recht.	Mr President, Commissioner, ladies and gentlemen, you are quite right.
Wir haben sehr große Erfahrung im Umgang mit traditionellen Arzneimitteln.	We have very considerable experience of the use of traditional herbal medicinal products.
Diesem Umgang wird in der Europäischen Union durch den Verbraucher immer mehr Bedeutung beigemessen.	In the European Union, consumers attach ever greater importance to the use of them.
Gerade deshalb, denke ich, ist es höchste Zeit, einen harmonisierten Rechtsrahmen für traditionelle pflanzliche Arzneimittel zu schaffen.	This is why, in my view, it is time to establish a harmonised legal framework for traditional herbal medicinal products.
Viel zu lange ist der Handel mit traditionellen Produkten in der Gemeinschaft durch Unterschiede bei den nationalen Anforderungen behindert worden.	For far too long, trade in these traditional products within the Community has been hampered by differences in the national provisions.
Ich glaube, die Richtlinie, wie sie vorliegt, wird diesen Missstand beseitigen, auch dank der hervorragenden Arbeit des Berichterstatters Nisticò.	I think that in its current form, the directive will correct this imbalance, thanks not least to the excellent work carried out by the rapporteur, Mr Nisticò.
Lassen Sie mich auf zwei Punkte eingehen, die für mich besonders wichtig sind.	Let me touch upon two points which are, in my view, especially important.
Erstens, die Schaffung eines neuen Ausschusses für pflanzliche Arzneimittel im Rahmen der Europäischen Agentur für die Beurteilung der Arzneimittel. Ich denke, das ist notwendig.	Firstly, the establishment of a new committee on herbal medicinal products within the European Agency for the Evaluation of Medicinal Products: I believe this is a necessary step, and I welcome the fact that the Commission has opted in favour of this approach.
Ich finde es auch gut, dass die Kommission diesen Ansatz wählt. Eine der wichtigsten Aufgaben des Ausschusses wird es sein, eine Übersicht über die pflanzlichen Stoffe zu erstellen.	One of the committee's most important tasks will be to set up a list of herbal substances.
Ich denke aber auch, die alleinige Einteilung in verschiedene Gruppen, so wie es der Ausschuss fordert, ist besonders wichtig.	However, I also think that the classification into various groups, as called for by the committee, is especially important.
Ich würde mir besonders wünschen, dass wir eine weitere Einteilung erreichen könnten.	I very much hope that we can achieve this further classification.
Die sogenannten "Well-Established Medical Use" Phytopharmaka sollten in die Gruppe der rationalen Phytopharmaka aufgenommen werden.	The phytopharmaceuticals with what is termed 'well-established medicinal use' should be included in the group of rational phytopharmaceuticals.
Die Bedeutung dieser Unterscheidung möchte ich kurz erklären: Bei "Well-Established-Use" Phytopharmaka kann der Nachweis für einen Antrag bereits durch Monographien geführt werden, die das allgemein verfügbare Wissen darstellen.	Let me briefly explain the significance of this distinction: in the case of phytopharmaceuticals with well-established use, monographs containing generally available data can be presented as evidence for an application.
Bei dieser Art des Nachweises werden keine extraktspezifischen Daten erhoben.	No extract-specific data are required in this type of evidence.
Anders sieht es bei den rationalen Phytopharmaka aus.	A different situation applies to rational phytopharmaceuticals.
Bei ihnen wird der Nachweis durch die Bereitstellung spezifischer extraktbezogener Daten geführt, die die genaue Wirkung des individuellen Extrakts beschreiben.	In this case, evidence is provided through the presentation of specific extract-related data which describe the precise effect of the individual extract.
Um Wettbewerbsverzerrungen zu vermeiden - darauf lege ich besonderen Wert - sollten dem Hersteller, der durch kostenaufwendige Forschung rationale Phytopharmaka in ihrer Wirkung erforscht hat, zugestanden werden, seine besonderen Anstrengungen im Rahmen der Zulassung zum Nutzen des Verbrauchers und seiner besseren Informationen erkennbar zu machen.	In order to avoid distortions of competition - and I think this is especially important - the manufacturer, who has invested substantial sums in researching the effects of rational phytopharmaceuticals, should be permitted to draw attention to his special efforts as part of the registration process, thus benefiting consumers through the provision of better product information.
