Herr Präsident, es geht hier nicht um eine Debatte, es geht um das gleiche Recht für alle.	Mr President, this is not about a debate, it is about equal rights for all.
Dafür waren Sie der Garant.	You were supposed to guarantee that.
Wenn Sie der Fraktionsvorsitzenden der Sozialistischen Fraktion und dem Kollegen Martens das Recht zugestehen, diese Abstimmung zu kommentieren, dann müssen Sie es auch anderen Fraktionsvorsitzenden einräumen.	If you allow the chairman of the Socialist Group and Mr Martens the right to comment on this vote, then you have to allow the chairmen of the other Groups the same right.
Das hat nichts mit Debatte zu tun, sondern das hat mit Demokratie zu tun.	This has nothing to do with debate and everything to do with democracy.
Ich möchte diese Sache auch kommentieren dürfen.	I too should like to be allowed to comment on this matter.
Das war eine schlimme Abstimmung, weil ein ganz großes Stück an Glaubwürdigkeit in diesem Haus dadurch weggestimmt wurde.	It was a bad vote, because its effect was to vote away a large slice of this House's credibility.
Wir haben am 19. September mit 30 Gegenstimmen klargestellt, worauf wir in diesem Haus bestehen.	We made it clear on 19 September, with 30 votes against, what we in this House insist upon.
Wir haben diese Abstimmung im Oktober noch einmal bestätigt.	We confirmed that vote again in October.
Jetzt zu sagen, wir vertrauen dem, was Herr Santer sagt, das halte ich für ein vorgeschobenes Argument.	To say now that we can trust what Mr Santer says seems to me to be just a pretext.
Was Herr Santer sagt, ist eine Sache, und, was Kommissar van den Broek tut, eine andere.	What Mr Santer says is one thing, and what Commissioner van den Broek does is another.
Und das wissen Sie!	And you know it.
(Lebhafter Beifall)	(Loud applause)
