Herr Präsident, meine sehr verehrten Damen und Herren Abgeordneten!	Mr President, honourable Members, I wish to make a statement on behalf of the Commission.
Namens der Kommission möchte ich folgende Erklärung abgeben: Die Kommission ist sehr besorgt über die jüngste Durchsuchung der Büros der Menschenrechtsvereinigung in Ankara durch die türkischen Behörden, bei der Dokumente und anderes Material beschlagnahmt wurden.	The Commission is greatly concerned about the Turkish authorities' most recent raid on the offices of the Human Rights Association in Ankara, in the course of which documents and other material were seized.
Nachdem bei den vor kurzem beschlossenen politischen Reformen die Grundrechte der freien Meinungsäußerung und der Vereinigungsfreiheit ausgeweitet wurden, ist die Verfolgung derartiger Vereinigungen schwer zu verstehen.	The persecution of associations such as this one is difficult to understand at a time when, as has happened recently, political reforms have taken place and the fundamental rights of free expression of opinion and freedom of association have been extended.
Über ähnliche Fälle hat die Kommission in ihren regelmäßigen Berichten berichtet. Diese Vorfälle stehen nach Ansicht der Kommission im Widerspruch zu den Zielen der gegenwärtigen Reformanstrengungen.	The Commission has mentioned similar cases in its regular reports, and it takes the view that such incidents are contrary to the objectives of current efforts at reform.
Dies zeigt aufs Neue, wie groß die Kluft zwischen den politischen Reformen einerseits und der Haltung der Exekutive und der Justizbehörden andererseits bei deren Umsetzung ist.	This demonstrates anew how great a gulf there is between political reforms on the one hand and, on the other, the attitude taken by the executive and the judiciary to their implementation.
In dem Zusammenhang möchte ich unterstreichen, dass die Umsetzung der Reformen ein bestimmender Faktor bei der Bewertung der Erfüllung der politischen Kriterien von Kopenhagen sein wird.	In connection with this, I would like to emphasise that the implementation of these reforms will be a determining factor in evaluating to what extent the Copenhagen political criteria have been fulfilled.
Ich werde diesen Punkt bei meinen Gesprächen mit dem türkischen Außenminister Abdullah Gül am Donnerstag dieser Woche in Brüssel vorbringen.	I will be pointing this out to the Turkish foreign minister, Abdullah Gül, when I have talks with him on Thursday in Brussels.
Nach mir vorliegenden Informationen hat zwischenzeitlich der türkische Justizminister das Vorgehen der türkischen Behörden in den Büros der Menschenrechtsvereinigung öffentlich bedauert. Der türkische Justizminister hat gleichzeitig anerkannt, dass die umfassende Implementierung der politischen Reformen von großer Bedeutung ist.	I have information to the effect that the Turkish minister of justice has, in the meantime, publicly expressed regret for the what the Turkish authorities did in the offices of the Human Rights Association, acknowledging at the same time the great importance of political reforms being implemented across the board.
Er stellte auch klar, dass solche Zwischenfälle künftig nicht mehr vorkommen dürfen.	He also made it clear that any future recurrence of such incidents would not be tolerated.
Ich möchte ausdrücklich darauf hinweisen, dass die Kommission die Menschenrechtsvereinigung in der Türkei aktiv unterstützt. Im Zeitraum zwischen 1992 und 1999 sind hierfür Mittel in Höhe von 309 000 Euro zur Verfügung gestellt worden.	I would like to expressly draw attention to the fact that the Turkish Human Rights Association enjoys the Commission's active support, having, in the period from 1992 to 1999, had funds to a total of EUR 309 000 made available to it.
Weitere Mittel sind im Rahmen von Maßnahmen zur Unterstützung der Erfüllung der politischen Kriterien vorgesehen.	Further funding is planned for as part of measures to support fulfilment of the political criteria.
Die Kommission hat erst kürzlich, am 25. März, eine überarbeitete Mitteilung zu einer verbesserten Beitrittsstrategie der Türkei vorgelegt.	Only recently, on 25 March, the Commission submitted a revised communication on an improved pre-accession strategy for Turkey.
Ich kann hier nur noch einmal unterstreichen, dass die volle und uneingeschränkte Umsetzung aller Gesetzesreformen in die Praxis des täglichen Handelns in der Türkei von größter Bedeutung ist.	I cannot do other than re-emphasise at this point how vitally important it is that Turkey should, fully and without exceptions, implement all legal reforms as part of everyday practice.
Das ist letztlich auch der Maßstab, auf den es bei der Bewertung der Beitrittsfähigkeit der Türkei ankommen wird.	At the end of the day, that is the yardstick by which Turkey's fitness for accession will be assessed.
Menschenrechtsorganisationen müssen ungehindert arbeiten können, und sie werden von der Kommission auch künftig in ihrer Tätigkeit unterstützt werden.	Human rights organisations must be able to do their work without hindrance, and their activities will continue to be supported by the Commission in future.
Ich danke Ihnen.	Thank you.
