Herr Präsident! Es ist alles gesagt.	Mr President, everything has been said.
Erlauben Sie mir nur, der Vizepräsidentin eine Brücke zu bauen, damit sie vielleicht doch den Änderungsantrag 3, der 2 ersetzt, unterstützt.	Allow me simply to offer the Vice-President a helping hand so that she might support Amendment No 3 - which replaces No 2 - after all.
Es gibt in dem Raum hier manchmal Abgeordnete, die sagen: Es ist ja sinnvoll, die Verkehrskontrollen in ihrer Strenge, in ihrer Dichte zu vereinheitlichen.	In this room there are sometimes Members who say that of course it is sensible to standardise the vehicle inspections in terms of how rigorous and how comprehensive they are.
Aber wenn es um das Wort Harmonisierung der Sanktionen geht, dann zucken manche in diesem Raum zusammen - links und rechts, oben und unten in diesem Hause.	But when it comes to penalties and the word 'harmonisation' a good many people in this room give a start - on the left and on the right of this House, both those higher up and those lower down.
Deshalb finde ich diesen Antrag Nr. 3, den Herr Piecyk als Berichterstatter formuliert hat, wunderbar.	That is why I think that this Amendment No 3 which Mr Piecyk has drafted as rapporteur is excellent.
Er hat das Wort Harmonisierung ganz vermieden.	He has completely avoided the word 'harmonisation' .
Er hat aber gesagt, worum es geht.	But he has said what this is all about.
Er hat gesagt, daß es nicht sein kann, daß das Nutzen eines Nutzfahrzeuges, eines Busses mit Passagieren ohne die Einhaltung der Sicherheitsvorschriften - was zur Gefährdung von Leib und Leben von Menschen führt - in einem Land als Kavaliersdelikt betrachtet und in einem anderen Land schwer bestraft wird.	He has said that it cannot be right, if a commercial vehicle, a bus carrying passengers, is used when it does not comply with safety regulations - constituting danger to life and limb - for this to be regarded as a minor offence in one country while it meets with severe punishment in another.
Dies wäre angesichts der Gefährdung der Passagiere oder auch der anderen Verkehrsteilnehmer jedoch notwendig.	Given the danger to the passengers and also other drivers this would, however, be necessary.
Deshalb, es geht hier nicht um die Frage: Sind wir für Subsidiarität oder sind wir für Zentralität?	That is why this is not about the question of whether we are in favour of subsidiarity or centralism.
Es geht darum, daß es nicht angeht, daß wir das gemeinsame Ziel der Verkehrssicherheit haben, aber einige Regierungen sagen: Na ja, von den Strafen her betrachten wir Verstöße gegen die Verkehrssicherheit wie Verstöße gegen das Verbot, irgendwelche Grünanlagen zu betreten, und die anderen gewichten es richtig.	It is about the fact that it is unacceptable for us to have the common aim of road safety, but for some governments to say: well, from the point of view of penalties we regard road safety offences as being on a par with disobeying a sign to keep off the grass, while others give it the correct weighting.
Erster Grundsatz, Frau Vizepräsidentin: Gleiche Wertung der Notwendigkeit, die Verkehrssicherheit zu verbessern.	The first principle, Madam Vice-President, is for us all to attach the same degree of importance to the need to improve road safety.
Das zweite Argument ist, daß es in der Gemeinschaft keine Wettbewerbsverzerrung geben darf.	The second argument is that there must be no distortions of competition in the Community.
Es gibt durchaus Beispiele dafür, daß in einem Land die Lkw eines anderen Mitgliedstaates besonders scharf kontrolliert und mit scharfen Sanktionen belegt, festgehalten werden usw., und in einem anderen Land ist es völlig egal.	There are definitely examples of lorries from another Member State being subjected to particularly stringent controls, having tough penalties imposed, being detained, and so on in one country while in another country the authorities could not care less. This lies at the heart of the difference between Parliament's views and the common position.
Das ist der Kern des Unterschiedes zwischen Parlament und Gemeinsamen Standpunkt: Wir sind schon der Auffassung, daß die Mitgliedstaaten im Zusammenhang mit den Sanktionen, die in ihrer nationalen Zuständigkeit bleiben, versuchen sollten, sich abzustimmen unter dem Gesichtspunkt: Wie bewerte ich die Gefährdung des Verkehrs, und wie stelle ich die Wettbewerbsgleichheit innerhalb der Gemeinschaft in einem Binnenmarkt sicher?	We certainly believe that where the penalties - which will remain within national competence - are concerned, the Member States ought to try to reach an agreement by asking themselves the following questions: what degree of importance do I attach to danger caused by road traffic? And how am I to ensure that there is fair competition within the Community in an internal market?
Deshalb, Frau Vizepräsidentin, nach dem Wahlsieg einer bestimmten Partei in einem großen Land würden Sie mir einen noch schöneren Abend bescheren, wenn Sie sagen würden: Dem Antrag Nr. 3 des Berichterstatters können wir zustimmen!	That is why, Madam Vice-President, after a certain party's election victory in a large federal state you would make my evening complete if you were to say: we can accept the rapporteur's Amendment No 3!
