Herr Präsident! Wenn es ums Geld geht, hört bekanntlich der Spaß auf.	Mr President, when it comes to money, we all know it is no joke.
Das gilt auch für die Europäische Union.	The same applies to the European Union.
Es besteht deshalb hier und in den anderen Organen der EU Einigkeit, dass dem Schutz der finanziellen Interessen Priorität einzuräumen ist.	That is why we and the other EU bodies agree that we must give priority to protecting the Community' s financial interests.
Die Geister scheiden sich allerdings daran, wie und auf welche Weise dieser Schutz gewährleistet werden kann.	However, we are of different minds on the question of how and by what means we can guarantee this protection.
Eine effiziente Betrugsbekämpfung erfordert die Bündelung aller polizeilichen, administrativen und strafrechtlichen Mittel, denn es geht um die Steuergelder der europäischen Bürger und weit darüber hinaus.	If we are to fight fraud efficiently, we must bring together all police, administrative and criminal law resources, for this is a matter of the European taxpayers' money and indeed of far more than that.
Es geht um das Vertrauen in die Sorgfalt der europäischen Institutionen, allem voran das Vertrauen in die Kommission beim Umgang mit den ihr anvertrauten Geldern.	It is a matter of trusting in the care taken by the European institutions, and above all of trusting the way the Commission handles the monies entrusted to it.
Mit diesem Vertrauen ist es ja bekanntermaßen nicht unbedingt gut bestellt angesichts einer von der Kommission im Betrugsbekämpfungsbericht 1999 selbst genannten Summe von rund 850 Millionen Euro an Verlusten aufgrund von Betrug und Unregelmäßigkeiten.	Indeed we know this trust may be failing somewhat in view of the sum the Commission itself named in its 1999 report on fighting fraud, namely a loss of some EUR 850 million as a result of fraud and irregularities.
Die Kommission muss deshalb durch einen inneren Reformprozess endlich ihre Ankündigung wahrmachen, dass Betrügereien nicht toleriert werden und jeder Betrug konsequent verfolgt wird.	So the Commission must carry out internal reforms so as to finally make good its announcement that fraud will no longer be tolerated and that it will consistently follow up all cases of fraud.
Daneben muss das Amt für Betrugsbekämpfung OLAF funktionieren.	OLAF, the European Anti-Fraud Office, must operate alongside it.
Zu Recht widmet der vorliegende Bericht dieser Institution den breitesten Raum.	The report before us rightly devotes most space to that institution.
Dass die Unabhängigkeit und das Funktionieren von OLAF bei weitem noch nicht gewährleistet sind, zeigt in beeindruckender Klarheit die Schlussfolgerung des OLAF-Überwachungsausschusses vom 5. Dezember, wonach die Behinderungen, die die Kommission bei der Personalrekrutierung von OLAF verursacht, die Betrugsbekämpfung unter Umständen irreversibel gefährden.	The conclusion of the OLAF Supervisory Committee of 5 December makes it strikingly clear that OLAF is still far from being independent or functioning properly. It says that the obstacles the Commission sets in the way of recruiting OLAF staff can under certain circumstances constitute an irreversible risk to the fight against fraud.
Ich fordere die Kommission ausdrücklich auf, jede Einmischung in die Arbeit von OLAF zu unterlassen.	I expressly call on the Commission to refrain from any interference in OLAF's activities.
Schließlich befürworte ich die Schaffung eines Europäischen Staatsanwalts, damit die Verantwortlichen bei Betrügereien auch strafrechtlich belangt werden.	Finally, I am in favour of appointing a European Public Prosecutor, so that those responsible for fraud face criminal prosecution.
