Herr Präsident, ich finde, es ist schon ein schwarzer Tag für den Verbraucherschutz!	Mr President, I consider that this is a black day for consumer protection!
Herr Byrne, Sie haben bei Ihrem Amtsantritt versprochen, daß Sie für den vorbeugenden Verbraucherschutz und für Transparenz stehen.	Mr Byrne, you promised when you entered office that you stood for preventive consumer protection and for transparency.
Ich möchte Sie wirklich fragen, wie meine Kollegin bereits gefragt hat, wie Sie das mit dem Vorsorgeprinzip und der Glaubwürdigkeit verbinden.	I would like to ask you, as my colleague has already asked, how you tie that in with the precautionary principle and credibility.
Im Hormonstreit stellen wir uns auf die Seite des Vorsorgeprinzips, hier nicht.	In the hormone dispute we are taking the side of the precautionary principle, but not here.
Ich finde, es kommt auch einer Art Zwangsernährung gleich, wenn die Verbraucher nicht die Möglichkeit haben, sich darüber zu informieren.	This seems to be a form of force-feeding if consumers do not have the option to be informed.
Wie gehen Sie mit Ihrem Versprechen der Transparenz für den Verbraucher um, während Sie gleichzeitig den Zeitpunkt für die Kennzeichnung verschieben?	How can you promise transparency for the consumer and also postpone the date for labelling?
Wie haben die Verbraucher das Recht, sich frei für oder gegen dieses Fleisch zu entscheiden?	How do consumers have the right to freely decide for or against this meat?
Wie stehen Sie dazu, daß der Artikel 36 verletzt wird?	What do you think about Article 36 being violated?
Denn Artikel 36 gibt den Mitgliedstaaten die Möglichkeit, wenn es gesundheitliche Risiken gibt, ein Embargo zu verhängen.	Article 36 gives Member States the option, when there are health risks, to impose an embargo.
Wo gibt es mehr Zweifel als hier?	Where is there more doubt than here?
Wir wissen wenig über die Inkubationszeit.	We know little about the incubation time.
Sie wissen, die Berater haben große Zweifel angemeldet, auch was das Problem der Übertragbarkeit betrifft.	You know that the advisers have expressed grave doubts, including doubts over the problem of transferability.
Das ist also meine Frage.	So that is my question.
Ich glaube, Sie höhlen hier den Artikel 36 aus, und Sie treten das Vorsorgeprinzip und die Transparenz für die Verbraucher mit Füßen, wenn Sie jetzt voreilig diese Entscheidung treffen, anstatt wirklich dafür zu sorgen, daß Lebensmittel das sind, was sie sein sollen, nämlich Mittel zum Leben und frei von gesundheitlichen Risiken!	I believe that that you are undermining Article 36 and that you are trampling underfoot the precautionary principle and transparency for consumers by taking this decision prematurely instead of actually ensuring that foodstuffs are exactly what they should be, suitable to eat and free from health risks!
