Herr Präsident! Im Anschluss an Ihre Worte möchte ich sagen: Guten Morgen.	Mr President, to follow on from what you just said, a very good morning.
Vielleicht ist dies auch ein Zeichen für den neuen Aufbruch, den wir mit dem 6. Forschungsrahmenprogramm vorhaben.	Perhaps this is also a sign of the new start which we are planning with the sixth research framework programme.
Mein Dank gilt auch der Berichterstatterin.	My thanks also to the rapporteur.
Ich sage das nicht nur aus bloßer Höflichkeit, denn ich glaube, wir haben gut zusammengearbeitet und sind auch den Vorgaben der Berichterstatterin weitgehend gefolgt. Ich möchte mich noch einmal ausdrücklich für die Initiative bedanken.	I do not say that merely as a courtesy because I think we have worked well together and have basically followed the rapporteur's line and I should like to make a point of thanking her for her initiative.
Was nun diese Beteiligungsregeln anbelangt, so muss ich sagen, dass wir der Kommission eine große Verantwortung auferlegt haben, und wir verlangen damit auch viel von ihr.	As far as these rules of participation are concerned, I would like to say that we have put a great deal of responsibility on the Commission and demanded a great deal from it.
Ich beneide die Kommission nicht, denn es wird sehr schwierig werden, das 6. Forschungsrahmenprogramm umzusetzen, wenn ich z. B. den Beschluss nehme, wonach die Kommission jeden etwaigen Beschluss zur Ablehnung eines Vorschlags begründet.	I do not envy the Commission its task, because it will be no easy matter to implement the sixth research framework programme; you only have to think of the provision requiring the Commission to give reasons for any decision rejecting a proposal.
Das ist eine alte Forderung von uns, aber bei den vielen Zehntausenden Projekten ist dies eine enorme Verantwortung für die Kommission.	That is one of our old demands, but with several tens of thousands of projects, it places an enormous responsibility on the Commission.
Wenn sie das schafft, dann muss ich sagen: Hut ab, denn dies trägt sicher dazu bei, dass die Begeisterung vieler, am europäischen Forschungsprogramm teilzunehmen, nicht abnimmt.	If it succeeds here, my hat off to it, because this is certainly one reason why many people are still just as enthusiastic about taking part in the European research programme.
Aber es wird nicht einfach sein.	But it will not be easy.
Die große Schwierigkeit bei diesem 6. Forschungsrahmenprogramm ist doch, dass so viele Mitgliedstaaten daran teilnehmen. 15 Mitgliedstaaten plus die Staaten, die der Europäischen Union beitreten wollen, plus die Staaten des Europäischen Wirtschaftsraums plus Israel und in Zukunft noch die Schweiz.	The main difficulty with this sixth research framework programme is that so many Member States are taking part in it - fifteen Member States, plus the countries which want to join the European Union, plus the countries in the European Economic Area, plus Israel and, in the future, Switzerland too.
Das heißt, es sind sehr viele Teilnehmer, und diese zu 'verwalten', d. h. das Forschungsrahmenprogramm korrekt umzusetzen, wird nicht einfach sein.	In other words, there are a great many participants and "managing" them, by which I mean implementing the research framework programme properly, will be no easy task.
Ich verstehe auch den Wunsch, möglichst große Projekte, Exzellenz-Netze, integrierte Projekte usw. zustande zu bringen, und vermutlich wird dies auch die Zukunft des europäischen Forschungsprogramms sein.	I also understand why it wants to encourage projects, networks of excellence, integrated projects etc. which are as big as possible and presumably this will also be the future of the European research programme.
Das bedeutet jedoch, dass die anderen, die kleineren Projekte vor allem, mehr und mehr von den Mitgliedstaaten und den Regionen übernommen werden müssen, d. h. dies wird zu einer stärkeren Arbeitsteilung zwischen der Europäischen Union und den Mitgliedstaaten führen.	However, this means that other, mainly smaller projects will increasingly need to be taken over by the Member States and the regions, leading to a stricter division of labour between the European Union and the Member States.
Ich freue mich außerordentlich, dass die Frage des zweistufigen Verfahrens genauer beschrieben wurde.	I am absolutely delighted that the matter of the two-stage procedure has been described in greater detail.
Von diesem zweistufigen Verfahren erwarte ich Erleichterung, je nachdem, wie man es umsetzt.	I expect this two-stage procedure to lighten the load somewhat, depending on how it is implemented.
Die Kommission hat ja gewisse Erfahrungen damit. Ich hoffe, es wird ihr gelingen, das noch zu verbessern.	The Commission has a certain amount of experience here and I trust it will be able to improve on it.
Je schneller wir das 6. Forschungsrahmenprogramm umsetzen, um so mehr Geld sparen wir.	The faster we implement the sixth research framework programme, the more money we shall save.
Das Parlament hat seinen Beitrag dazu geleistet, es gibt einen Konsens dafür.	Parliament has made its contribution, and there is a consensus in favour.
Jetzt geht es darum, das Geld möglichst zügig auszugeben. Ich wünsche Ihnen viel Erfolg dabei, Herr Kommissar.	The thing now is to hand out the money as quickly as possible and I wish you every success in doing so, Commissioner.
