Herr Präsident! Es ist ein Brief an Sie persönlich, Herr Präsident, und nicht an die Kammer.	Mr President, it is a letter addressed to you personally, not to the Chamber.
Vertragsänderungen sind immer kompliziert, auch vereinfachte Vertragsänderungen.	Treaty modifications are always complex, even simplified ones.
Was wir hier diskutieren, zeigt, dass wir in einer extrem schwierigen Lage sind.	What we are discussing here shows that we are in an extremely difficult situation.
Die Begrifflichkeit "vereinfachtes Verfahren" täuscht darüber hinweg, dass dieses vereinfachte Verfahren auch scheitern kann.	The term 'simplified procedure' conceals the fact that it is possible for this type of procedure to fail.
Es kann hier scheitern, es kann aber auch woanders scheitern.	It can fail here and also elsewhere.
Und es wird uns gesagt: Wenn es scheitert, sind wir in einer extrem schwierigen Situation.	We have been told that if it fails, we will be in a very difficult position.
Deshalb muss man sich nochmals die Frage stellen: Was können wir tun, damit es nicht scheitert?	Therefore, we need to ask ourselves once again what we can do to ensure that it does not fail.
Aber wir werden angehört.	It is true that we are being listened to.
Ob nicht nur dieses Ratifizierungsverfahren, sondern das Euro-Projekt insgesamt nicht scheitert, hängt vom Willen der Regierungschefs ab, in sich kohärent und geschlossen zu handeln.	Whether just the ratification procedure fails or also the euro project as a whole will depend on the determination of the Heads of Government to take coherent and united action.
Dazu ist hier viel Richtiges gesagt worden.	A lot of valid remarks have already been made in this respect.
Deshalb will ich drei Überlegungen hinzufügen, die von grundsätzlicher Bedeutung sind.	I would like to add three points which are of fundamental importance.
Heute, ein Jahr nach Beginn dieser schweren Krise, frage ich Sie: Wo steht der Außenwert unserer Währung heute?	Today, a year after the start of this serious crisis, I would like to ask you what the external value of our currency is.
Bei 1,35 Dollar.	The answer to that question is USD 1.35.
Als wir den Euro einführten, waren es 1,17 Dollar.	When the euro was first introduced, the same figure was USD 1.17.
Jetzt sind wir bei 1,35 Dollar.	Now it has reached USD 1.35.
Der Wert einer internationalen Währung bemisst sich auch am Außenwert.	The value of an international currency is based on its external value.
Der Außenwert des Euro ist seit einem Jahr massiv stabil.	Over the last year, the external value of the euro has been highly stable.
Was nicht stabil ist, ist die innere Struktur des Euro.	However, the internal structure of the euro is not at all stable.
Die ist deshalb nicht stabil, weil die Staats- und Regierungschefs in ihrer Ambiguität, in ihrer Doppelbödigkeit bald nicht mehr zu überbieten sind.	This is because of the wildly ambiguous attitude and the double standards of the Heads of State or Government.
Das Problem ist doch nicht, dass Europa nicht einheitlich handeln kann.	The problem is not that Europe cannot act in a consistent way.
Die Instrumente sind doch da.	After all, the instruments are in place.
