Berichterstatter. - Frau Präsidentin! Das war eine interessante Debatte.	rapporteur. - Madam President, that was an interesting debate.
Jetzt haben wir es mit einem ganz anderen Thema zu tun - mal sehen, wie wir früher oder später zu einem Ergebnis kommen.	We now move on to a very different subject area. We will see if we can achieve an outcome sooner or later.
Es gibt eine Redensart, die - so nehme ich an - in ganz Europa verstanden wird, die lautet: Geld macht nicht glücklich, aber es beruhigt.	There is a saying which, I presume, is understood throughout Europe, namely that money does not bring happiness, but it does bring peace of mind.
In diesem Sinne wünsche ich zunächst einmal allen unseren Bürgern in Europa, dass sie beruhigt sein mögen.	In that spirit, let me start by wishing all our citizens in Europe peace of mind.
Alle Mitgliedstaaten kennen Verfahren, durch die das verhindert werden soll, vorläufige Verfahren, einstweilige Verfügungen, Arrest, vorläufige Beschlagnahmen - wie immer sich das nennt.	All Member States have procedures which aim to prevent this from occurring. They include attachments, injunctions, arrest and seizure: there are many different terms.
Es ist überall sehr verschieden, es ist sehr kompliziert, die Sprachproblematik kommt dazu.	Procedures vary very widely and the situation is extremely complicated, and there is of course the language issue as well.
Wenn jemand sich immer der grenzüberschreitenden Verfahren des Mitgliedstaats bedienen würde, dann wäre es oft so, dass - wie man bei uns in Deutschland sagt - der Hase über der Höhe wäre, das heißt, der Schuldner hätte Gelegenheit gehabt, seine Vermögenswerte verschwinden zu lassen.	Anyone wishing to make use of Member States' various cross-border procedures may well find that the horse has bolted, or as we say in Germany, the hare is already on the other side of the hill. In other words, the debtor has had time to hide his assets.
Das Problem ist in Europa inzwischen grenzüberschreitend virulent. Es wird umso wichtiger, als wir alle einen einheitlichen Zahlungsraum wollen, bargeldlose Zahlungen.	This is now a widespread problem across Europe's borders, and it is becoming increasingly pressing given that we are all aiming for a single payment area with cash-free transactions.
Das heißt, die Möglichkeit, gerade über die Grenze hinweg Vermögenswerte verschwinden zu lassen, wird immer größer.	That means that the opportunities to hide assets on the other side of the hill are steadily growing.
Deswegen hat die Kommission - ich will ausdrücklich sagen völlig zu Recht - die Initiative ergriffen.	That is why the Commission has taken the initiative and, I would emphasise, is quite right to do so.
Sie hat ein sehr gutes Grünbuch vorgelegt, umfangreich, mit vielen Details, wobei sicherlich manches noch zu klären sein wird.	It has presented a very good Green Paper which is comprehensive and detailed, albeit with some points which will undoubtedly require further clarification.
Das steht ja auch noch an, ist ja auch Sinn der Anhörung.	That is still ahead of us and is the purpose of the hearing.
Und auch das Europäische Parlament kann in diesem Stadium nicht auf alles eingehen, und ich auch nicht. Deswegen will ich nur auf einige Punkte einfach stichwortartig hinweisen.	At this stage, the European Parliament cannot deal with all aspects in detail, and neither can I, so I shall simply mention some of the key points.
Zunächst einmal - obwohl es eigentlich selbstverständlich ist - geht es nur um eine vorläufige Pfändung, eine vorläufige Sicherstellung, keineswegs um eine endgültige Befriedigung.	First of all, although this can really be taken for granted, the report is only about the attachment of bank accounts and temporarily freezing bank deposits. It is not about final settlement.
