Herr Präsident, meine sehr verehrten Damen und Herren! Auch ich danke dem Berichterstatter.	Mr President, ladies and gentlemen, I too am grateful to the rapporteur.
Zwei Drittel aller Erkrankungen sind zur Zeit noch nicht oder nicht befriedigend behandelbar.	Two thirds of all diseases can still not be treated or treated adequately.
Dabei geht es zum Teil um sehr grausame, oft zum Tode führende Erkrankungen.	Some of them are quite dreadful diseases, and often fatal.
Daraus ergibt sich die Notwendigkeit der medizinischen Forschung und insbesondere der Arzneimittelforschung.	Hence the need for medical research, and especially research into medical products.
Die zur Debatte stehende Richtlinie kann helfen, die klinische Forschung in Europa zu verbessern.	The directive we are discussing can help improve clinical research in Europe.
Insbesondere bietet die Vereinheitlichung der Verfahren die Chance, Doppelarbeiten zu vermeiden.	In particular, the standardisation of procedures offers a chance to avoid duplication.
Wir müssen jedoch in jedem Fall den Schutz der Versuchspersonen umfassend gewährleisten.	However, we must guarantee comprehensive protection of the trial subjects under all circumstances.
Besondere Beachtung muß der Schutz nicht einwilligungsfähiger Personen finden, zum Beispiel von Kindern und Menschen mit geistiger Behinderung.	Special attention must be given to protecting people who are incapable of giving their informed consent, such as children and the mentally handicapped.
Der Kommissionsvorschlag nimmt dazu nicht ausreichend Stellung.	The Commission proposal does not take adequate account of this.
Er verweist vielmehr auf die Konvention des Europarates zu Menschenrechten und Biomedizin.	Instead, it refers mainly to the Council of Europe Convention for the protection of human rights and biomedicine.
Diese Konvention ist aber umstritten, und einige Mitgliedstaaten haben sich noch nicht entschieden, ob sie sie ratifizieren wollen oder nicht.	But that convention is a subject of dispute, and some Member States have not yet decided whether or not to ratify it.
Die Europäische Kommission - Herr Kommissar Liikanen, geben Sie das bitte weiter - sollte aufhören, diese Konvention in Rechtsdokumente der Europäischen Union hineinzuschreiben, etwa nach dem Motto "Um die ethischen Fragen brauchen wir uns ja nicht zu kümmern, dies hat ja der Europarat getan" .	The European Commission - and I would ask Commissioner Liikanen to pass this on - should stop writing this convention into EU legislative documents, rather on the assumption that 'we need not concern ourselves with the ethical questions; the Council of Europe has already done so'.
Wir brauchen sehr strenge Vorschriften zum Schutz von nichteinwilligungsfähigen Personen.	We need very strict provisions to protect individuals who are incapable of giving their informed consent.
Auf keinen Fall dürfen Kinder oder geistig behinderte Menschen als Versuchskaninchen mißbraucht werden.	Under no circumstances may children or the mentally handicapped be misused as guinea pigs.
Ich möchte allerdings die Ausführungen von Herrn Ephremidis so nicht stehen lassen, denn ich bin der Meinung, daß die überwiegende Mehrheit der Verantwortlichen in der Industrie und in den Kliniken die Forschung nicht mißbräuchlich durchführt, sondern daß sie sich an die Regeln zum Schutz der Versuchspersonen hält.	However, I do not accept Mr Ephremidis's statement as it stands, since I believe that the overwhelming majority of responsible persons in industry and in the clinics do not carry out research in an abusive manner, but abide by the rules on the protection of trial subjects.
Aber wir müssen auch im Rahmen dieser Richtlinie diese Regeln klarstellen.	But we must also make that clear under this directive.
Ich stimme dem Änderungsantrag der Fraktion "Die Grünen im Europäischen Parlament" nicht zu, die nichteinwilligungsfähigen Personen vollständig von der Forschung auszunehmen, weil ich glaube, daß wir damit gerade bei Kinderkrankheiten die Forschung zum Stillstand bringen würden.	I do not endorse the amendment by the Green Group to the effect that people who are incapable of giving their informed consent should be totally excluded from the research, because I believe we would then be bringing research to a standstill, for children's diseases in particular.
Manche Kinderkrankheiten kommen bei Erwachsenen nicht vor, und daher kann man die entsprechenden Studien auch nicht vollständig bei Erwachsenen durchführen.	Some children's diseases do not occur among adults, which is why it is not possible to conduct the relevant studies in full on adults.
Deswegen brauchen wir strenge Regeln, aber kein totales Verbot.	That is why we need strict rules, but not a total ban.
