Herr Präsident, ich gebe mir Mühe.	Mr President, I shall do my best.
Es geht um den Vorschlag für eine Entscheidung des Rates zu vier Programmen, die sich mit der Zusammenarbeit und dem Austausch im Bereich der polizeilichen und justiziellen Zusammenarbeit in Strafsachen befassen.	This report is on the proposal for a Council decision on four programmes to do with cooperation and exchange in the area of police and judicial cooperation in criminal matters.
Ganz kurz nochmal zu den Programmen: GROTIUS - da geht es um die Kooperation von Angehörigen der Rechtsberufe, zur Verfügung stehen 8,8 Mio. Euro.	To recap: GROTIUS is a programme of cooperation between legal practitioners with a budget of EUR 8.8 million.
Bei OISIN geht es um die Zusammenarbeit bei Strafverfolgungsbehörden, zur Verfügung stehen 8 Mio. Euro.	OISIN is a programme of cooperation between law enforcement authorities with a budget of EUR 8 million.
Bei STOP geht es um die Koordinierung von Maßnahmen gegen den Menschenhandel und die sexuelle Ausbeutung von Kindern, zur Verfügung stehen 6,5 Mio. Euro. HIPPOKRATES ist ein neues Programm, das sich vor allem mit der Aus- und Fortbildung bei der Kriminalitätsprävention beschäftigt, und es soll mit 2 Mio. Euro ausgestattet werden.	STOP is a programme to coordinate action to combat the trade in human beings and the sexual exploitation of children with a budget of EUR 6.5 million and HIPPOCRATES is a new programme concerned mainly with training for the prevention of crime and is to be allocated a budget of EUR 2 million.
Die Einbeziehung von HIPPOKRATES bietet sich insofern an, da wesentliche Aspekte des Programms wie Laufzeit, Zugang und Regelung der Finanzierung den Vorschlägen der anderen Programme entsprechen.	Including HIPPOCRATES is a good idea insofar as fundamental aspects of the programme, such as its duration, access and funding rules, tally with the proposals in the other programmes.
Die Kommission hat eine Verlängerung der Mehrjahresprogramme GROTIUS, OISIN und STOP um zwei weitere Jahre vorgeschlagen.	The Commission has proposed extending the GROTIUS, OISIN and STOP multi-annual programmes by a further two years.
Grundsätzlich ist die Weiterführung der Programme zu befürworten, da sie sich als geeignet erwiesen haben - auch wenn nicht alle Mitgliedstaaten daran teilnehmen -, zu einer effektiven Kooperation im Rahmen der Verbrechensbekämpfung und Prävention und damit auch zur Realisierung der Schlussfolgerung von Tampere beizutragen.	In principle, we should vote in favour of extending these programmes because they have proven to be conducive - even though not all the Member States take part in them - to effective cooperation in combating and preventing crime, thereby helping to implement the Tampere conclusions.
Die Durchführungsberichte der Kommission bestätigen, dass die Programmziele erreicht wurden.	The Commission' s implementation reports confirm that the programme objectives have been achieved.
Eine externe Studie hat aber auch noch Schwachstellen bei der Durchführung der drei Programme aufgezeigt, zum Beispiel was das Management und die Verbreitung der Projektergebnisse betrifft.	However, an external study has highlighted persistent weaknesses in the implementation of the three programmes, for example in connection with the management and dissemination of the project results.
Fraglich ist auch, ob die Herabsetzung der Kofinanzierungsgrenze von 80 % auf 70 % die Projektträger wirklich besser mobilisiert.	There is also some doubt as to whether the mobilisation of project agencies has been improved by reducing the cofinancing limit from 80% to 70%.
Ich bin für eine frühestmögliche Einbeziehung der Beitrittsländer in diese Programme, weil ganz einfach der Umbau der Polizei und der Justiz in diesen Staaten sehr zu wünschen übrig lässt, und ich möchte eine frühestmögliche Einbeziehung.	I am in favour of including candidate countries in these programmes at the earliest possible opportunity, simply because the reform of the police and judiciary in these countries leaves a great deal to be desired. I should therefore like them involved at the earliest possible opportunity.
Die wirklich einzige Differenz meinerseits zum Vorschlag der Kommission, die es gab, ist die Zeitschiene.	The only real exception which I take to the Commission proposal concerns the time scale.
Ich hätte mir gewünscht, dass schon zum jetzigen Zeitpunkt ein einziges Rahmenprogramm vorliegen würde.	I would have liked a single framework programme to have been submitted now.
Ich bin überzeugt davon, dass es mit einem größeren Engagement der Kommission auch machbar gewesen wäre.	I am positive that, with greater commitment on the Commission' s part, this would have been feasible.
Der Ausschuss für die Freiheiten und Rechte der Bürger, Justiz und innere Angelegenheiten hätte sich ein umfassenderes und ehrgeizigeres Programm von der Kommission gewünscht.	The Committee on Citizens' Freedoms and Rights, Justice and Home Affairs would have liked a more comprehensive and ambitious programme from the Commission.
Folgende Gründe sprechen dagegen, verschiedene Finanzierungsprogramme getrennt voneinander weiterzuführen.	There are reasons against continuing various funding programmes separately from one another.
Die Zuteilung eines Projekts zu einem konkreten Finanzierungsprogramm wird dann erschwert, wenn ein Projekt ein generelles Thema, zum Beispiel die Charta der Grundrechte, oder mehrere Sachgebiete gleichzeitig betrifft oder aber gleichzeitig Mitgliedsländer und Beitrittsländer einbezieht.	It is difficult to allocate a project to a specific funding programme if it relates to a general subject, such as the Charter of Fundamental Rights, or to several technical areas at once or involves both Member States and candidate countries.
Die Anhäufung von Einzelprogrammen erhöht die Wahrscheinlichkeit von Zielkonflikten, erschwert die finanzielle Evaluation sowie eine Überprüfung der Kohärenz der Einzelprogramme mit den allgemeinen Zielen der Union.	Running individual programmes in parallel increases the probability of conflicting aims and makes it difficult to carry out a financial evaluation and check the coherence of individual programmes with the general objectives of the Union.
Die Nachvollziehbarkeit seitens des Parlaments wird erschwert.	It is also difficult for Parliament to keep track of the programmes.
Die Tatsache, dass vorrangig Projekte Dritter finanziert werden, wirft die Frage auf, ob die Institutionen keine eigenen Prioritäten haben, die einer Finanzierung bedürfen.	The fact that most funding is for third party projects begs the question of whether the institutions have no priorities of their own which require funding.
Zum Beispiel denke ich da an Asylbewerber, an Opfer von Straftaten oder Projekte zur Verbesserung der Infrastruktur.	I am thinking here, for example, of asylum seekers, of victims of crime or projects to improve infrastructure.
Zudem wird ein gesondertes Budget für Pilotprojekte vorgeschlagen.	In addition, a separate budget has been proposed for pilot projects.
Der Ausschuss für die Freiheiten und Rechte der Bürger, Justiz und innere Angelegenheiten schlägt somit dem Plenum vor, die Kommissionsvorschläge zu unterstützen, aber gleichzeitig fordern wir die Kommission auf, rechtzeitig vor Ende des Jahres 2001 einen Vorschlag für eine Konsolidierung aller Initiativen, die die Schaffung eines Raums der Freiheit, der Sicherheit und des Rechts bezwecken und die auf Titel VI des Vertrages über die Europäische Union und auf Titel IV des Vertrages zur Gründung der Europäischen Gemeinschaft beruhen, vorzulegen, um die Rechte und Grundrechte der Bürger zu stärken.	The Committee on Citizens' Freedoms and Rights, Justice and Home Affairs therefore proposes that plenary support the Commission proposals but, at the same time, calls on the Commission to present a proposal well before the end of 2001, consolidating all the initiatives designed to create an area of freedom, security and justice on the basis of Title VI of the Treaty on European Union and Title IV of the Treaty establishing the European Community, in order to strengthen citizens' rights and fundamental rights.
Dies zu dem einen Thema.	So much for this aspect.
Jetzt komme ich zum Europäischen Justiziellen Netz für Zivil- und Handelssachen.	Now to the European Judicial Network in civil and commercial matters.
Bereits 1998 wurde die Einrichtung eines justiziellen Netzes in Strafsachen beschlossen.	It was decided to set up a judicial network in criminal matters back in 1998.
Dieses operiert über nationale Kontaktstellen, die den lokalen Behörden beratend zur Seite stehen.	This network operates via national contact points which advise and support local authorities.
Das Netz trägt nun nach anfänglichen Schwierigkeiten, die vorrangig technischer und linguistischer Natur waren, entscheidend zur Vereinfachung von Ermittlungen bei strafrechtlichen Handlungen im grenzüberschreitenden Bereich bei.	Following teething troubles of a mainly technical and linguistic nature, the network now helps considerably in simplifying cross-border investigations into criminal offences.
Der Kommissionsvorschlag sieht vor, die Methode der Kooperation von nationalen Kontaktstellen auf den Bereich des Zivil- und Handelsrechts auszudehnen. Eine Maßnahme, die meines Erachtens längst überfällig war.	The Commission proposal suggests extending the method of cooperation between national contact points to civil and commercial matters, a measure long overdue in my view.
Ich begrüße das Vorhaben als eine Möglichkeit, die justizielle Zusammenarbeit zwischen den Mitgliedstaaten zu vereinfachen und insbesondere die Abwicklung grenzüberschreitender rechtlicher Verfahren zu erleichtern.	I welcome this project as an opportunity to simplify judicial cooperation between Member States and, more importantly, to facilitate cross-border legal procedures.
Die Aktivitäten des Netzes sollen letztlich dem Bürger zugute kommen, und die Verbesserung der justiziellen Zusammenarbeit ist lediglich ein Zwischenziel, um letztlich für den Bürger einen Raum des Rechts zu schaffen. Deshalb wird in den Änderungsanträgen des Ausschusses spezifiziert, dass die Bürger sich in jedem anderen Mitgliedstaat genauso einfach wie in ihrem eigenen Staat an die Gerichte und Behörden wenden können.	The activities of the network should, in the final analysis, benefit the citizens; improving judicial cooperation is merely a half-way objective, the final objective being to create an area of justice for our citizens, which is why the Committee' s proposed amendments specify that citizens should be able to take recourse to the courts and authorities in any Member State as easily as they can in their own, thereby incorporating in the proposal the objective formulated by the European Council in the Tampere milestones.
Damit wird die Zielsetzung, die vom Europäischen Rat in den Meilensteinen von Tampere formuliert wurde, in den Vorschlag aufgenommen. Grundsätzliches Ziel soll sein, einen wirksamen Zugang zum Recht sowie einen zügigen und zuverlässigen Verfahrensablauf zu gewährleisten.	The basic objective should be to guarantee proper access to the law and fast, reliable procedures.
Ich kann mir vorstellen, dass dieses Netz auch ein begleitendes Instrument zur Umsetzung der Brüssel-II-Konvention sein kann.	I also see this network as an accompanying instrument for the purpose of implementing the Brussels II Convention.
Um aus den Erfahrungen des bereits bestehenden justiziellen Netzes in Strafsachen zu lernen, soll das neue Netz eng mit den Kontaktstellen des justiziellen Netzes in Strafsachen zusammenarbeiten.	In order to learn from the experience of the judicial network in criminal matters, the new network needs to cooperate closely with the contact points of the judicial network in criminal matters.
Es bietet sich auch an, dass das einzurichtende sichere elektronische Informationsaustauschsystem auf dem bestehenden elektronischen Datenaustauschprogramm für die Verwaltung aufgebaut wird.	It would also be a good idea if the secure electronic information exchange system to be set up were based on the current administrative electronic data exchange programme.
Auch hier betone ich die frühestmögliche Einbeziehung der Beitrittsländer.	Here again, I would stress that candidate countries should be included at the earliest possible opportunity.
Die Einrichtung einer zentralen elektronischen Rechtssachenkartei der Europäischen Union und einer Datenbank mit einem Urteilsregister wäre für Gerichte und Rechtssuchende von unschätzbarem Wert.	A central, electronic EU index of legal cases and a data bank containing a register of judgments would be invaluable to courts and persons taking recourse to the law.
Ein im Detail ausgearbeiteter Vorschlag dazu liegt bereits vor.	A detailed proposal on this has already been submitted.
Ich bedanke mich für die Änderungsanträge von Frau Wallis, die zur Präzisierung des Textes beigetragen haben, und ich bedanke mich für die Unterstützung meiner Anträge im Ausschuss.	I am grateful for the amendments proposed by Mrs Wallis, which helped to clarify the text, and I am grateful for the support for my amendments in committee.
Ich kann den Antrag 8 zur Begrenzung der Teilnehmerzahl nicht mittragen und stimme damit mit der Kommission überein.	I cannot support Amendment No 8 limiting the number of participants and agree with the Commission here.
Von Antrag 13 zu einem Pilotvorhaben innerhalb dieses Netzes konnte mich niemand überzeugen.	Nor was anyone able to convince me of the merit of Amendment No 13 on a pilot project within this network.
