Herr Präsident! Herzlich willkommen an Frau Ashton in ihrer neuen Position.	Mr President, I would like to welcome Baroness Ashton to her new position.
Herzlichen Dank an die Präsidentschaft für die Entschließung und für die Anerkennung dessen, dass ohne die Lösung der Siedlungsproblematik die Zweistaatenlösung langfristig auf jeden Fall nicht zu erreichen ist.	I would also like to thank the Swedish Presidency for the resolution and for acknowledging that it will not be possible to implement the two-state solution in the long term unless we can solve the settlement problem.
Der Bericht der heads of mission wurde schon mehrmals erwähnt.	The Heads of Mission report has been mentioned several times and we also believe that it is very good.
Wir finden ihn auch sehr gut.	On this basis, I have two questions.
Darauf aufbauend habe ich zwei Fragen: Was ist der aktuelle Status dieses Berichts, wo wird er veröffentlicht?	What is the current status of this report and where will it be published?
Zweitens, was werden Sie, Kommission und Rat, tun, um die darin enthaltenen Empfehlungen umzusetzen?	Secondly, what will you, the Commission and the Council, do to implement the recommendations in the report?
Ich möchte jetzt daraus drei Empfehlungen zitieren.	I would now like to quote three of the recommendations from the report.
Die erste lautet:	The first is:
Erstens: "Finanzielle Transaktionen von Akteuren der EU-Mitgliedstaaten, die die Siedlungsmaßnahme in Ostjerusalem unterstützen, durch die Annahme einer entsprechenden EU-Gesetzgebung verhindern oder von diesen abschrecken"; Zweitens: "Sicherstellen, dass Produkte, die in den Siedlungen in Ostjerusalem hergestellt werden, nicht gemäß dem Assoziierungsabkommen zwischen der EU und Israel in die EU exportiert werden", und drittens: "Leitfäden zur Herkunftsbeschriftung für Siedlungsprodukte allen wesentlichen EU-Einzelhändlern zur Verfügung stellen".	'prevent, discourage financial transactions from EU Member States' actors supporting settlement activity in East Jerusalem by adopting appropriate EU legislation'; second, 'ensure that products manufactured in settlements in East Jerusalem are not exported to the EU under the EU-Israel Association Agreement'; and, third, 'provide guidance on origin labelling for settlement products to major EU retailers.'
Das sind sehr konkrete und präzise Vorschläge, die in diesem Bericht gemacht werden.	The proposals made in this report are very specific and precise.
Was sind Ihre nächsten Schritte, um diese umzusetzen?	What steps do you plan to take now to implement them?
