Herr Präsident, ein Wort zum Herrn Kommissionspräsidenten Prodi.	Mr President, I should like to say one word to the President of the Commission, Mr Prodi.
Ich kann zu Ihrer Rede nur sagen: endlich!	All I can say to your speech is: finally!
Ich habe, wie viele hier, lange auf dieses klare Wort gewartet.	Like many here, I have waited a long time for this clear statement.
Herr Minister Moscovici, das Europäische Parlament hat von Anfang an die Forderung erhoben, die Charta der Grundrechte in die Verträge aufzunehmen, sie rechtsverbindlich zu machen und bei ihrer Verletzung den Menschen den Zugang zum Europäischen Gerichtshof zu öffnen.	Mr Moscovici, from the outset the European Parliament has called for the Charter of Fundamental Rights to be incorporated in the Treaties, for it to be made legally binding and - when it is infringed - for people to be given recourse to the European Court of Justice.
Diese Forderung ist nicht irgendeine politische Position.	This demand is not a political position of any kind.
Sie folgert sich zwingend aus der Natur der Sache, aus dem Wesen der Grundrechte, und sie entspricht den Erwartungen, den Ansprüchen der Menschen.	It results necessarily from the nature of the matter, from the essence of fundamental rights, and it corresponds to the expectations and requirements of the people.
Kann man denn ernsthaft Rechte verkünden, ohne sie als Rechte zu verankern?	Can you even proclaim rights in earnest without enshrining them in law?
Kann man ernsthaft Rechte verkünden, sich aber gleichzeitig weigern, sie zum eigenen Gesetz zu erklären?	Can you proclaim rights in earnest, but at the same time refuse to declare them part of your own law?
Kann man Grundrechte anerkennen, den Menschen aber die Instrumente und Mittel verweigern, sie zu verteidigen?	Can you recognise fundamental rights but deny people the instruments and means to defend them?
Jeder Artikel dieser Charta ist bereits in internationalen Konventionen verankert oder in den Verfassungen der Mitgliedstaaten oder im Völkerrecht oder in Verträgen und Protokollen der EU.	Each article of this Charter is already enshrined in international conventions, in the constitutions of the Member States, in international law or in EU treaties and protocols.
Sie sind nichts Neues.	None of them contain anything new.
Sie stellen die Summe von 200 Jahren Grundrechtstradition in Europa dar.	They represent the sum total of a 200-year tradition of fundamental rights in Europe.
Die einzige Frage, die es zu klären gibt, ist, ob die Europäische Union und ihre Institutionen sich dieser Grundrechtstradition Europas ebenso unterwerfen wie die Mitgliedstaaten.	The only question which needs to be resolved is whether the European Union and its institutions are - like the Member States - going to submit to this European tradition of fundamental rights.
Kann es, Herr Minister Moscovici, wirklich sein, dass Regierungen Angst davor haben, aus längst verbrieften Rechten tatsächlich geltendes, einklagbares, inneres Recht der Europäischen Union zu machen?	Can it, Mr Moscovici, be true that governments are afraid of making long attested rights into internal European law which is actually in force and can be upheld by the courts?
Würden der Europäische Rat und die Mitgliedsregierungen dann nicht vor aller Welt eingestehen, dass man all diese internationalen Konventionen seit Jahrzehnten als politische Bekenntnisliteratur ohne rechtliches Gewicht betrachtet?	If so, would the European Council and the governments of the Member States not be admitting to the whole world that all these international conventions have for decades been regarded as political confessional literature without any legal weight?
Würde man dann unter den Menschen nicht den Verdacht schüren, der Europäische Rat und die Regierungen der Mitgliedsländer versuchten, den Bereich der Regierungszusammenarbeit von der Grundrechtscharta auszusparen und seine eigene Macht und seine eigene Machtvollkommenheit vor rechtsstaatlichen Prinzipien, gerichtlichen Kontrollen und Grundrechtsordnungen zu schützen?	Would that not then arouse the suspicion amongst the people that the European Council and the governments of the Member States were trying to omit the section on governmental cooperation from the Charter on Fundamental Rights and protect their own power and their own absolute power from principles of the rule of law, judicial supervision and rules on fundamental rights?
Das ist der Verdacht, der im Raum steht!	That is the suspicion which persists!
Herr Minister Moscovici, es ist schon ein wenig skurril, dass Staats- und Regierungschefs Abwehrrechte gegen den Staat verkünden wollen.	Minister Moscovici, surely it is a little comical for the Heads of State and Government to wish to proclaim rights of defence against the State.
Es ist Sache der Parlamente, Grundrechte zu verkünden und sie als Rechte zu verankern.	It is a matter for parliaments to proclaim fundamental rights and to enshrine them in law.
Aber ich glaube, die Regierungen und der Europäische Rat sind gut beraten, in dieser Situation das Votum des Parlaments für die Rechtsverbindlichkeit und die Aufnahme in die Verträge als höchst gewichtiges Argument zu betrachten und sich dieser Forderung zu beugen.	But I believe that in this situation the governments and the European Council would be well advised to regard Parliament's vote in favour of legal validity and incorporation into the Treaties as an extremely weighty argument and to accede to this demand.
