Herr Präsident, die Frauen werden mit dem Versprechen geködert, in der EU zu Geld zu kommen.	Mr President, women are being lured to the EU by the promise of easy money.
Sie werden angeworben für Vergnügungsviertel, die alles andere als ein Vergnügen sind.	They are being recruited for so-called "pleasure centres' that are anything but pleasure.
Sie werden in zweifelhafte Arbeitsverhältnisse und Scheinehen gelockt.	They are enticed into dubious employment and sham marriages.
Frauen aus Asien, Afrika, Südamerika und den mittelund osteuropäischen Staaten.	Women from Asia, Africa, South America and the central and eastern european states.
Immer perfekter operierende Schlepperbanden machen die Frauen gefügig mit angedrohter oder vollzogener Gewalt, beuten sie aus, zwingen sie zur Prostitution, halten sie gefangen.	Better and better organized gangs of pimps make women submissive by threatening or dispensing violence, exploiting them, forcing them into prostitution, holding them prisoner.
Das ist der Alltag von jährlich mehr als 500 000 Frauen.	That is the everyday existence of more than 500, 000 women annually.
Die Kommission schlägt im Kampf gegen den Frauenhandel mit dem Ziel sexueller Ausbeutung einen gesamteuropäischen Ansatz vor, Frau Gradin, den wir im Europäischen Parlament voll und ganz unterstützen.	Mrs Gradin, the Commission is proposing a pan-European approach to the fight against the trade in women for the sole purpose of sexual exploitation, and we fully support this in the European Parliament.
Er muß allerdings konkret werden und die NRO einbeziehen.	However, it needs to be made more concrete and include the NRO.
Sue Waddington hat in ihrem engagierten, exzellent recherchierten Bericht gefordert, die Dinge aus der Sicht der Opfer zu behandeln.	In her committed and excellently researched report, Sue Waddington demanded that the issue be regarded from the victims' angle.
Dem folge ich gern.	I go along with that.
In erster Linie brauchen wir Informationskampagnen, um vorzubeugen und Hintergrundwissen zu vermitteln: die Ziele sogenannter Anwerber, der Aufbau ihrer Systeme und ihre Machenschaften.	First of all, we need an awareness-raising campaign to provide us with background information on, and thereby thwart, the aims of so-called recruitment agencies, the structure of their systems and their wheelings and dealings.
Die Opfer brauchen Hilfe, damit sie Mut haben, die Namen der Täter zu nennen.	The victims need help in finding the courage to come forward and name the offenders.
In Frauenhäusern brauchen sie eine sichere Zuflucht und zumindest ein befristetes Aufenthaltsrecht, um dann in ihre Heimat zurückkehren zu können, und sie sollen darauf vorbereitet werden, sich trotz Armut und Diskriminierung dort behaupten zu können.	They need a safe refuge and, at least, a limited right of abode in a women's hostel before returning home, having been properly prepared for asserting themselves there in the face of poverty and discrimination.
Zynisch, aber wahr: Der Menschenhandel ist einer der Wachstumsmärkte in Europa.	It might be cynical of me to say this, but it is true: trafficking in human beings is one of the growth markets in Europe.
Schier grenzenlos steht er zur Verfügung ohne große Risiken.	Not limited by borders, it can be carried on without serious risk.
Dieses internationale Verbrechen muß ausgetrocknet werden, durch Schließung der Lokalitäten mit nachgewiesenem Menschenhandel, durch Konfiszierung der Gewinne aus Straftaten, durch Höchststrafen mit Sicherheitsverwahrung, durch Aberkennung der Bürgerrechte.	This international crime must be sapped of its strength by closing the localities known to traffic in people, confiscating the profits made from criminal acts, imposing maximum custodial sentences, and depriving the perpetrators of their civil rights.
Die Mitgliedstaaten müssen einheitlich aktiv werden und durch Klauseln in Abkommen mit Drittstaaten diesen Menschenhandel unterbinden, im Namen von Hunderttausenden leidtragender Frauen.	The Member States must take united action and stop this slave trade through the terms of treaties concluded with non-member countries, on behalf of hundreds of thousands of suffering women.
