Vizepräsident der Kommission.	Vice-President of the Commission.
Herr Präsident, meine sehr verehrten Damen und Herren Abgeordnete! Ich möchte zunächst der Berichterstatterin, Frau Sornoza Martínez, für ihre Arbeit an diesem Vorschlag herzlich danken.	Mr President, honourable Members, I would like to begin by offering my sincere thanks to Mrs Sornoza Martínez, the rapporteur, on her work on this proposal.
Wir beraten heute Abend eine sehr wichtige Richtlinie.	We are discussing a very important directive this evening.
Sie ist ein wichtiges Element in unserer Strategie, Quecksilber für immer aus unserer Umwelt zu verbannen - eine Strategie, die vom Europäischen Parlament seit langem unterstützt wird.	It is an important part of our strategy for banishing mercury from our environment for ever - a strategy that has long been backed by the European Parliament.
Quecksilber und seine Verbindungen sind hochgiftig für die menschliche Gesundheit und die Umwelt.	Mercury and its compounds are highly toxic to human health and the environment.
Deshalb wird die Richtlinie einen großen Fortschritt bringen, sie wird das Inverkehrbringen bestimmter neuer quecksilberhaltiger Messgeräte einschränken und erreichen, dass etwa 30 Tonnen Quecksilber pro Jahr nicht mehr über Abfallströme in die Umwelt eintreten.	The directive will therefore bring a major step forward, it will restrict the marketing of certain new measuring devices containing mercury and in that way prevent some 30 tonnes of mercury entering the environment through waste every year.
Die vorgeschlagene Richtlinie verfolgt das Ziel, den Einsatz dieses gefährlichen Stoffes in Messinstrumenten so weit wie möglich zu verringern und nur solche Ausnahmen zuzulassen, bei denen die Risiken vernachlässigbar sind oder wo es keine Ersatzstoffe gibt.	The proposed directive aims to cut the use of this hazardous material in measuring instruments to a minimum and to allow exceptions only where the risks are negligible or there are no substitutes.
So wird zum Beispiel das Inverkehrbringen von quecksilberhaltigen Fieberthermometern vollständig verboten und auch der Verkauf aller anderen quecksilberhaltigen Messinstrumente an die breite Öffentlichkeit verhindert.	Thus, the marketing of mercury-containing fever thermometers will be banned completely, for example, and the sale of all other mercury-containing measuring instruments to the general public will be prevented.
Dass es für Blutdruckmessgeräte im Gesundheitssektor und für antike Messinstrumente eine Ausnahme geben wird, halte ich für richtig.	I believe it is right that there will be an exception for blood pressure meters in the health sector and for antique measuring instruments.
Die Vorschläge wurden auf der Grundlage einer Risikobewertung und einer ausführlichen Folgenabschätzung erarbeitet, die für die Quecksilberstrategie entwickelt wurden.	The proposals were drawn up on the basis of a risk assessment and detailed impact assessment that were developed for the mercury strategy.
Diese Richtlinie sorgt nicht nur für den Schutz der menschlichen Gesundheit und der Umwelt, sie wird auch der Erhaltung des Binnenmarktes dienen, da sie überall in der Gemeinschaft harmonisierte Regeln für das Inverkehrbringen von quecksilberhaltigen Messgeräten einführen wird.	This directive does not only safeguard human health and the environment, it will also serve to maintain the internal market, since it will introduce harmonised rules for the marketing of mercury-containing measuring devices everywhere in the Community.
Die Berichterstatterin empfiehlt, den Gemeinsamen Standpunkt des Rates ohne weitere Änderung zu unterstützen.	The rapporteur recommends approval of the Council common position without further amendment.
Diese Auffassung wird von der Kommission vollständig geteilt, da der Gemeinsame Standpunkt einige der Änderungsanträge des Parlaments aus erster Lesung aufgenommen hat und einen ausgewogenen Kompromiss darstellt zwischen dem Bestreben, einerseits die Verwendung von Quecksilber zum Schutz von menschlicher Gesundheit und Umwelt weitestgehend zu unterbinden, andererseits aber die Sicherheit von Patienten im Gesundheitsbereich sicherzustellen.	The Commission agrees with this entirely, since the common position has adopted some of the amendments tabled by Parliament at first reading and represents a balanced compromise between the effort to ban the use of mercury to the greatest possible extent in order to safeguard human health and the environment on the one hand while ensuring the safety of patients in the health sector on the other.
Ich muss bestätigen, was die Berichterstatterin bereits gesagt hat: Quecksilberhaltige Blutdruckmessgeräte, so genannte Sphygmomanometer, werden bei der Behandlung bestimmter lebensbedrohender Krankheiten immer noch von der Mehrheit der Sachverständigen für unverzichtbar gehalten.	I must confirm what the rapporteur has already said: the majority of experts still consider mercury-containing blood pressure meters, sphygmomanometers, essential in the treatment of certain life-threatening diseases.
Wir werden uns aber mit dieser Frage beschäftigen müssen.	We shall have to look into this matter, however.
Wenn nämlich auch für diese Geräte sichere Alternativen zur Verfügung stehen, dann sollte auch hier das Quecksilber verbannt werden.	If there are safe alternatives available for these instruments, too, then mercury should be banned here as well.
Die Kommission will daher die vorgesehene Ausnahme bereits in zwei Jahren überprüfen.	The Commission will therefore be reviewing the derogation in two years' time.
Eine weitere Ausnahme sieht vor, die Vermarktung antiker Messinstrumente - das sind solche, die mindestens 50 Jahre alt sind - weiterhin zu erlauben.	A further derogation means that antique measuring instruments, that is those that are at least 50 years old, will still be able to be sold.
Dem kann die Kommission zustimmen, da antike Instrumente überwiegend Sammlerstücke sind, die wegen ihres Wertes sehr vorsichtig behandelt werden und nur in sehr begrenzten Zahlen auf den Markt kommen.	The Commission is able to agree with this because antique instruments are predominantly collector's items which, because of their value, are handled very carefully and come onto the market in only very small numbers.
Nach Auffassung der Kommission gibt es allerdings keine Rechtfertigung für eine unbefristete Ausnahmeregelung für die weitere Abgabe von neuen quecksilberhaltigen Barometern an die Endverbraucher.	In the Commission's view, however, there is no justification for an unlimited derogation for the further sale of new mercury barometers to consumers.
Da es ebenso dekorative wie zuverlässige Alternativen zu quecksilberhaltigen Barometern gibt, ist die Verwendung dieses gefährlichen Stoffes bei der Herstellung von Barometern absolut nicht erforderlich.	Since there are alternatives to mercury barometers that are just as decorative and reliable, there is absolutely no need for this hazardous substance to be used in the manufacture of barometers.
Eine unbefristete Ausnahme für solche Geräte stünde in starkem Widerspruch zu der Position in Bezug auf hochgefährliche Stoffe, die dieses Europäische Parlament bei der Verabschiedung des neuen Chemikalienrechts REACH eingenommen hat.	An unlimited derogation for such instruments would be in stark contradiction to the stance taken by the European Parliament in relation to highly dangerous substances when adopting the new REACH legislation on chemicals.
Ein Übergangszeitraum von zwei Jahren, wie jetzt in der Richtlinie vorgesehen, reicht vollkommen aus, um den wenigen noch verbliebenen Herstellern von Quecksilberbarometern die Möglichkeit zu geben, ihr Geschäft auf Alternativen umzustellen.	A transitional period of two years, as now provided in the directive, is perfectly adequate to allow the few remaining manufacturers of mercury barometers to convert to alternatives.
Im Übrigen ist es so, dass viele dieser Hersteller, wenn nicht sogar alle, bereits alternative Angebote haben.	In any case, many of those manufacturers, if not all of them, already offer alternative products.
Die Kommission wird daher den vorgelegten Änderungsanträgen, soweit es sich um dauerhafte Ausnahmen für Barometer handelt, unter keinen Umständen zustimmen.	Under no circumstances, therefore, will the Commission agree to the amendments that have been tabled seeking permanent derogations for barometers.
Ich ersuche Sie dringend mitzuhelfen, dass mit der Unterstützung des Gemeinsamen Standpunktes die Richtlinie jetzt in zweiter Lesung verabschiedet werden kann.	I urgently request your assistance in backing the common position so that the directive can now be adopted at second reading.
