Herr Präsident! Zuerst einmal darf ich mich sehr herzlich bei der Berichterstatterin bedanken.	Mr President, let me first of all express my sincere thanks to the rapporteur.
Sie gehört ja zu den Idealisten, die gerade für diesen Bereich sehr viel Zeit zusätzlich aufwenden.	She is one of the idealists who devote a great deal of additional time to this area.
Es stimmt: In der EU leben 37 Millionen behinderte Menschen.	It is quite right: there are 37 million disabled people living in the EU.
Sie haben zweifellos in unserer Gesellschaft mit vielen Vorurteilen und Schwierigkeiten zu kämpfen.	They certainly have to struggle with many prejudices and difficulties in our society.
Wer mit ihnen oder über sie spricht, sollte sich immer im klaren sein, daß er durchaus schon morgen zu ihrem Kreis gehören kann.	Anyone who speaks with them or about them should always appreciate that they could easily become one of their number overnight.
Für die Umsetzung der Behindertenpolitik tragen die Mitgliedstaaten die Hauptverantwortung.	The Member States are mainly responsible for implementing disability policy.
Trotzdem bin ich der Meinung, daß eine sinnvolle Koordinierung und Einbindung in sämtliche Konzepte der EU der Integration behinderter Menschen förderlich ist.	Nevertheless, I take the view that sensible coordination and inclusion in all EU programmes of the integration of disabled people is desirable.
Dies betone ich, obschon ich den Grundsatz der Subsidiarität sehr hoch einschätze.	I wish to emphasize this point, even though I have a very high regard for the principle of subsidiarity.
Ein neues Aktionsprogramm mit einer entsprechenden Konzeption, das den behinderten Menschen und ihren Verbänden, soweit sie dort im Verwaltungsrat mit 50 % vertreten sind, zugute kommt, ist deshalb erforderlich, damit die geschaffenen Strukturen nicht zusammenbrechen.	A new action programme designed on these lines for the benefit of disabled people and their associations, provided they have a 50 % representation on the management board, is therefore necessary to ensure that the structures which have been created do not collapse.
Förderung der Chancengleichheit und der Integration und der weitere Ausbau der Strukturen für die Zusammenarbeit sind nötig.	We need to promote equality of opportunity and integration, and to further extend the structures for cooperation.
Die Kommission sollte ungeachtet der Rechtsprobleme Pilotaktionen und Vorarbeiten unter Einbeziehung von Nichtregierungsorganisationen für Behinderte durchführen.	Regardless of the legal problems, the Commission should carry out pilot actions and preliminary work for disabled people, with the involvement of NGOs.
Die Durchsetzung der Nichtdiskriminierung und das Recht auf Zugang zu allen Gemeinschaftsprogrammen ist wichtig und sinnvoll.	Securing non-discrimination and the right of access to all Community programmes is sensible and important.
Gleichwohl genügt der theoretische Anspruch, der nur auf dem Papier steht, nicht.	However, rights which exist in theory on paper are not enough.
Sonst geht es den behinderten Menschen wie den kleinen und mittleren Unternehmen: Ihr Anspruch ist zwar in vielen Programmen verankert, wird aber oft nicht in die Praxis umgesetzt.	Otherwise, the same thing will happen to disabled people as to small and medium-sized enterprises: their rights may well be written into many programmes, but they are frequently not translated into practice.
Die Umsetzung muß energisch betrieben werden, damit entsprechende Ergebnisse erreicht werden.	We must make every effort to see that this happens, so that the right results are achieved.
Die echte Teilnahme an allen modernen Informations- und Kommunikationstechniken muß gewährleistet werden.	And we must ensure that there is genuine access to all the modern information and communication techniques.
Die Kürze der Redezeit läßt weitere Ausführungen leider nicht zu.	Unfortunately, I do not have enough speaking time to elaborate on this.
Entscheidend ist, so meine ich, daß die Probleme der behinderten Menschen von einer hochrangigen Expertengruppe, die bald eingesetzt werden muß, untersucht werden.	To my mind, it is essential that the problems of disabled people should be examined by a high-level group of experts which must be set up in the near future.
Dabei ist einerseits der Dialog mit den Mitgliedstaaten, die ja, wie bereits gesagt, die Hauptverantwortung tragen, und andererseits mit den europäischen Behindertenforen wichtig, damit Fortschritte für die behinderten Menschen auf europäischer Ebene und darüber hinaus erzielt werden können.	In this context, dialogue is important both with the Member States - which, as I said, are primarily responsible - and with the European disability forums, so that progress can be made for disabled people at European level and beyond.
Diese Zielsetzung wird auch von meiner Fraktion unterstützt, und ich darf mich an dieser Stelle bei dem heute verhinderten Kollegen, Bartho Pronk, der die Vorarbeiten für diesen Bericht auf unserer Seite geleistet hat, herzlich bedanken.	This objective is also supported by my group, and I should like to thank my colleague Bartho Pronk, who was responsible for our preliminary work on this report, but is unable to be present with us here today.
