Zunächst einmal zu dem allgemeinen Aspekt, den Sie nochmals erwähnt haben.	I should like to begin by dealing with the general point which you have raised again.
Jedes Jahr führen wir mit dem Parlament gemeinsam eine Debatte über das Legislativprogramm, über das Programm, das wir uns jährlich vornehmen wollen, sowohl was die Vorschläge der Kommission als auch die Wünsche des Parlaments betrifft.	Every year, we discuss with Parliament the legislative programme that we intend to set ourselves for the year, and consider both the Commission's proposals and the wishes of the House.
Im Rahmen dieser Debatte sind eine Reihe von Initiativen aufgegriffen worden, die gar nicht so formal behandelt worden sind, wie das eigentlich notwendig wäre.	In the context of those discussions, a number of initiatives are taken up which are handled much less formally than they really ought to be.
Sieht das Parlament - nehmen wir einmal ein Beispiel aus der Debatte der letzten Wochen - Pornographie im Internet zu Recht als drängendes Problem, so erklärte die Kommission bereits, daß wir das genauso sehen und entsprechende Schritte prüfen wollen, um die Möglichkeiten dafür einzuschränken, wenn wir sie schon nicht verhindern können.	To take an example from the discussion in recent weeks: the House regards pornography on the Internet as a pressing problem - as indeed it is - and the Commission has already said that it takes the same view and intends to consider appropriate measures to restrict the scope for pornography, if not actually prevent it.
Ich bin im Moment überfragt - obwohl es zu meinem Programm gehört -, wie weit wir jetzt mit dieser Gesundheitskarte sind.	At the moment, although it falls within my remit, I cannot tell you how far we have progressed with the medical card.
Sie ist ein Teil unserer Pilotprojekte.	It is one of our pilot projects.
Wir haben ein Pilotprojekt, wie die Informationsgesellschaft im Bereich des Gesundheitswesens umgesetzt werden kann, und wir arbeiten daran.	We have a pilot project looking at uses of information technology in health care, and we are working on that.
Ich bitte um Nachsicht, aber ich kann Ihnen jetzt wirklich nicht sagen, wann genau die Voraussetzungen für diese Karte geklärt sind.	I would ask you to bear with me, but at the moment I really cannot tell you exactly when the groundwork for this card will be completed.
Es ist nicht nur ein technisches Problem, sondern vor allen Dingen ein Problem der Geheimhaltung von geschützten persönlichen Daten.	The problem is not just a technical one, but concerns above all the question of how to keep protected personal data confidential.
Sie werden das sicher auch so sehen, daß wenn auf einer solchen Karte nicht nur die Krankengeschichte, sondern die Lebensgeschichte, die persönlichen Umstände eines Menschen verzeichnet sind, dafür Sorge getragen werden muß, um diese Daten nicht in unbefugte Hände geraten zu lassen.	I am sure you will agree that if such cards are to list not only an individual's medical history, but also their life history and personal circumstances, care will have to be taken that these details do not find their way into unauthorized hands.
Das ist eines der Probleme, das man wohl technisch lösen kann, aber dafür braucht man entsprechend Zeit.	This is one of the problems, and while there are certainly ways to resolve it technically, that will take time.
Wir schreiben Ihnen gerne einen Brief und nennen Ihnen den augenblicklichen Stand der Dinge.	We will be glad to write to you and give you an update on the situation.
