Herr Präsident! Herr Präsident Santer!	Mr President, Mr Santer, thank you for the Commission report.
Vielen für Dank für Ihren Bericht der Kommission.	Long awaited, much longed-for!
Lang erwartet, heiß ersehnt! Sie haben allerdings gesagt, Sie hätten den Bericht leidenschaftslos verfaßt.	You did say that you had drawn up the report dispassionately.
Ich hätte mir gewünscht, Sie hätten ihn mit Leidenschaft verfaßt, dann hätten wir jetzt vielleicht eine diskussionsfähige Beschlußvorlage.	I would have liked to have seen some passion, because then we would perhaps have had a decision on the table which it was worth discussing.
Statt dessen haben wir nun einen Bauchladen voller Optionen, einen qualifizierten Bauchladen zwar, aber nicht mehr.	Instead, we have a whole array of options, admittedly with certain qualifications, but nothing more than that.
Nun gut, wir haben ja auch im Parlament zielgerichtet diskutiert und schon das eine oder andere bei uns im Haushaltsausschuß festgestellt.	Be that as it may, we have also had a focused discussion in Parliament and have already reached one or two conclusions in the Committee on Budgets.
Unsere Ausgangslage ist doch folgende: Es gibt eben vertragliche Regelungen, die uns binden.	We take as our starting-point the fact that we are bound by rules in the Treaties.
So sagt der Artikel 130 a, die Gemeinschaft ist zu Solidarität zwischen den ärmeren und wohlhabenderen Mitgliedstaaten verpflichtet, und legt als eines ihrer Ziele fest, die Unterschiede im Entwicklungsstand der verschiedenen Regionen und den Rückstand der am stärksten benachteiligten Gebiete zu verringern.	Thus, Article 130a states that the Community is committed to solidarity between the poorer and wealthier Member States, and establishes one of its aims as being to reduce disparities between the levels of development of the various regions and the backwardness of the least-favoured regions.
Das ist das eine.	That is the first point.
Gleichzeitig gilt die Leistungsfähigkeit der Volkswirtschaften der Mitgliedstaaten, so wie Sie das auch beschrieben haben, selbst beim Mehrwertsteuersystem als wesentlicher Faktor für die Bestimmung ihrer Anteile an der Finanzierung des Haushalts der EU.	At the same time, the performance of Member States' national economies - as you also described it - is, even in the VAT system, an essential factor in determining their relative contributions to the EU budget.
Wenn wir uns genau umschauen, stellen wir fest, daß das in der Tat auf alle Mitgliedstaaten bis auf Großbritannien zutrifft.	If we look closely, we note that this is actually true for all Member States except the United Kingdom.
Großbritannien hat 15, 9 % Anteil am Bruttosozialprodukt, aber nur 9, 9 % Finanzierungsanteil am Haushalt.	The United Kingdom generates 15.9 % of Community GNP, but only contributes 9.9 % of the budget.
Sie haben beschrieben, woran es liegt, nämlich an dem sogenannten Britenrabatt.	You described why this is the case, namely because of what is known as the British rebate.
Dennoch gibt es, obwohl ja einigermaßen nach Leistungsfähigkeit in den Haushalt eingezahlt wird, Forderungen von Mitgliedstaaten nach geringeren Beiträgen!	Nevertheless, although contributions to the budget are indeed more or less based on performance, Member States are still demanding reduced contributions!
Im Gegenzug wird ein progressives Einnahmesystem oder auch eine Ausweitung des Haushalts über die bisherige Obergrenze von 1, 27 % des Bruttosozialprodukts hinaus vorgeschlagen, so wir das schon gehabt haben.	We have already had counter-proposals for a progressive system of raising revenue, or increasing the budget above the present ceiling of 1.27 % of GNP.
Niedergeschlagen hat sich das alles im Protokoll zum Cardiff-Gipfel.	All of this was reflected in the minutes of the Cardiff summit.
Die Mitgliedstaaten, die mehr oder weniger lautstark die Senkung ihrer Mitgliedsbeiträge fordern, gründen ihre Argumentation auf das sogenannte Nettozahlerkonzept.	The Member States calling, more or less vociferously, for their contributions to be cut, base their arguments on the so-called concept of net contributors.
