Es fallen mir zwei Grundregeln aus meiner Jugendzeit ein.	I am reminded of two basic rules from my childhood.
Mir ist einmal Folgendes gelehrt worden: "Wenn jemand zu Dir spricht, lass ihn ausreden.	I was once told: 'When someone speaks to you, let him finish talking.
Wenn Du eine Frage stellst, dann warte zumindest die Antwort ab."	If you ask a question, then at least wait for the answer'.
Es wäre demnach schön gewesen, er wäre im Haus geblieben und hätte die Debatte im Parlament verfolgen können.	On that principle, it would have been nice if he had stayed in the House, so that he could follow the debate in Parliament.
Das ist meine Auffassung	That is my opinion.
Die Kontrollen und Verbesserungsvorschläge des Rechnungshofs tragen maßgeblich zu einer besseren und sparsameren Verwendung der EU-Mittel bei.	The controls and the improvements suggested by the Court of Auditors make a significant contribution to the more effective and more economical use of EU funds.
Als Agrarpolitiker freut es mich besonders, dass die Mittelverwendung im Agrarbereich positiv bewertet wurde und im Durchschnitt keine wesentlichen Fehler festgestellt werden konnten.	As a Member with an interest in agriculture, I am particularly pleased that the use of funds in the area of agriculture was given a positive assessment and that on average, no significant irregularities were found.
Im Durchschnitt allerdings, und genau dort liegt das Problem; in der Landwirtschaft, gibt es dazu auch ein Sprichwort: Im Durchschnitt war der See einen halben Meter tief, und trotzdem ist die Kuh ersoffen.	However, this is on average and that is precisely where the problem lies. There is a saying in agriculture that on average, the lake was half a metre deep, but the cow still drowned.
Das heißt: Gerade wenn der Durchschnitt stimmt, gerade wenn die überwiegende Mehrheit der Länder in der Lage ist, die Verwaltungsvorschriften angemessen umzusetzen, gerade dann müssen wir uns mit den Ausreißern oder mit den bad guys beschäftigen.	In other words, when, on average, everything is correct and when the overwhelming majority of countries are able to apply the administrative regulations appropriately, it is then in particular that we must deal with the countries which do not toe the line, the bad guys.
Hier müssen wir Ross und Reiter nennen.	It is important to name names in this respect.
Herr Präsident, lassen Sie da nicht locker, und werden Sie ruhig etwas konkreter.	Mr President, please do not give in.
Das Parlament wird Sie an dieser Stelle unterstützen.	You can be more specific in what you say and Parliament will give you its support.
Etwas anders ist die Gefechtslage bei der Fehlerquote im ländlichen Raum.	The situation regarding the error rate in rural development is rather different.
Auch wenn diese etwas niedriger als im Vorjahr geworden ist, liegt sie nach wie vor wesentlich höher als bei den Agrarausgaben.	Even though the error rate is lower than the previous year, it is still significantly higher than that for agricultural expenditure.
Hier muss ich aber festhalten, dass sich ein Großteil der festgestellten Probleme durch falsche Anwendung und mangelndes Verständnis der komplizierten EU-Regeln erklären lässt und nicht unbedingt bedeutet, dass Gelder verschwendet werden müssen.	However, I must say at this point that the majority of the problems identified are due to the incorrect application and lack of understanding of complex EU regulations. This does not necessarily mean that money is being wasted.
Hier sind wir gemeinsam gefordert, auch Vorschriften, EU-Regeln zu verändern, zu verbessern, so dass die Mitgliedstaaten sie auch einfacher anwenden können.	We must all work together to modify and improve the EU regulations, so that the Member States can apply them more easily.
