Herr Präsident! Es sind viele gute Argumente angeführt worden.	Mr President, we have heard a lot of good arguments today.
Ich möchte gerne auf einige wesentliche Punkte eingehen.	I would just like to deal with a few important points.
So sollten wir den Appell des Kollegen Lehne unbedingt unterstützen und den Vorschlag von Kommissar Barnier annehmen.	We should support the call made by Mr Lehne and accept the proposal put forward by Commissioner Barnier.
Ich möchte in diesem Zusammenhang ausdrücklich auch die nicht nur in diesem Fall erfolgreiche Arbeit der belgischen Ratspräsidentschaft erwähnen.	At this point, I would like to draw attention yet again to the successful work of the Belgian Presidency of the Council.
Auch bei anderen Dossiers hat diese Präsidentschaft viel geleistet.	This Presidency has achieved a great deal in other areas too.
Es geht hier um eine Verfahrensentscheidung.	The issue at stake here is a procedural decision.
Der Kollege Lehne hat darauf hingewiesen.	Mr Lehne has already pointed this out.
Es geht nicht um die Frage, welche Sprache in Europa von wie vielen Menschen weltweit gesprochen wird und welche die schönste ist, sondern es geht um eine Verfahrensentscheidung, die der Rat treffen möchte.	The question at issue here is not which European language is spoken by how many people worldwide or which is the most aesthetically beautiful, but rather a procedural decision that the Council is anxious to take.
Diese Verfahrensentscheidung - da hat die Kollegin von den Grünen, die vorhin gesprochen hat, durchaus Recht - sollten wir vorsichtig prüfen.	I would agree with the previous speaker from the Group of the Greens/European Free Alliance when she said that we should exercise care when considering this procedural decision.
Aber es handelt sich hier nicht um den Wunsch einer Untergruppe im europäischen Ministerrat, hier ein Sprachenregime zu schaffen, sondern es sind immerhin 25 von 27 Mitgliedstaaten.	However, we are not faced with the desire of a subgroup within the European Council of Ministers to establish a language regime, but rather the wishes of 25 out of 27 Member States.
Deswegen glaube ich, dass man auch dann, wenn man die Entscheidung über die Genehmigung einer verstärkten Zusammenarbeit mit Vorsicht treffen möchte, an dieser Stelle als Europäisches Parlament sehr wohl zustimmen kann.	It is for this reason that I believe that, even if the decision to approve enhanced cooperation is to be made with caution, this is something that the European Parliament can agree to.
