Herr Präsident, liebe Kolleginnen und Kollegen, Herr Kommissar!	.
Ich werde mich überwiegend über den Vorschlag für eine Verordnung des Rates zur Schaffung eines finanziellen Stützungsinstruments zur Förderung der wirtschaftlichen Entwicklung der türkisch-zypriotischen Volksgemeinschaft äußern. Als Berichterstatterin begrüße ich diesen Vorschlag sehr.	Mr President, Commissioner, ladies and gentlemen, my speech will focus on the proposal for a Council regulation establishing a financial support instrument to support the economic development of the Turkish Cypriot community, a proposal which, in my capacity as rapporteur, I greatly welcome.
Mit den vorgesehenen 259 Millionen Euro soll bis einschließlich 2006 die wirtschaftliche Entwicklung der türkisch-zypriotischen Volksgemeinschaft unterstützt werden.	EUR 259 million have been earmarked to support the economic development of the Turkish Cypriot community until the end of 2006.
Ursprünglich sollte die Summe erst nach Annahme des Annan-Plans freigegeben werden, um den großen wirtschaftlichen Abstand der türkisch-zypriotischen Volksgemeinschaft zu verringern.	These funds were originally to have been released only after Kofi Annan’s plan had been adopted, with the aim of reducing the significant economic disadvantage suffered by the Turkish Cypriot community.
Nachdem der Annan-Plan nun im Februar von der großen Mehrheit der türkischen Zyprioten angenommen wurde, aber am Nein der griechischen Zyprioten scheiterte, hat der Rat empfohlen, dieses finanzielle Stützungsinstrument auch ohne eine Einigung auf Zypern in Kraft zu setzen.	After the vast majority of Turkish Cypriots voted in favour of the plan in February, but the Greek Cypriots against it, so that the plan could not be adopted, the Council recommended that the financial support instrument be implemented even without an agreement having been reached in Cyprus.
Für den Ausschuss für auswärtige Angelegenheiten kann ich als Berichterstatterin sagen, dass wir dieses Vorhaben einmütig unterstützen.	In my capacity as rapporteur for the Committee on Foreign Affairs, I can say, on its behalf, that our support for this plan is unanimous.
Ich darf mich an dieser Stelle auch wirklich für eine sehr gute Zusammenarbeit im Ausschuss für auswärtige Angelegenheiten bedanken.	At this point I should also like to express my sincere thanks for the excellent cooperation within the Committee on Foreign Affairs.
Die in dieser Verordnung vorgesehene Gemeinschaftsbeihilfe kann und soll einen Beitrag dazu leisten, dass eine zunehmende Annäherung an den gemeinschaftlichen Besitzstand erfolgt, um die Übernahme vorzubereiten. Eine Übernahme, die dann, nach einer Lösung auf Zypern, notwendig ist.	The Community aid provided for in this regulation can and should help to achieve greater compliance with the , in order to prepare for the takeover which will be necessary after a solution to the Cyprus issue has been found, and indeed one of the primary aims of this financial support instrument is to promote such a solution.
Dieses finanzielle Unterstützungsinstrument soll nicht zuletzt eine solche Lösung fördern. Die rund 260 Millionen Euro - das unterstützen wir sehr - sollen in Umwelt-, Verkehrs-, Telekommunikations-, Wasser- und/oder Energieprojekte fließen, in Umstrukturierungsmaßnahmen etwa im ländlichen Raum, in Maßnahmen, die besonders kleinen und mittelständischen Betrieben zugute kommen, sowie in bi-kommunale Projekte, durch die Vertrauensarbeit zwischen den Volksgruppen geleistet wird.	We greatly welcome the fact that around EUR 260 million has been allocated for projects relating to the environment, transport, telecommunications, water and/or energy, for restructuring measures, for example in rural areas, for measures which are of particular benefit to small and medium-sized enterprises, and for bicommunal projects which facilitate trust-building between ethnic groups.
Natürlich können und sollten auch Maßnahmen in Famagusta vorgesehen werden, um die Wiederbewohnbarkeit zu ermöglichen. Sie wissen, dass es dort entsprechende Initiativen gibt.	Measures can and should of course be planned for Famagusta, in order to make it suitable for habitation again, and you will be aware that relevant initiatives are underway in the town.
In meinem Bericht wird im Zusammenhang mit den vorzusehenden Maßnahmen darauf verwiesen, dass das Eigentumsrecht der Bürger der EU nicht verletzt werden darf.	My report notes that the planned measures must not infringe the property rights of EU citizens.
Wir haben dies noch einmal betont, auch wenn wir wissen, dass es auch bisher selbstverständlich war, diesen Grundsatz bei der Durchführung europäischer Projekte zu beachten.	We have reiterated this point, even though we know that it has always been self-evident that this principle must be observed when implementing European projects.
Wir waren uns im Ausschuss einig darin, dass die von der Kommission nachträglich vorgeschlagene Administration der Gesamtmaßnahme durch die Agentur für Wiederaufbau unterstützt wird.	All the members of the committee were unanimous in their support for the Commission’s additional proposal that the measure as a whole be managed by the Agency for Reconstruction.
Das auch an den Kollegen Samuelsen; da gibt es breite Unterstützung, wir sind uns da völlig einig.	The point I should like to make to Mr Samuelsen is that there is broad support for this proposal, and this is something upon which we all agree.
Die finanzielle Unterstützung ist ein Teil des Pakets, das im Juli von der Kommission vorgeschlagen wurde; dies wurde bereits von Herrn Kommissar Patten und vom Rat gesagt.	As has already been noted by Mr Patten and the Council, financial support is part of the package proposed by the Commission in July.
Bei dem ebenfalls vorgeschlagenen direkten Handel hat das Parlament kein offizielles Mitspracherecht. Dennoch, denke ich, wird das Parlament morgen dem Rat klar sagen, dass auch zum Handelsvorschlag eine schnelle Beschlussfassung erwartet wird, wie wir auch eine schnelle Beschlussfassung über das finanzielle Stützungselement erwarten.	Although Parliament has no official right of consultation with regard to the direct trade which has also been proposed, I believe that this House will make it clearly known to the Council tomorrow that a prompt decision is expected on the trade proposal, just as we expect a prompt decision on the financial support element.
Ich denke, es ist von erheblicher Bedeutung, dass die Union mit der Umsetzung dieses Verordnungsvorschlags und des vorgeschlagenen direkten Handels ein klares Signal an die türkisch-zypriotische Volksgemeinschaft gibt - insbesondere an die große Mehrheit, die sich für den Annan-Plan und für ein Ja zur Europäischen Union ausgesprochen hat -, ein Signal, das klar macht: Wir wünschen eine baldige Lösung der Zypernfrage, aber wir nehmen die Belange der türkisch-zypriotischen Zivilgesellschaft auch heute schon sehr ernst.	In my opinion, it is crucial that the EU should send out a clear signal to the Turkish Cypriot community by implementing this proposal for a regulation and the proposed direct trade. This signal would be directed in particular at the large majority which voted for the Annan plan and for a ‘yes’ to the European Union, and it would make it clear that, although we want a swift solution to the Cyprus issue, we are also, even today, taking the concerns of Turkish Cypriot civil society very seriously.
