Herr Präsident, ich komme zur unerwarteten Ehre, nach dem Kommissar sprechen zu dürfen.	Mr President, I have the unexpected honour of speaking after the Commissioner.
So weltbewegend ist meine Aussage nicht, aber Ordnung muß sein, und ich nehme das gerne an.	My intervention will not be so earth-shattering, but order must prevail and I am happy to accept that.
Der Entschließungsantrag gibt einen sehr sachlichen Überblick über eine ernste Situation.	The motion for a resolution gives a very objective overview of a serious situation.
Den Berichterstattern gebührt Dank für diese Arbeit.	The rapporteurs deserve thanks for their work.
Wenn in vielen wichtigen Bereichen die Mittel nur sehr spärlich oder sogar überhaupt nicht Verwendung fanden, muß man sich fragen, ob die Mitgliedsbeiträge der Staaten oder einzelner Staaten nicht zu hoch sind.	If in many important areas funds have been scarcely used or even not at all, that begs the question whether the contributions from the Member States, or from some individual states, are not too high.
Im Hinblick auf die geplante Osterweiterung ist die niedrige Verwendungsrate der Mittel des PHARE-Programms und für die grenzüberschreitende Zusammenarbeit im strukturellen Bereich besonders bedauerlich.	As regards plans for enlargement to the east, the low utilization rate of Phare programme funds and of those for cross-border cooperation in the structural area are particularly to be regretted.
Die äußerst geringe Ausführungsrate des Postens "Maßnahmen zur Bekämpfung der Gewalt gegen Kinder" entbehrt nicht eines gewissen Zynismus.	The extremely low implementation rate for the heading covering measures to counter violence against children is not totally devoid of a certain cynicism.
Die permanent niedrige Verwendungsrate der Mittel für Kontrollen in der Landwirtschaft ist beunruhigend.	The consistently low implementation rate of funds for agricultural controls is worrying.
Gerade im Hinblick auf das wachsende Betrugswesen und die damit zusammenhängende Verärgerung der Unionsbürger sind alle Kontrollmechanismen effizient und voll anzuwenden.	Bearing in mind the growing incidence of fraud and the consequent anger felt by citizens of the Union, all control mechanisms need to be fully and efficiently applied.
Gerade in Staaten, die Nettozahler sind, ist es dem Bürger nur schwer zu erklären, daß weite Bereiche des von ihnen mitfinanzierten Haushalts nur geringfügig ausgenutzt werden.	It is particularly hard to explain to the citizens of those countries which are net contributors why large parts of the budget which they help to finance are barely implemented.
Eine Reform der Einnahmen- und Ausgabenpolitik steht daher an.	A reform of income and expenditure policy really is needed.
Gerade im Hinblick auf das sinkende Sozialniveau in vielen Mitgliedstaaten ist eine straffere und effizientere Budgetpolitik ein Gebot des Anstands!	With the social situation deteriorating in many Member States common decency alone demands a stricter and more efficient budget policy!
