Herr Präsident, liebe Kolleginnen und Kollegen! Die Waffen sind eingesammelt, so heißt es.	Mr President, ladies and gentlemen, the weapons have been collected, so it is claimed.
Die UÇK hat sich aufgelöst, so sagt sie.	The NLA has been dissolved, so it claims.
Und wir wissen alle, es gibt in Mazedonien noch viele, viele Waffen, und die Frage eines kriminellen Zusammenschlusses ist nicht gebannt.	We all know that there are still a great many weapons in Macedonia, and the issue of a criminal association is still on the agenda.
Da gehören eben die dazu, die es wollen.	It includes those who want it.
Ich gehe immer davon aus, dass die meisten Albaner es wollen.	I still assume that most Albanians want it.
Ich gehe auch davon aus, dass die meisten Mazedonier es wollen.	I also assume that most Macedonians want it.
Aber das Problem in vielen Köpfen der Slawo-Mazedonier ist ja inzwischen noch nicht gelöst, sonst hätten wir das Problem ja nie gehabt.	However, the problem in many Slav Macedonian heads has not yet been resolved - otherwise, we would never have had the problem in the first place.
In den letzten Jahren wurde nichts getan, um die 28%-ige Minderheit der Albaner wirklich gleichmäßig als gleiche Bürger zu beteiligen.	In recent years, nothing was done to enable the Albanian minority - a substantial 28 percent of the population - to participate genuinely as citizens on an equal footing.
Hätte man das nicht erst vor zwei Jahren angepackt, sondern schon vor sieben oder acht Jahren, und hätte man kontinuierlich aus allen Bürgern gleiche Bürger gemacht, dann, glaube ich, hätten die Rebellen keine Möglichkeit gehabt, so ein leichtes Spiel zu haben.	If this issue had been addressed seven or eight years ago, instead of just two years ago, and if progressive measures had been taken to make all citizens equal, the rebels would not have had such an easy ride, in my view.
Es ist schade, auch schade für die mazedonische Öffentlichkeit, dass es jetzt so aussieht, als würde man nur dann reagieren, wenn eben kriminelle Elemente quasi das Land überfallen.	It is a pity - also for the Macedonian people - that it now looks as if there is only a response when criminal elements appear to be overrunning the country.
Schade ist es, aber das ist die Schuld aller politischen Parteien vor Ort.	It is a pity, but it is the fault of all the political parties on the ground.
Letztendlich haben wir jetzt erreicht, worum wir als Parlament schon immer gebeten haben.	Ultimately, we have now achieved what this House has always asked for.
Ich möchte auch, wie Kollege Swoboda gesagt hat, daran erinnern: Wir wollen kein geteiltes Land.	As Mr Swoboda has said, I would also like to remind you that we do not want a divided country.
Mazedonien ist ein Staat.	Macedonia is a state.
Er soll ein Staat bleiben, und er soll nicht nach ethnischen, nach nationalen Grenzen geteilt werden.	It should continue to be a state, and it should not be divided along ethnic or national lines.
Wer so etwas auch nur denken kann, schadet der ganzen Region.	Anyone who considers this option puts the entire region at risk.
Dies ist wirklich etwas, was gefährlich ist.	That is something which is extremely dangerous.
Ich hoffe sehr, dass auch dieses neue Parlament jetzt schnell versucht, die Gesetze umzusetzen.	I very much hope that this new Parliament will also now try to implement the laws as quickly as possible.
Das Problem ist, dass wir jetzt schon wieder hören, dass das, dem sie zugestimmt haben, jetzt noch einmal in Frage gestellt werden soll und dass ständig die Parlamentssitzungen unterbrochen werden.	The problem is that we are now hearing that what they have already voted for is being called into question again, and that sessions of parliament are constantly being postponed.
Es gibt natürlich auch Anlässe.	Obviously, there are reasons for this.
Dann wird bei Tetovo wieder von irgendjemandem die mazedonische Polizei angegriffen.	In Tetovo, for example, repeated attacks are being carried out on the Macedonian police.
Man fragt sich dann, von wem, aus welchem Grunde.	We must ask ourselves why this is happening.
Deswegen müssen wir mit sehr viel Behutsamkeit, aber mit Strenge alle Kollegen dort unten bitten, dass sie jetzt auf dem Weg des Abkommens von Ohrid auch wirklich vorangehen.	We must therefore be very diplomatic but firm with all our colleagues in Macedonia and ask them to make genuine efforts to progress with the Ohrid Agreement.
Wir dürfen nicht erlauben, dass sie jetzt auf diese schreckliche Idee verfallen, ein Referendum zu machen, um dann quasi diese Verfassungsänderung auf den Sankt-Nimmerleins-Tag hinauszuschieben.	We must not allow any recourse to this dreadful idea of holding a referendum in order to put off these constitutional changes indefinitely.
Das kann nicht gehen.	That must not happen.
Wir, Hannes Swoboda, Joost Lagendijk und ich, werden morgen und übermorgen versuchen, auf unsere Kollegen dort unten einzuwirken.	Hannes Swoboda, Joost Lagendijk and I will try to bring influence to bear on our Macedonian colleagues over the next two days.
Ich glaube auch, dass es sehr wichtig ist, dass eine Amnestie ausgesprochen wird - von wem auch immer, das ist in den Gesetzen des Landes -, aber eine Amnestie, die nicht das amnestiert, was eigentlich in Den Haag untersucht werden sollte.	I also think it is very important for an amnesty to be granted in whichever way is appropriate under the laws of the country, but this should not apply to crimes to be investigated in The Hague.
Ich glaube, da müssen wir einen feinen Unterschied machen.	I think we should make a fine distinction here.
Ich wünsche mir natürlich sehr, dass das Parlament jetzt schnellstens all das an Gesetzen instandsetzt, was die lokalen Autonomien stärkt und was den Minderheiten, die ja in manchen Regionen Mehrheiten sind, auch die Gelegenheit gibt, für ihre Mitbürger wirklich Verantwortung zu tragen.	Naturally, I very much hope that the parliament will now put in place the laws necessary to strengthen local autonomy and give the minorities - which, after all, are majorities in some regions of the country - the opportunity to take genuine responsibility for their fellow citizens.
Ich glaube, wenn sie auf diesem Weg vorangehen, können wir, wie Johannes gesagt hat, am Ende dieses Jahres friedliche Situationen haben.	I think that if they pursue this course, as Johannes has said, we will have peaceful situations by the end of this year.
