Herr Präsident, Herr Abgeordneter!	Mr President, Mr Mendiluce Pereiro, let me respond as follows.
Lassen Sie mich folgendes sagen: Es ist keineswegs so, daß die Europäische Union hier abwesend ist.	It is certainly not the case that the European Union is absent here.
Ich habe mir das ganz bewußt aufgehoben, um in der Debatte etwas sagen zu können.	I am intentionally highlighting this point, because it allows me to say something in the debate.
Ich selbst habe gegenüber dem UNO-Generalsekretär, den ich ja noch aus meiner früheren Funktion bei den Vereinten Nationen sehr gut kenne, während der letzten Generalversammlung dieses Thema angesprochen und habe auch dafür plädiert, daß allenfalls eine gemeinsame Aktion zwischen den Vereinten Nationen, dem Generalsekretär und allenfalls dem Sondergesandten Baker stattfinden könnte.	During the last General Assembly, I myself addressed this question in talks with the UN Secretary-General, whom I in fact know very well from my earlier post at the United Nations, and I also urged that the United Nations, the Secretary-General and, where appropriate, the special envoy James Baker should take joint action.
Ich muß sagen, leider ist der Zeitpunkt dafür noch nicht reif gewesen.	Unfortunately, I have to say that the time was not yet ripe.
Aber Sie wissen, daß der Generalsekretär selbst kürzlich die Region besucht hat - er hielt das für derzeit vernünftiger, und wir haben uns gerne dieser Meinung angeschlossen, denn wir wollen ja die Situation voranbringen im positiven Sinne - und ausführliche Gespräche mit den Konfliktparteien geführt hat.	But you know that the Secretary-General himself has recently visited the region - at the time he considered that more useful, and we were happy to endorse his view, since after all we want to see some positive developments in the situation - and held detailed talks with the conflicting parties.
Sein diesbezüglicher Bericht liegt nun gerade vor und ist gestern, am 15. Dezember, auch im Sicherheitsrat debattiert worden.	His report on that visit is now available and yesterday, on 15 December, it was debated in the Security Council.
Diese Vorgänge waren absolut abzuwarten, zumal natürlich die Vereinten Nationen bezüglich des vorgesehenen Referendums federführend sind, und nun wird sich die Europäische Union wieder mit Kofi Annan in Verbindung setzen, um sich eingehend mit ihm in dieser Frage zu beraten.	This procedure was entirely expected, given that of course the United Nations has overall responsibility for the proposed referendum; now the European Union will contact Kofi Annan again in order to discuss this question in depth with him.
Bei dieser Gelegenheit werden auch die Fragen der Nützlichkeit beispielsweise einer EU-Erklärung zum Westsahara-Problem sowie des bestmöglichen Zeitpunkts für eine solche erörtert werden.	On that occasion, questions such as the usefulness of an EU declaration on the Western Sahara issue and the best possible time for making it will also be discussed.
Lassen Sie mich auch sagen, daß, nachdem der Identifizierungsprozeß aufgrund der marokkanisch-saharauischen Uneinigkeit über die Identifizierung der Stämme H41, H61 und J51 und J52 - das sind ungefähr 65.000 Personen - vor geraumer Zeit zum Stillstand gekommen ist, der UN-Generalsekretär eben einen Kompromißvorschlag, ein sogenanntes Paket vorgeschlagen hat.	Let me also say that after the identification process had come to a standstill some time ago because of the Moroccan-Sahrawi disagreement on the identification of tribes H41, H61 and J51 and J52 - who make up about 65 000 individuals - the UN Secretary-General put forward a compromise proposal, a kind of package.
Dieses Paket wurde sowohl von der POLISARIO als auch von Algerien und Mauretanien akzeptiert, von Marokko jedoch zuerst in Zweifel gezogen.	The Polisario, Algeria and Mauritania accepted the package, while Morocco initially questioned it.
In einem an den UN-Generalsekretär adressierten Schreiben samt Memorandum vom 20. November d.J. warf Marokko eine Reihe von Fragen auf und ersuchte um Klarstellung.	In a letter and a memorandum addressed to the UN Secretary-General on 20 November this year, Morocco raised a number of questions on which it asked for clarification.
In einem weiteren Schreiben vom 15. Dezember d.J. legte dann Marokko seine ablehnende Haltung zur Möglichkeit dar, daß diese 65.000 Kandidaten als Kandidaten einer zweiten Kategorie angesehen würden.	In a further letter of 15 December this year, Morocco expressed its opposition to regarding these 65 000 candidates as candidates in a second list.
Die formelle marokkanische Antwort auf den Kompromißvorschlag des UN-Generalsekretärs steht aber noch aus.	But Morocco has not yet formally replied to the UN Secretary-General's compromise proposal.
Die nunmehr vom Generalsekretär vorgeschlagene Verlängerung des Mandats der MINURSO bis Ende Januar 1999 soll nun für UN-Konsultationen mit Marokko genutzt werden.	The extension of the MINURSO mandate to the end of January 1999 which the Secretary-General has now proposed is to be used for UN consultations with Morocco.
Die Aussichten auf Erfolg erscheinen allerdings relativ gering, und ich zitiere wörtlich aus einem Bericht der Vereinten Nationen, den wir gerade bekommen haben: "... unless Morocco gets what it wants" .	However, the prospects of success seem fairly slight, and let me quote verbatim from a United Nations report we have just received: '...unless Morocco gets what it wants'.
Es gebe keinen vernünftigen Grund, mit einer neuerlichen Involvierung des personal envoy, des Generalsekretärs, James Baker, bis Ende Januar zu warten.	There is no sensible reason to wait until end of January for the personal envoy, James Baker, and the Secretary-General to intervene again.
Ich glaube, hier ist klar, nun muß James Baker sich noch einmal in diese Angelegenheit einschalten.	And I believe that James Baker must clearly intervene on this issue again.
Soweit meine Antwort, Herr Präsident!	That is my answer, Mr President.
