Herr Präsident! Ich kann mich dem Kollegen Vidal-Quadras durchaus anschließen.	Mr President, I can certainly endorse what Mr Vidal-Quadras Roca has said.
Wir haben im Ausschuss für Industrie, Außenhandel, Forschung und Energie sehr engagierte Kompromisse gefunden, und wenn wir jetzt das Kompromisspaket anschauen, das Kollege Sacconi mit dem Kollegen Nassauer ausgehandelt hat, dann sehen wir, dass wir eigentlich eine ähnliche Philosophie verfolgen: dass wir auf der einen Seite alles tun wollen, um eine vernünftige Industriepolitik zu betreiben, sie weiter auszubauen und die Wettbewerbsfähigkeit zu erhalten, dass wir aber auf der anderen Seite die zweite Säule nicht vergessen, nämlich Gesundheitsschutz, Umweltschutz und Arbeitnehmerschutz. Das gehört unmittelbar dazu.	In the Committee on Industry, External Trade, Research and Energy, we devoted ourselves to hammering out compromises, and it is evident to us from looking at the compromise package negotiated by Mr Sacconi and Mr Nassauer that they and we have in fact been thinking along similar lines. By that I mean that, on the one hand, we wanted to do everything possible to manage a proper energy policy, to develop it and to maintain competitiveness, while, on the other hand, not forgetting the second pillar, with its protection for health, the environment and people at work.
Das ist meiner Meinung nach in dem Kompromiss drin.	The two are directly connected.
All das wird aber schwierig, und wir werden sehen, wie wir morgen noch verhandeln. Wir haben ja noch einen Tag bis zur Abstimmung.	I believe that these things are present in the compromise, but they are all becoming difficult, and we shall see how our negotiations proceed tomorrow, for we have another day to go before we vote.
Wir haben das Kompromisspaket vorliegen; es deckt allerdings nur den Bereich Registrierung ab. Wir werden schauen müssen, was wir in den anderen Bereichen – von der Zulassung bis zu den Fragen, wie wir mit dem Datenschutz und vielen anderen Punkten umgehen – erreichen können.	While we do, indeed, have a compromise package, it covers only registration, and we shall have to see what we can achieve in the other areas, with everything from authorisation to the issues about how to handle data protection and many other aspects.
Der Ratsvorsitz hat Hinweise gegeben.	The Council Presidency has made suggestions.
Ich würde mich freuen, wenn wir im Rahmen dieser Verhandlungen in diesem Jahr noch zu einem anständigen Kompromiss, auch im Rat, kommen und das Thema nicht auf die lange Bank geschoben wird.	I would be happy if these negotiations could bring us, before the end of the year, to a proper compromise both here and in the Council, so that the topic does not end up being shelved.
Im Übrigen möchte ich allen Kollegen, die sich hier zu Deutschland geäußert haben, anraten, einmal zu bedenken, dass es auch eine Verbindung gibt zwischen einer anständigen nationalen Industriepolitik, die sich vielleicht in einem Mitgliedstaat abspielt – das trifft im Übrigen auch für die nordischen Länder zu – und einer anständigen Industriepolitik, die wir in Europa machen, um nur einmal das Stichwort Wettbewerbsfähigkeit zu geben.	I would also advise all those Members who have made comments about Germany today to stop and consider for a moment the fact that there is a connection between the pursuit of a proper national energy policy in a particular Member State – which, I would add, applies in the case of the Nordic countries – and the sort of proper energy policy that we are constructing in Europe, and it can be summed up in the word ‘competitiveness’.
Deutschland ist nach den USA und Japan und vor Frankreich, China und Italien der drittgrößte Chemieproduzent der Welt; es hat in der Europäischen Union einen Anteil von über 25 % an den Umsätzen mit chemischen Erzeugnissen und stellt mehr als jeden vierten Chemiearbeitsplatz innerhalb der Europäischen Union.	Germany is the third-greatest chemicals producer in the world – behind the USA and Japan, but ahead of France, China and Italy; within the European Union, it accounts for over 25% of the turnover from chemical products and for one in every four jobs in the chemicals sector.
Das sind Zahlen, die man einfach einmal zur Kenntnis nehmen sollte, weil sie für Deutschland, aber auch für die Europäische Union, insbesondere für die Erhaltung der Arbeitsplätze, wichtig sind.	These are figures of which you simply have to take note, for they are important, not only for Germany, but also for the European Union, when it comes to maintaining jobs.
7,7 Milliarden Euro wurden allein im Jahr 2004 im Forschungsbereich aufgewendet.	In 2004 alone, EUR 7.7 billion were invested in research.
Wir reden immer so großzügig davon, wie viel Forschung wir wollen und dass wir wollen, dass Unternehmen investieren. Unterstützen wir sie doch einmal!	We are always talking expansively about how much we want research and how we want businesses to invest in it – so let us go ahead and support it!
Eine letzte Zahl zur Größenordnung der Chemieunternehmen in Europa: 92,5 % der Chemieunternehmen sind kleine und mittlere Unternehmen.	Let me just give you one, final, figure, on the size of chemicals businesses in Europe: 92.5% of them are small or medium-sized.
Auch das ist eine Zahl, die wir zur Kenntnis nehmen sollten.	That is another statistic of which we should take note.
