Herr Präsident! Wir reden nicht über Peanuts!	Mr President, we are not talking about peanuts here.
Für 2007 bis 2013 stehen dem Europäischen Sozialfonds 75 Milliarden Euro zur Verfügung, fast 8 % des Budgets der EU.	For the period from 2007 to 2013, EUR 75 billion is available for the European Social Fund (ESF) and this amounts to almost 8% of the EU budget.
Da die ESF-Gelder aus Brüssel nur dann fließen, wenn die Mitgliedstaaten kofinanzieren, sind es an die 150 Milliarden Euro zur Schaffung von mehr und besseren Jobs.	As Brussels will only provide the money for the ESF when the Member States take responsibility for cofinancing, this means that there will be around EUR 150 billion on the table for creating more and better jobs.
ESF-Gelder landen erfreulicherweise nicht in irgendwelchen unnötigen Studien, sondern kommen direkt bei den Betroffenen an.	Fortunately, ESF money is not used to fund unnecessary studies, but instead goes directly to the people who need it.
Das macht sie so wertvoll, das macht sie erlebbar für diejenigen, die langzeitarbeitslos sind, für Migranten, für junge Menschen, die ihre fehlenden Schulabschlüsse nachholen können, für zehntausende von Auszubildenden und Umschülern, für Beschäftigte, die sich weiterbilden wollen, und für potenzielle Existenzgründer.	This is what makes it so valuable and what allows people to experience it at first hand, including the long-term unemployed, migrants, young people who have the opportunity to obtain the school leaving qualifications that they missed out on first time around, tens of thousands of trainees and retrainees, employees who want further training and budding entrepreneurs.
Also eine große Breite von Zielgruppen.	It has a wide range of target groups.
Wie wird es nach 2013 weitergehen?	What will happen after 2013?
Die Mitgliedstaaten müssen die Mittel effektiver einsetzen. Wir müssen regionale Besonderheiten berücksichtigen.	The Member States must make more effective use of the funding and we also need to take the special features of individual regions into account.
Ich plädiere für einen maßgeschneiderten Bottom-up-Ansatz. Nötig ist auch die optimale Abstimmung mit Programmen wie Daphne oder PROGRESS.	I would like to see a tailor-made, bottom-up approach and effective coordination with programmes such as Daphne and PROGRESS.
Ich bejahe mehr Flexibilität, einfachere Kontrollen und transparentere Mittelzuweisungen.	I am in favour of more flexibility, simpler controls and more transparent allocation of funding.
Ich bin aber gegen einen separaten Ordnungsrahmen beim ESF und bin dafür, dass er in der Verordnung für Strukturfonds verbleibt. Auf diese Weise ist die Regulierung der Förderfähigkeit von Ausgaben auf der Ebene der Mitgliedstaaten gesichert.	However, I am opposed to a separate legal framework for the ESF. I believe it should remain within the Structural Fund regulation, which will ensure that the eligibility of expenditure is regulated at the level of the Member States.
Deshalb habe ich mit 45 Kolleginnen und Kollegen den Änderungsantrag Nr. 1 eingebracht, für dessen Unterstützung ich bei der gleich anstehenden Abstimmung herzlich bitte.	This is why I have tabled Amendment 1, together with 45 of my fellow Members, and I would ask you to support it in the forthcoming vote.
