Herr Präsident! Wir sind entsetzt über die gegenwärtige Situation in Sierra Leone.	Mr President, we are appalled at the present situation in Sierra Leone.
Es besteht die gefährliche Tendenz einer Eskalation der bewaffneten Auseinandersetzung, zumal Großbritannien mittlerweile außerhalb des Völkerrechts und der UNO militärisch aktiv geworden ist.	There is a dangerous trend towards the escalation of armed conflict, especially as the United Kingdom has now become militarily involved outside international law and the United Nations.
Wir fordern ein Ende der militärischen Eskalation und die Wiederaufnahme sofortiger Verhandlungen.	We demand an end to this military escalation and the immediate resumption of negotiations.
Hierbei sind einseitige Schuldzuweisungen nicht angebracht und nicht dienlich.	One-sided recriminations are neither appropriate nor helpful in this situation.
Die RUF zeichnet sich durch extreme Brutalität aus, aber übersehen wir nicht, daß auch die Regierung und die mit ihr verbundenen Milizen dem in nichts nachstehen.	The RUF is known for its extreme brutality, but we should not overlook the fact that the government and the militias associated with it are little better.
Wir fordern, daß endlich die Konfliktursachen angegangen werden, das heißt, Beendigung des Waffenhandels, Beendigung des Diamantenhandels der RUF über Liberia und Burkina Faso, die Beendigung der Einmischung von Staaten, die in Sierra Leone nationale Interessen unter dem Deckmantel der Humanität durchsetzen wollen.	We demand that the sources of the conflict should finally be tackled, by which we mean stopping the arms trade, halting the RUF' s diamond trade via Liberia and Burkina Faso, and ending the interference of states that want to secure national objectives in Sierra Leone under the guise of humanitarian action.
Ich habe das Gefühl, daß Großbritannien wirtschaftlich neokolonial agiert und sich politisch-militärisch gegenwärtig wie eine Kolonialmacht aufführt.	I have the feeling that, economically speaking, the United Kingdom is acting in a neo-colonial way and that in political and military terms it is now acting like a colonial power.
In einen Krieg hineingezogen zu werden, ist sehr leicht, aber aus der Logik der militärischen Intervention auszusteigen, wenn die Stimmung eskaliert, ist fast unmöglich.	It is very easy to get drawn into a war, but it becomes almost impossible to avoid the next logical step, military intervention, once the atmosphere escalates.
Eine militärische Friedenserzwingung internationaler Truppen gegen die RUF gemeinsam mit den Regierungsmilizen wird keinen Frieden bringen.	The military imposition of peace by international troops working with government militias against the RUF will not bring peace at all.
Im Gegenteil, sie birgt die Gefahr einer nicht mehr zu kontrollierenden Eskalation.	Quite the contrary, it brings with it the risk of uncontrollable escalation.
Es muß endlich um die Beseitigung der Ursachen und um eine politische Lösung gehen.	It is high time that the causes of this situation were addressed and a political solution was found.
Das heißt, wir brauchen eine Deeskalation in Freetown und nicht eine Eskalation.	Because of this, we need de-escalation in Freetown, not escalation.
