– Herr Präsident! Die Regierungskonferenz ist dabei, den Erfolg des Konvents zu zerstören.	– Mr President, the Intergovernmental Conference is destroying the Convention’s success.
Das war auch fast zu erwarten, weil tatsächlich diese Methode der nationalen und der sektoralen Egoismen etwas ganz anderes ist als die Arbeit im Konvent, die doch versucht hat, das europäische Interesse zu finden.	That was almost to be expected because this method of national and sectoral egotisms is in fact something quite different from the work of the Convention, which has tried to find the European interest.
Es ist nun sehr auffallend, dass die Regierungen Angriffe auf das Europäische Parlament und seine Rechte starten.	It is now very striking that the governments are starting to attack the European Parliament and its rights.
Der Wegfall des Legislativrates ist der Wegfall eines Partners dieses Parlaments bei der Gesetzgebung.	The loss of the legislative council is the loss of a partner for this Parliament in making legislation.
Ergo wird die Gesetzgebung geschwächt.	Law making will be weakened as a result.
Das Zurückführen der Budgetrechte dieses Parlaments ist ein Angriff auf die eigentliche Rechtfertigung von Parlamenten.	The reduction in this Parliament’s budgetary powers is an attack on the very legitimacy of parliaments.
Parlamente sind entstanden, um öffentliche Finanzen demokratisch zu kontrollieren, und wer diese Rechte, die Budgetrechte, dem Europäischen Parlament streitig macht, greift die Demokratie in der Europäischen Union an, und dagegen sollten sich nicht nur das Europäische Parlament, sondern alle unsere Kollegen in den nationalen Parlamenten zur Wehr setzen.	Parliaments were created to exercise democratic control over public finances, and anyone who disputes those rights, the European Parliament’s budgetary rights, is attacking democracy in the European Union, and not only the European Parliament but all our colleagues in the national parliaments, too, should make a stand against that.
Die Sektorräte spielen eigentlich gar keine Rolle in der Regierungskonferenz, und der Versuch des Ecofin-Rates richtet sich nicht nur gegen den Konvent, sondern auch gegen den Gipfel von Thessaloniki.	The sectoral councils actually have no part to play in the Intergovernmental Conference, and the Ecofin Council’s attempt is directed not only against the Convention but also against the Thessaloniki summit.
In Thessaloniki hat man gesagt, die Chefs und die Außenminister verhandeln, und nicht die Sektorräte, und ich kann die italienische Präsidentschaft nur auffordern, sich gegen diese Versuche zur Wehr zu setzen.	In Thessaloniki it was said that the heads and the foreign ministers negotiate, not the sectoral councils, and I can only call on the Italian Presidency to resist these attempts.
Sie sollten das nicht zulassen und sollten die Sektorräte wirklich nicht respektieren, genauso wenig wie politische Vorschläge, die die juristischen Dienste machen.	They should not allow it and should really pay no more attention to the sectoral councils than they do to political proposals made by the legal services.
Technische Vorschläge ja, aber ich sehe, dass auch im Bereich der Verteidigungspolitik hier politische Vorschläge gemacht werden, zum Beispiel die Beistandsklausel zu kippen, die strukturierte Zusammenarbeit kippen.	Technical proposals, yes, but I see political proposals being made here, even in the area of defence policy, for example to throw out the mutual assistance clause, to throw out structured cooperation.
Das ist doch alles eine Substanzveränderung.	That is all a change in the substance.
Der Konvent hat eine gute Atmosphäre geschaffen.	The Convention created a good atmosphere.
Die Regierungskonferenz ist dabei, eine schlechte Atmosphäre zu verbreiten, und das können wir für das wichtige Jahr 2004 nicht gebrauchen.	The Intergovernmental Conference is spreading a bad atmosphere and we can do without that in such an important year as 2004.
