Grazie, Signor Presidente!	Thank you, Mr President.
Angesichts der Herausforderungen, die hier mehrfach genannt wurden, ist dieses Aktionsprogramm der Kommission leider ein Nullangebot.	The sad fact is that, given the challenges we face - and many speakers have listed them - this programme of action from the Commission has nothing to offer.
Wir müssen endlich Abschied nehmen von der Problemverdrängung, von den immer unglaubwürdigeren Gleichsetzungen, die einen immer fadenscheinigeren Optimismus transportieren.	It is high time that we stopped suppressing our problems and abandoned the increasingly unconvincing practice of glossing over differences to sustain a crumbling semblance of optimism.
Auch wenn es mantraartig wiederholt wird: wer glaubt denn noch, WWU = Wachstum = Haushaltskonsolidierung = Beschäftigung?	Repeating mantra-like that 'EMU equals growth, equals a balanced budget, equals employment' is pointless if everyone has ceased to believe it.
Wir müssen dem klare Unterscheidungen entgegensetzen, wir müssen Widersprüche aufdecken, die in der Wirklichkeit bestehen, anhand derer es erst möglich wird, klare Aufgaben zu beschreiben, die es dann mit Mut, Kraft und Realismus wirklich anzugehen gilt.	We must face up to the differences that clearly exist and we must not conceal the real contradictions, because it is only by acknowledging them that we can determine the tasks that lie before us and then tackle them effectively with courage, strength and realism.
Das wäre eine wirklich dynamische Auffassung des Initiativrechts der Kommission.	This would involve a genuinely dynamic interpretation of the Commission's right of initiative.
Wir brauchen den Übergang zu einem neuen Entwicklungsmodell.	We need to move towards a new model of development.
Wir brauchen die Halbierung der Erwerbslosigkeit bis zum Jahr 2000.	We need to halve unemployment by the year 2000.
Wir brauchen den schrittweisen Abbau der verfestigten Strukturen sozialer Ausschließung und Armut in unserem Europa.	We need to gradually dismantle the entrenched structures of social exclusion and poverty in this Europe of ours.
Wir brauchen endlich ein Beschäftigungskapitel und eine Umweltund Sozialunion im Vertrag.	It is time that we included a chapter on employment in the Treaty, and an environmental and social union.
Wir brauchen die finanzielle und fiskalische Koordinierung und Konsolidierung unserer Gemeinschaft, müssen auch endlich die Eigenmittel ausschöpfen.	We need to coordinate and consolidate our Community's tax and financial policies, and finally make full use of our own resources.
Auf dieser Grundlage müßten dann die Vollendung des Binnenmarktes und eine nachhaltige Einführung der Währungsunion stattfinden, nicht umgekehrt.	These steps should then form the basis for completing the internal market and for introducing a sustainable monetary union - not the other way round.
Wie Herr Santer richtig sagt: " Le chomage mine la confiance des citoyens européens."	As Mr Santer rightly said, unemployment is undermining the trust of our European citizens.
Deswegen brauchen wir eine Wende in der Politik, eine Wende zur Wiedergewinnung des Vertrauens, die auf dem Übergang zu einem neuen Typus von Vollbeschäftigung beruht.	That is why we need a sea-change in politics: we need to regain the trust that will give us a basis for moving to a new type of full employment.
Meine Damen und Herren, auch wir wollen die europäische Integration.	We too wish to see European integration.
Die Europäisierung ist die große Chance angesichts der Globalisierung der Ökonomie, aber nicht als Fortsetzung des neoliberal-monetaristischen und immer noch produktivistischen Politikmodells, wie es den Maastrichter Vertrag dominiert und die Kommission dazu bringt, immer mehr von dem Weißbuch von Delors über Wettbewerbsfähigkeit und Beschäftigung zu vergessen.	Europeanization is our best hope in the face of economic globalization, but it should not mean the continuation of the neo-liberal, monetarist political model, based on increased production, which dominates the Maastricht Treaty and is forcing the Commission to ditch more and more of the Delors White Paper on competitiveness and employment.
Wir wollen ein anderes Europa, das nicht länger vor den transnationalen Unternehmen, vor dem Sachzwang Weltmarkt, vor den täglichen Abstimmungen der Finanzmärkte anstelle der Abstimmung der Bürger kapituliert.	We wish to see a different kind of Europe - one that no longer bends to the will of transnational companies, the material constraints of the world market or the daily decisions of financiers, instead of being guided by the decisions of its citizens.
