Herr Präsident! Irland ist ein tragisches historisches Lehrstück.	Mr President, Ireland is a tragic historical lesson for us.
Zuerst wurde dieses Land immer gefeiert als das Vorzeigeland und das Musterbeispiel für neue Mitglieder der Union, obwohl man damals extrem falsche Politiken zugelassen und gefördert hat, die dazu geführt haben, dass wir es mit enormen Blasen im Immobiliensektor zu tun hatten, dass man das Bankwesen sich verselbständigen hat lassen und dass man auch im Steuerbereich nicht darauf geachtet hat, dass es dort nicht zu einem Dumpingwettbewerb kommt.	At first, this country was always celebrated as the 'showcase' country and the model for new members of the Union, although at that time, very wrong policies were permitted and encouraged and these resulted in enormous bubbles in the property sector having to be dealt with, the banking sector being allowed to become a law unto itself and no attention being paid to preventing competitive dumping in the area of taxation.
Sie, Herr Kommissar, haben dieselbe Nationalität wie ich.	Commissioner, you have the same nationality as me.
Wir wissen, wie viele österreichische Schriftsteller zum Beispiel plötzlich entdeckt haben, dass sie Iren sind, weil sie dort so gut wie keine Steuern zu zahlen hatten.	We know how many Austrian writers, for example, suddenly discovered that they are Irish, because they had to pay hardly any tax there.
Was haben damals die angeblich so pro-europäischen Kräfte gemacht?	What did the supposedly extremely pro-European forces do at that time?
Nichts!	Absolutely nothing!
Man hat gesagt: "Das ist ein schönes Beispiel."	They said 'this country is a wonderful example'.
Und jetzt ist das alles zusammengebrochen.	All of that has now completely collapsed.
Jetzt hat sich diese Blase als das herausgestellt, was viele immer gesagt haben.	This bubble has now turned out to be exactly what many people said it was all along.
Und wieder haben wir eine Situation, wo - nicht nur aus meiner Sicht - anti-europäische Gefühle dadurch geschürt werden, dass man wieder falsche Politiken greifen lässt, in diesem Fall den Iren dieses massive Paket auferlegt.	Once again we have a situation where - and I am not alone in thinking this - anti-European sentiment is being fanned by the fact that we are again allowing the wrong policies to be pursued, in this case by imposing this massive package on Ireland.
Sie, Herr Kommissar, sagen, der Mitgliedstaat verpflichte sich hier selbst.	Commissioner, you say that the Member State is committing itself to this.
Doch wir wissen aus der Geschichte von Weltbank- und IWF-Programmen - und so unähnlich ist das ja nicht, was wir derzeit in Irland erleben -, dass am Schluss diesen Ländern nichts anderes bleibt.	However, we know from our experience of World Bank and International Monetary Fund programmes - and what we are currently seeing in Ireland is not so very different from this - that in the end, these countries have no choice.
Wenn man sich zurücklehnt und sagt: "Schade, dass die Iren den Vertrag von Lissabon beim zweiten Mal nicht abgelehnt haben", dann könnte man zu einem ganz anderen Gedankenansatz kommen.	If we were to take a step back and say 'it is a shame that Ireland did not reject the Treaty of Lisbon the second time around', then we could come to a completely different way of thinking.
Dann können wir nämlich sehen, dass wir es bei diesem europäischen Konstrukt mit etwas zu tun haben, das man mit einem Fahrzeug vergleichen könnte, das vorne aus einem Porsche und hinten aus einem Fahrrad besteht.	We would then see that, with this European construct, we are dealing with something that could be likened to a vehicle, the front of which consists of a Porsche while the back consists of a bicycle.
Das passt nicht zusammen.	These two things do not go together.
Sie sind viel stärker gefordert!	They need to be much stronger.
Wenn wir verhindern wollen, dass dieses Europa auseinanderbricht, brauchen wir tatsächlich so etwas wie eine Verfassung für Europa.	If we want to prevent this Europe from breaking apart, we actually need something like a Constitution for Europe.
Dann brauchen wir klare Benchmarks, die tatsächlich für alle gelten.	We then need clear benchmarks that actually apply to everyone.
Wir brauchen eine Wirtschaftsregierung.	We need economic governance.
Dieses Stückwerk - vorwärts, rückwärts, seitwärts - wird nicht funktionieren und am Schluss eher im Desaster enden als darin, wofür Sie, Herr Kommissar, ich und die große Mehrheit in diesem Haus sich einsetzen, nämlich ein friedliches, funktionierendes und auch vereintes Europa.	This fragmentary approach - forwards, backwards, sidewards - will not work, and in the end, Commissioner, it is more likely to end in disaster than in what you, I and the vast majority of this House are working for, namely, a peaceful, functional and also united Europe.
