- Diese Erklärung gebe ich im Namen der CSU-Gruppe ab.	- I am making this statement on behalf of the CSU.
Es ist unerträglich, daß sich die EU in der Regierungsbildung eines Mitgliedstaates einmischt.	It is intolerable that the EU should involve itself in the formation of the government in a Member State.
Dies steht der EU nicht zu.	It has no right to do so.
Anstatt eine Vorverurteilung der FPÖ und der in Bildung befindlichen Regierung Österreichs zu treffen, bedarf es zunächst einer kritischen Untersuchung und Bewertung der Regierungserklärung und des Parteiprogramms und der Politik der Koalition.	Instead of prematurely condemning the FPÖ and the Austrian Government which is being formed, there should first be a critical examination and assessment of the governmental declaration and the party programme and policies of the coalition.
Erst nach einer solchen kritischen Auseinandersetzung mit der zukünftigen Politik der in Koalitionsgesprächen befindlichen Parteien kann entschieden werden, ob diese Regierung dem demokratischen Geist Europas widerspricht.	Only after such critical appraisal of the future policies of the parties involved in the coalition discussions can a decision be made as to whether this government is contrary to the democratic spirit of Europe.
Dies bedeutet nicht, daß wir mit Haider sympathisieren.	This does not mean that we sympathise with Haider.
Die CSU-Europaabgeordneten haben keinerlei Sympathie für den FPÖ-Chef Haider.	The CSU European delegates have no sympathy whatsoever with the leader of the FPÖ.
Als Politiker müssen wir uns vielmehr die Frage stellen, warum 27 % der österreichischen Bevölkerung bei den Wahlen im Oktober 1999 eine Partei wie die FPÖ wählten.	However, as politicians we must ask the question why 27% of the Austrian population voted for a party such as the FPÖ at the elections in October 1999.
Wir müssen uns mit den Gründen hierfür auseinandersetzen und versuchen, die Gründe, die zu solchen Ergebnissen führen, zu beseitigen.	We must concern ourselves with the reasons for this and try to deal with the reasons behind such results.
Nur eine Auseinandersetzung mit den Argumenten und Politikinhalten der FPÖ kann eine Radikalisierung der Politik in Österreich verhindern.	Only by tackling the arguments and policies of the FPÖ can we prevent a radicalisation of Austrian politics.
Die Entschließung des Europäischen Parlaments hingegen hinterfragt die Gründe für das österreichische Wahlergebnis nicht und zeigt keine Lösungsmöglichkeit auf.	However, the resolution of the European Parliament does not question the reasons for the outcome of the Austrian vote and offers no options for resolving the problem.
Aus diesen Gründen spricht sich die CSU-Europagruppe gegen diese Entschließung aus.	For these reasons the CSU European delegates are against this resolution.
