Herr Präsident, meine Einschätzung ist differenziert.	Mr President, my views involve some important distinctions.
Positiv sehe ich beispielsweise die Aussagen zur Stärkung regionaler und lokaler Beschäftigungsinitiativen und die verstärkte Betonung der Gleichstellung von Frauen in der Beschäftigungspolitik, wobei ich denke, daß die Kritik der Kollegin Theorin hier gültig bleibt.	For example, I see the enhancement of regional and local employment initiatives and the greater emphasis on equal opportunities for women in employment policy as being positive, although I believe that Mrs Theorin' s criticism in this respect is still valid.
Nichtsdestotrotz halte ich die Grundpositionen für unzureichend.	Nevertheless, I think that the basic positions are inadequate.
Jeder von uns hat unter seinen Wählerinnen und Wählern viele arbeitslose Menschen.	Each one of us has too many unemployed people amongst his or her constituents.
Es wäre unsere Pflicht gewesen, das von der Kommission strapazierte Bild zurückzuweisen, Arbeitslose müßten durch weitere Deregulierung des Arbeitsmarktes und durch soziale Zwänge Anreize erhalten, sich um Arbeit oder um Teilnahme an Maßnahmen zur Beschäftigungspolitik zu bemühen.	We should have rejected that old chestnut put forward by the Commission that the unemployed ought to be encouraged, by deregulating the labour market and imposing social constraints, to look for work or seek assistance under employment policy measures.
Ich denke, daß die Massenarbeitslosigkeit vor allem strukturelle, gesellschaftspolitische Ursachen hat.	I believe that the causes of mass unemployment are essentially structural and socio-political.
Der pauschale Hinweis auf die Dienstleistungsarbeitsplätze in den USA macht das Problem überaus deutlich. Jeder weiß, daß es sich dabei zum großen Teil um sozial ungesicherte und unterbezahlte Arbeitsplätze handelt.	Sweeping references to service sector jobs in the USA make the picture quite clear: everyone knows that these are mainly underpaid jobs with no social security net.
Wer sich in dieser Weise an den USA orientiert, nimmt die Zerstörung der europäischen Sozialstaaten in Kauf oder er betreibt sie.	Anyone who wants to follow this US model is accepting or even participating in the destruction of the welfare state in Europe.
Ich bedaure zudem den modischen Mangel an volkswirtschaftlichem Denken.	I also regret that it has become fashionable to ignore macroeconomic analysis.
Wenn Finanzmärkte lukrativer sind als Wirtschaftsinvestitionen, dann wird eben das Problem der Arbeitslosigkeit ungelöst bleiben.	As long as financial markets are more lucrative than investing in business, then the problem of unemployment will no doubt remain unsolved.
Ich bitte daher eindringlichst die Kolleginnen und Kollegen, den sich darauf beziehenden Änderungsantrag zu unterstützen.	I therefore urge you, ladies and gentlemen, to support the amendment that refers to this.
