. – Herr Präsident!	.
Ich darf heute meinen Kollegen Schwab vertreten, der so wie ich Mitglied im Petitionsausschuss ist, aber leider verhindert ist.	Mr President, I rise to speak in place of my colleague and fellow member of the Petitions Committee Mr Schwab, who is, regrettably, unable to be present.
Ich beziehe mich auf den Haushaltsvoranschlag für den Europäischen Bürgerbeauftragten, für den wir ja im Petitionsausschuss zuständig sind.	I refer to the budget estimate for the European Ombudsman, which is the Petitions Committee’s responsibility.
Seine Aufgaben sind von grundlegender Bedeutung, da der Bürgerbeauftragte mit den Bürgern der Gemeinschaft kommuniziert und ihnen die Organe der Gemeinschaft näher bringen soll.	The Ombudsman’s functions are of fundamental importance, involving as they do communication with the Community’s citizens and bringing its institutions closer to them.
Er stellt sicher, dass die Rechte und Pflichten unserer Mitbürger gewahrt bleiben, indem er die wachsende Zahl der Beschwerden über Missstände in der Verwaltung der Gemeinschaft prüft und gegebenenfalls Untersuchungen durchführt.	By examining the growing number of complaints relating to maladministration in the Community, and, where necessary, carrying out inquiries, he ensures that the rights and obligations of our fellow citizens are secured.
Durch seine Arbeit trägt er dazu bei, die Transparenz und die Qualität der von der europäischen Verwaltung erbrachten Dienste zu verbessern.	His work helps to make the services rendered by the European authorities more transparent and of higher quality.
Deshalb ist es von grundlegender Bedeutung, dass dem Europäischen Bürgerbeauftragten angemessene Mittel zugewiesen werden, damit er seine Aufgaben so effizient wie möglich wahrnehmen kann.	It is therefore of fundamental importance that the European Ombudsman should be allocated sufficient funds to enable him to perform his functions as efficiently as possible.
Der Petitionsausschuss hält den Anstieg der Mittel um 3 % im Vergleich zum Haushaltsplan 2005 für angemessen. Besonders angesichts der insgesamt zunehmenden Arbeitsbelastung durch einen Zuwachs an Beschwerden und Kommunikationstätigkeit ist der Anstieg der Mittel zu vertreten.	The Petitions Committee regards the increase in funding of 3% over against the 2005 budget as appropriate and defensible, particularly in terms of the increase in work across the board resulting from a rise in complaints and communications activity.
Vor allem aber sind zusätzliche Mittel notwendig, um angemessene Vorbereitungen für die zu erwartende Erweiterung der Gemeinschaft um Rumänien und Bulgarien zu treffen. Deshalb unterstützen wir auch die Forderung von zusätzlichem Personal für die Erweiterung.	The main reason why additional funding is needed, though, is in order to prepare appropriately for the accession to the Community of Romania and Bulgaria, and so we also endorse the call for additional staff to deal with enlargement.
Die Haushaltslinie bietet aber auch den Petenten, also den Bürgern, die Möglichkeit, unter bestimmten Umständen eine Teilerstattung bis zu 80 % ihrer Reisekosten aus dem Haushalt des Parlaments bewilligt zu bekommen, wenn sie zuvor die Genehmigung des Ausschussvorsitzenden eingeholt haben.	The budget line does also, however, make it possible for the petitioners, that is to say the members of the public to claim, under certain circumstances, the partial reimbursement of up to 80% of their travel costs from Parliament’s budget, subject to the prior approval of the Chairman of the Committee.
Auch Tagegelder für Hotelausgaben und andere Auslagen können erstattet werden.	Subsistence costs for hotels and other expenses can also be reimbursed.
Der Ausschuss hält es für notwendig, diese Vorkehrungen zu treffen, da sie sich bereits positiv auf die Fähigkeiten des Ausschusses ausgewirkt haben, besser auf die Bedürfnisse der europäischen Bürger einzugehen.	The Committee believes it to be necessary that such safeguards be put in place, as they have already had a beneficial effect on the Committee’s own capacities and improved its response to European citizens’ needs.
Deshalb muss uns klar sein: Man kann nicht mehr Europa für weniger Geld haben!	We must not, therefore, be in any doubt about the fact that you cannot have more Europe for less money.
