Herr Präsident, ich spreche etwas schneller und bitte die Dolmetscher um Entschuldigung.	Mr President, I will speak rather more quickly and apologise to the interpreters.
Herr Ratspräsident, die Entwicklung der letzten Wochen im Bereich der Asylpolitik in der Europäischen Union macht uns große Sorgen.	Mr Presidentin-Office of the Council, developments over the last few weeks concerning asylum policy in the European Union are causing us great concern.
Wir empfehlen sie der besonderen Aufmerksamkeit Ihrer Ratspräsidentschaft.	We recommend that your presidency of the Council pays particular attention to them.
Ich hatte in den letzten Tagen die Gelegenheit, die Lager von kurdischen Flüchtlingen in Italien besuchen zu können, und habe dabei festgestellt, daß die öffentliche Darstellung des Zustroms von Flüchtlingen in die Europäische Union nicht mit der Wirklichkeit übereinstimmt.	I recently had the opportunity to visit the Kurdish refugee camps in Italy and came to the conclusion that the official portrayal of the influx of refugees into the European Union is not in accordance with the reality.
Das ist eine Feststellung, die ich deshalb verbittert mache, weil in der Öffentlichkeit in Europa der Eindruck erweckt worden ist, als stünden wir vor einer Massenüberflutung von Menschen, die aus der Türkei, aus dem Irak hierherkommen.	I say this with bitterness because the public in Europe have been given the impression that we are facing a massive flood of people coming over from Turkey and from Iraq.
In Wirklichkeit handelt es sich um ein paar hundert Leute, die von der italienischen Polizei bewacht und von den italienischen Behörden strikt kontrolliert werden und deren Asylverfahren strikt nach Recht und Gesetz unter strengster Kontrolle und ohne Bewegungsfreiheit durchgeführt werden.	In reality this involves a few hundred people who are guarded by the Italian police and strictly controlled by the Italian authorities, and whose asylum cases are being conducted strictly according to legal and statutory regulations subject to the most stringent control and without freedom of movement.
Das ist die erste Feststellung, aus der ich noch eine zweite ableite: Es fehlt in der Europäischen Union bei der immer weiteren Vertiefung im ökonomischen Bereich und bei der immer weiter fortschreitenden Verrechtlichung des Binnenmarktes eine Analogie in der Rechtsetzung der bürgerlichen Grundfreiheiten und ihrer Organisation.	This is my first observation, from which I infer a second: with the constantly increasing development of the economic sphere and the constantly progressive liberalization of the internal market, there is no analogy in the European Union with regard to the legal stipulation of basic civil freedoms and its organization.
Es fehlt eine klare Definition der Außengrenzen und der Kompetenzen für Behörden, die Außengrenzen zu schützen.	There is no clear definition of the external borders and the powers for authorities to protect the external borders.
Wir haben auch kein Einwanderungsrecht in der Europäischen Union, was dazu führt, daß das Asylrecht permanent zum Schlüssel für die Einwanderung wird und letztendlich die Akzeptanz für ein Grundrecht, nämlich das Grundrecht auf Asyl, absinkt.	Nor do we have any right of immigration in the European Union, which leads to the right of asylum constantly becoming the criterion for immigration and ultimately lowering acceptance of a basic right, namely the basic right to asylum.
Wir brauchen keine Fünfjahresfrist, um Asyl-, Einwanderungs- und Außengrenzenrecht zu harmonisieren.	We do not need a five-year term to harmonize laws relating to asylum, immigration and external borders.
Im Gegenteil!	On the contrary!
Die Ereignisse der letzten Wochen zeigen, daß das vorgezogen werden müßte.	The events of recent weeks show that this must be brought forward.
Wenn Sie das in Ihrer Ratspräsidentschaft mit berücksichtigen, wären wir Ihnen sehr dankbar.	We would be very grateful to you if you also took this into account in your presidency of the Council.
