Herr Präsident! Die Globalisierung der Solidarität zeigt Wirkung.	– Mr President, the globalisation of solidarity is having a visible effect.
Am Montag berieten wir mit der Kommission über konkrete finanzielle Hilfen der EU, damit den Worten Taten folgen können. Ermutigend ist, dass genügend Geld zur Verfügung steht.	On Monday, we had a meeting with the Commission to discuss what concrete financial aid the EU could provide, thus backing up its words with practical action.
Zweifelhaft ist, ob es auch bei denen ankommt, die bedürftig sind. In der EU haben die Menschen Milliardenbeträge gespendet.	It is encouraging that sufficient funds have been made available, but it is doubtful whether it will reach those who need it.
In Deutschland kamen in einer einzigen Fernsehsendung 40 Millionen Euro zusammen.	In the EU, people have donated billions; one television programme in Germany brought in EUR 40 million.
Diejenigen, denen oft Egoismus vorgeworfen wird, schauten nicht weg; sie schauten hin, wenn Reportagen über die Hölle im Paradies gezeigt wurden.	Those who are often accused of being interested only in themselves did not look away; when reports were shown of the hell in paradise, they were watching them.
Mögen die geplanten Maßnahmen gelingen, zum Beispiel die Installation von satellitengestützten Frühwarnsystemen – meine Kollegen haben darauf hingewiesen – um Katastrophen zu verhindern.	It is to be hoped that the measures that have been planned will succeed; I am thinking here of, for example, the installation of satellite-based early warning systems – to which Members have referred – to prevent disasters.
Dazu gehört auch der rasche Wiederaufbau von Dörfern, Städten und Lebensgrundlagen und die fachkundige Betreuung von traumatisierten Witwen und Waisen. Mir geht es nun besonders um die Zeit danach.	There is also the need for the speedy reconstruction of villages, towns and the environment on which people depend for their livelihoods and for expert care for traumatised widows and orphans.
Damit den Überlebenden dauerhaft geholfen werden kann, brauchen wir Bündnispartner. Wir brauchen die NGOs, wir brauchen viele Freiwillige, die um der Humanität willen vor Ort eingreifen können, und wir brauchen funktionsfähige Strukturen, damit die Städtepartnerschaften ausgebaut werden können.	What particularly concerns me now is the aftermath; if the survivors are to be helped in the long term, we need partners and allies in the shape of NGOs, many volunteers who can help people where they are, and we also need effective structures to develop partnerships between towns.
Einige sind noch gar nicht entstanden.	Some of these have not yet come into being.
Der Tourismus muss wieder in Gang kommen in diesen ASEAN- und SAARC-Ländern, von denen ich einige gut kenne. Sie warten darauf, dass wir wieder als Freunde dabei sind.	Tourism must be revived there; these ASEAN and SAARC countries, some of which I know well, are waiting for us, their friends, to return to them.
Mögen die Menschen auch dann Hilfe erfahren, wenn die Zeitungen längst andere Themen haben und wenn die Kameras längst abgeschaltet sind!	Let us hope that people will still be helped when the newspapers have found other things to write about and the cameras have been switched off.
