Herr Präsident! Um das mit dem Whisky noch zu erläutern: Ich finde das auch interessant.	Mr President, I would like to comment on the point about whiskey; I find that interesting.
Durch diese Bestrahlung kann Whisky künstlich gealtert werden, das habe ich heute abend auch gelernt.	I have discovered this evening that whiskey can be artificially aged by irradiating it.
Sie sind zwar nicht schuld, aber ich möchte Sie trotzdem bitten, sozusagen als Überbringer einer Stimmung dieses Hauses an den zuständigen Präsidenten zu funktionieren.	It is not your fault, but I would nevertheless like you to convey the mood of this House to the President, who is responsible for this matter.
Ich beziehe mich auf Artikel 72, und zwar nicht auf den Satz, auf den Sie sich beziehen, sondern ich beziehe mich auf Artikel 72, 2c.	I am referring to Rule 72, not to the sentence that you referred to, but to Rule 72, 2c.
Da heißt es, daß Änderungsanträge nur zulässig sind, wenn sie darauf abzielen, einen Textteil abzuändern, der in dem zur ersten Lesung usw. unterbreiteten Vorschlag nicht enthalten war.	It states that amendments are only admissible if they seek to amend a part of a text which was not included in the proposal submitted in first reading, etcetera.
Nun haben hier mehrere Kollegen parteiübergreifend bestätigt, daß tatsächlich neue Teile enthalten sind, weil es in den letzten Jahren eine Entwicklung gab auf diesem Gebiet.	I have checked with various colleagues on a cross-party basis, and they agree that the text does contain new points, because there have been developments in this field in recent years.
Das, was heute existiert, gab es damals nicht, wahrscheinlich nicht mal in den kühnsten Träumen.	What we have before us today did not exist then, probably not even in people's wildest dreams.
Deswegen ist es nicht nur logisch, also möglich, sondern zwingend nötig , dazu Änderungsanträge einbringen zu dürfen.	So it is not only logical or possible, but urgently necessary to allow these amendments to be tabled.
Das haben nun alle gesagt, da gibt es überhaupt keinen Dissens.	Everyone agrees on this, there is no dissent.
Ich bitte Sie, das dem Präsidenten zu übermitteln.	Please convey this to the President.
Zweitens bitte ich Sie zu klären, was denn in einer Situation passiert, wo der Vorsitzende des Umweltausschusses kraft seines hohen Amtes und seiner Persönlichkeit beschließt, Anträge nicht zuzulassen, und dann der Präsident kraft seiner Möglichkeiten nun ganz andere Anträge nicht zuläßt.	Secondly, I would like you to clarify what happens in a situation when the chairman of the Committee on the Environment decides, by virtue of his office and personal views, not to accept amendments, and the President then refuses to admit quite different amendments by virtue of his own prerogatives.
Da gibt es eine Zwischenmenge, die nicht kohärent ist.	There is a mismatch, a lack of consistency.
Was passiert da?	What happens then?
Da gibt es ganz offensichtlich einen Kuddelmuddel zwischen diesen zwei Herren.	There is obviously a real muddle between these two gentlemen.
Ich bitte Sie, das zu klären.	I would be grateful if you could clarify this.
Was ist dann in diesem Fall sinnvoll zu tun, oder muß dann nicht nochmal ganz neu überlegt werden?	What is the right thing to do now? Do we have to have a total rethink?
Drittens: Jetzt beziehe ich mich auf Artikel 125. Darin steht, daß der Präsident letztendlich entscheidet und seine Entscheidungen unanfechtbar sind.	Thirdly, I would like to refer to Rule 125, according to which the President has the last word and his decisions cannot be contested.
Ich frage Sie ernsthaft: Gibt es eine Grenze der Unanfechtbarkeit?	I ask you seriously, is there a limit to what cannot be contested?
Gibt es eine Grenze wie Logik, Intelligenz oder Selbstverständlichkeit, wenn man nachdenkt?	For example, is there a limit such as logic, intelligence or doing the obvious?
Gibt es die, oder sind wir hier in einem Märchenstück der Gebrüder Grimm, bei des Kaisers neuen Kleidern?	Are there any such limits, or are we in that Grimm's fairy tale, the Emperor's New Clothes?
Alle sagen, Mensch, sieht der klasse aus, der Präsident hat sehr schöne Kleider, bis jemand kommt - ein kleines Kind - und sagt, der ist ja ganz nackig!	The one where everyone says, wow, he looks great, the President has got brilliant clothes, until someone comes along - a little child - and says that the President is in the altogether!
Gibt es irgendwo eine Grenze dieser Unantastbarkeit der Entscheidungen des Präsidenten?	Are there no limits to the inviolability of the President's decisions?
Das frage ich Sie, weil ich weiß, Sie sind sehr demokratisch, Herr Sitzungspräsident!	I am asking you, because I know that you are very democratic, Mr President!
