Herr Präsident! Auch ich möchte Claude Desama recht herzlich danken.	Mr President, I should also like to offer sincere thanks to Claude Desama.
Im Anschluß an das, was er vorhin gesagt hat, könnte man auch sagen: Die Ratspräsidenten kommen und gehen, aber der Berichterstatter Claude Desama bleibt.	Following on from what he said earlier, we might also say that Council presidencies come and go, but the rapporteur Claude Desama goes on forever.
Jedenfalls hat er sehr lange an diesen Dingen gearbeitet und hat sich damit in das Geschichtsbuch der europäischen Politik eingeschrieben.	He has certainly worked on these matters for a very long time and has ensured himself a place in the history books of European politics.
Unser eigentliches Problem, das wir hier haben, ist Artikel 18(2).	The real problem we have in this case is Article 18.2.
Unsere Absicht ist, daß die Kraftwärmekopplung die Möglichkeit hat, das Gas so billig wie möglich einzukaufen, das heißt als Kunde zugelassen zu sein, überall, in jedem Land.	It is our intention that it should be possible for combined heat and power to purchase gas as cheaply as possible, in other words to be accepted as a customer, everywhere, in every country.
Nun ist der Einwand, der kommt, der, daß gesagt wird: Ja nun, das stellt den Kompromiß im Rat in Frage.	Now the objection that arises is that people say: "Well now, that calls the Council compromise into question.
Die haben sich da große Mühe geben. Warum sollen wir denn das Verfahren jetzt durch eine Vermittlung verlängern?	They went to a lot of trouble in the Council, so why should we now extend the procedure by means of a process of negotiation?'
Es tut mir leid, ich kann dieses Argument nicht akzeptieren.	I am sorry, but I cannot accept this argument.
Wenn man dieses Argument nimmt, dann sind alle Vorschläge des Rates im Prinzip vernünftig, und wir können es uns relativ einfach machen.	If we accept this argument, then all proposals from the Council are reasonable as a matter of principle, and we can give ourselves a relatively easy life.
Übertragen auf die nationalen Parlamente hieße das, wenn die Regierung einen Gesetzentwurf vorschlägt, wird sie sich wohl etwas dabei gedacht haben, also muß das Parlament zustimmen.	Translating this to national Parliaments would mean that, if the government makes a legislative proposal, it clearly will have had a reason for doing so, and consequently the Parliament would have to give its agreement.
Das kann ich nicht ganz gelten lassen, wenngleich ich zugebe, daß das Verfahren damit natürlich verlängert würde.	I cannot go along with that, although I concede that the procedure will, of course, be extended as a result.
Es gibt aber von der Sache her noch einen zweiten Punkt.	But there is also a second point in relation to this matter.
Zu gleicher Zeit, da wir über diese Gasrichtlinie debattieren, hat die Kommission ein Papier, eine interessante Mitteilung zur Kraftwärmekopplung vorgelegt.	At the same time as we are debating this gas directive, the Commission has presented a paper, an interesting communication on combined heat and power.
Auch wir, das Parlament, werden - Berichterstatterin ist Frau Estevan Bolea - verlangen, daß die Kraftwärmekopplung in ihrem Beitrag innerhalb der Europäischen Union verdoppelt oder verdreifacht wird.	We, the Parliament - the rapporteur is Mrs Estevan Bolea - shall also demand that the contribution of combined heat and power within the European Union should be doubled or trebled.
Das ist ein Widerspruch, was das Parlament hier macht.	What Parliament is doing here is a contradiction.
Auf der einen Seite fordert es eine Verdoppelung oder Verdreifachung der Rolle der Kraftwärmekopplung, auf der anderen Seite scheuen wir uns, dies in unsere Richtlinie hineinzuschreiben; die dürfen ihr Gas kaufen, wo sie wollen.	On the one hand, we are calling for a doubling or trebling of the role of combined heat and power; on the other, we are afraid to write into our directive that they may buy their gas wherever they like.
Wenn wir uns so verhalten als Parlament, verlieren wir an Glaubwürdigkeit, und das ist das Schlimmste, was in der Politik passieren kann, und dafür erhalten wir da und dort in unseren Mitgliedstaaten derzeit auch eine erhebliche Strafe.	If Parliament behaves like this, we shall lose credibility. That is the worst thing that can happen in politics, and we are being severely punished for it at the moment in some places in the Member States.
Deswegen bitte ich Sie, den Antrag der Sozialisten zu unterstützen, und dann werden wir sehen, was dabei rauskommt.	That is why I ask you to support the Socialists' amendment, and then we shall see what happens.
Wir haben es ja mit vernünftigen Menschen zu tun!	After all, we are dealing with sensible people!
