Herr Präsident! Lieber Herr Kollege, nun ist es aber wirklich spät!	Mr President, it really is very late now!
Ich gestehe, ich bin müde, aber ich bin nicht zu müde, um für unsere Arbeitsplätze im Europäischen Schiffbau zu kämpfen.	I confess that I am tired, but not too tired to fight for jobs in Europe's shipbuilding industry.
In den nächsten Tagen schaut die ganze, oder wenigstens Fußball begeisterte Welt auf Japan und Südkorea.	Over the next few days the whole world - or at least its football fans - will be focussing on Japan and South Korea.
Angesichts der Situation im Schiffbau würde ich allerdings meinen Blick am liebsten abwenden von Fernost.	However, in view of the shipbuilding situation I would rather avert my gaze from the Far East.
Der Hintergrund bleibt der selbe, nämlich Dumpingpreise in koreanischen Werften.	The background remains the same - dumping prices in the Korean shipyards.
Verstärkt wird die beschriebene Wettbewerbsverzerrung, die erst jüngst wieder von einer Gemeinschaftsuntersuchung bestätigt wurde, durch die ausgelaufenen Subventionen in Europa.	The distortion in competition already described and recently confirmed in a Community report is becoming worse because of the ending of subsidies in Europe.
In der Folge schließen immer mehr maritime Industriebetriebe, und die zahlreichen Entlassungen lassen nur das eine Urteil zu: Der Europäische Schiffbau erleidet eine existenzielle Krise!	As a consequence, more and more maritime companies are closing down and the many job losses associated with this mean only one thing: the European shipbuilding industry is fighting for its life!
Was tun wir in Europa?	What are we in Europe doing?
Als Abgeordnete von der Küste wird mir diese Frage ständig gestellt.	That is what I am constantly asked as a Member for a coastal area.
Am liebsten würde ich den Betroffenen sagen, das Parlament hat seine Hausaufgaben gemacht, aber die beiden anderen Hauptakteure vernachlässigen ihre Verantwortung.	I feel like telling the people affected that Parliament has done its homework but that the other two key players are neglecting their responsibilities.
Ein kleines Summenspiel verdeutlicht meine Verärgerung.	Let me mention a few points to illustrate why I am so angry.
Wir diskutieren mittlerweile die dritte Entschließung im Parlament und haben unsere Zustimmung zu befristeten Schutzmaßnahmen längst gegeben.	We are now discussing our third resolution in this House and we gave our agreement to time-limited protection measures a long time ago.
Jedoch gibt es noch immer kein grünes Licht für die Unterstützung zugunsten der Werften.	And yet support for our shipyards has still not been given the go-ahead.
Warum?	Why?
Weil der Rat noch immer keine Übereinkunft erzielt hat und die Kommission leider noch Schiffstypen mitberücksichtigen muss, die schon Teil der WTO-Beschwerde geworden sind.	Because the Council has still not reached agreement and the Commission unfortunately still has to take into consideration types of ship that are already covered by the WTO complaint.
Daher lassen Sie mich die Kernpunkte unserer gemeinsamen Politik hier im Parlament noch einmal deutlich klarstellen.	That is why I would like to clearly restate the key points of our common policy here in Parliament.
Wir benötigen dringendst ein gemeinschaftliches Vorgehen.	We urgently need to take action at Community level.
Ein solches muss sofort durch eine WTO-Beschwerde eingeleitet werden, der Rat trifft immerhin nächste Woche zusammen, wie wir gehört haben, und das gemeinschaftliche Vorgehen muss durch vorübergehende Unterstützung zugunsten der europäischen Werften begleitet werden.	This needs to be taken immediately, in the form of a WTO complaint, and, as we have heard, the Council is meeting next week in any case. This Community action needs to go hand in hand with temporary support for Europe's shipyards.
Denn sonst befinden wir uns in einem Fußballspiel ohne komplette Hintermannschaft, um noch einmal das Bild vom Anfang zu bemühen.	Failing that, we will find ourselves playing football without a full defence, at the risk of labouring the footballing analogy.
Die Mühlen im Beschwerdeverfahren mahlen langsam. Europas Schiffbausektor aber stirbt jetzt.	The wheels of the complaint procedure turn very slowly, but meanwhile Europe's shipbuilding sector is dying.
Wir sollten den deklaratorischen Effekt der WTO-Beschwerde nicht unterbewerten, aber gleichwohl potente Sofortmaßnahmen in der Hinterhand haben.	We should not underestimate the declaratory effect of a WTO complaint, but at the same time we need to have powerful and immediate measures in reserve.
Beides fordert die Entschließung, die Ihnen vorliegt, deutlich, so dass ich auch angesichts des interfraktionellen Antrags mit einer breiten Unterstützung bei der morgigen Abstimmung rechne.	The resolution before you clearly calls for both these things, so that I expect the cross-party amendment to receive broad support in tomorrow's vote.
