im Namen der GUE/NGL-Fraktion. - Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, we must, of course, provide assistance to Greece.
Natürlich muss Griechenland geholfen werden. Aber die so genannte Rettungsaktion hat auch absurde Züge.	However, the so-called rescue operation also has some absurd elements.
Unter dem Großmachtgehabe Frankreichs und Deutschlands ist der Beschluss über das Hilfspaket sehr teuer verschleppt worden.	With France and Germany acting like great powers, the process of reaching a decision on the assistance package was very expensive and protracted.
Die Finanzmärkte sind doch seit Jahren immer weiter dereguliert worden, und jetzt wundern sich alle, dass es teuer wird.	For years, the financial markets have been increasingly deregulated and now everyone is surprised that it is expensive.
Wer soll nun die Fehler der Politik ausbaden?	Who will now pay the price for the political errors?
Die Arbeitnehmerinnen und Arbeitnehmer, die kleinen Leute?	The workers, ordinary citizens?
Nicht die Banken werden in die Pflicht genommen, sondern wieder einmal soll der Steuerzahler für die Geschäftemacherei der Banken den Kopf oder das Portemonnaie hinhalten.	Banks are not being placed under any obligation. No, once again it is the taxpayers who are to pick up the tab and dig deep in their pockets to pay for the profiteering of the banks.
Wieder einmal sollen die abhängig Beschäftigten Lohnkürzungen hinnehmen.	Once again, dependent workers are to have to accept pay cuts.
Mit dem Diktat des Internationalen Währungsfonds wird auch der Anschein eines demokratischen Entscheidungsprozesses ausgelöscht.	With the dictates from the International Monetary Fund, any semblance of a democratic decision-making process has been eliminated.
Beim Ölteppich im Golf von Mexiko wird das Verursacherprinzip eingefordert.	In the case of the oil slick in the Gulf of Mexico, application of the polluter-pays principle has been called for.
Das halte ich für richtig.	I believe that is right.
Wer nach Geld oder Gold buddelt, soll im Zweifelsfall auch für die Schäden aufkommen.	Anyone who digs for money or gold should also be responsible for the damage in cases of doubt.
Die Banken müssen im Moment - jedenfalls in Deutschland - nicht einmal die Schulden zurückzahlen, die sie aufgenommen haben und mit denen sie fröhlich gegen den Euro - ja, gegen den Euro - spekulieren.	At the moment - at least in Germany - banks do not even have to pay back the debts that they have taken on and with which they are happily speculating against the euro - yes, against the euro.
Und sie spekulieren immer noch, obwohl wir seit langem davon reden, dass etwas getan werden müsste.	Furthermore, they are still speculating, even though we have been saying for a long time that something needs to be done about this.
Vorschläge, was getan werden könnte, liegen auf dem Tisch.	Proposals for what could be done are on the table.
Ein Verbot des Handels mit Kreditderivaten und von Leerverkäufen, die Einführung einer Finanzmarkttransaktionssteuer, Sonderabgaben auf Boni in der Finanzbranche, eine gesetzlich verbindliche Banken- und Versicherungsabgabe - das alles liegt als Vorschlag auf dem Tisch.	A ban on trading credit derivatives and on short selling, the introduction of a financial market transaction tax, special levies on bonuses in the financial sector, a legally binding bank and insurance levy - all of these proposals are on the table.
Natürlich muss auch Griechenland seine Hausaufgaben machen.	Of course, Greece must also do its homework.
Wie andere Länder der Europäischen Union sollte auch Griechenland Reichtum besteuern, Korruption bekämpfen und seine Rüstungsausgaben senken.	Like other countries of the European Union, Greece should also tax wealth, combat corruption and reduce its arms expenditure.
Dazu hat Daniel Cohn-Bendit sehr überzeugend gesprochen.	Mr Cohn-Bendit has already spoken very convincingly about this.
Deshalb spare ich mir die Fakten hierzu und schließe mich seinen Ausführungen an.	I will therefore omit the facts in this regard and endorse what he said in his speech.
Ich kann Menschen verstehen, die in Athen auf die Straße gehen und protestieren.	I can understand people in Athens going out into the streets and protesting.
Was ich nicht verstehen kann, ist die Gewalt.	What I cannot understand is the violence.
Ich schließe mich allen an, die ihr Mitleid für die Opfer, die jetzt zu beklagen sind, ausgedrückt haben.	I agree with everyone who has expressed sympathy for the victims, whose suffering is most regrettable.
Gewalt bewirkt das Gegenteil von dem, was protestierende und ehrlich demonstrierende Menschen wollen.	Violence will achieve the opposite of what the protesters and honest demonstrators want.
Von hier sollte der Ruf ausgehen: Keine Gewalt!	We must call for an end to the violence.
