Herr Präsident! Was ist Transparenz?	Mr President, what is transparency?
Transparenz ist dann gewährleistet - so könnte und sollte man argumentieren -, wenn allen interessierten EU-Bürgern der Zugang zu möglichst allen Dokumenten der europäischen Institutionen gewährt würde und auch die Öffentlichkeit der Ratssitzungen gewährleistet wäre.	Transparency is guaranteed, or so one might and should argue, when as many of the European institutions' documents as possible are made accessible to all citizens of the EU with an interest in them and also when meetings of the Council are guaranteed to be open to the public.
Auf diesen banalen Satz reduziert sich das Gründungsschreiben der europäischen Transparenzinitiative, die verschiedenste Parlamentarier und Persönlichkeiten des öffentlichen Lebens in ganz Europa ins Leben gerufen haben und die gerade erst beginnt, auf der Basis der jetzt vorliegenden Verordnung 1049/2001 und der entsprechenden Anpassungen, die wir jetzt hier im Parlament vornehmen, tätig zu werden.	It is to this banal sentence that we can reduce the foundation document of the European Transparency Initiative, called into being by a very wide range of parliamentarians and people in public life across Europe and only now beginning to become effective on the basis of Regulation 1049/2001 and the adjustments which we in this Parliament are now making to it.
Wie wünschen wir uns die Transparenz? Da gibt es noch unterschiedliche Auffassungen.	There are still different conceptions of what we want transparency to be like.
Ich persönlich wünsche mir die europäische Transparenzformel als eine Mischung aus der amerikanischen und der schwedischen, also grenzenloser Zugang zu fast allem, auch kein Register, und wirklich die Möglichkeit, unsere Tätigkeit im Parlament, aber auch insbesondere dort, wo die wirklich wichtigen Entscheidungen getroffen werden, also im Rat, zu kontrollieren und permanent zu überprüfen.	I, myself, want the European transparency formula to be an American-Swedish hybrid, with unlimited access to almost everything, with not even a registry, and with a real possibility of watching over and permanently examining what we do in Parliament, and especially what is done in the Council, where the really important decisions are taken.
Dafür gibt es leider in diesem Parlament noch nicht die entsprechende Mehrheit.	This Parliament does not yet, unfortunately, have the majority required for this.
Man kann auch argumentieren: Die europäische Öffentlichkeit in ihrer Vielfalt ist noch gar nicht so weit.	It can be argued that the European public, in all its diversity, is far from ready.
Natürlich lässt sich das Argument vertreten, dass, wenn ein italienischer Bürger oder ein Österreicher einen Brief an eine der EU-Institutionen richtet, der dann gleich in ein öffentliches Register aufgenommen wird, dies etwas ist, womit er nicht gerechnet hat, und er sich anders verhalten würde, während das für einen Schweden eine Selbstverständlichkeit wäre.	There is also room for the argument that, if an Italian or Austrian citizen writes to one of the EU institutions, and his letter is promptly recorded in a public registry, he would certainly not have reckoned with that and might react differently from a Swede, who would treat it as a matter of course.
Ich denke, wir müssen trotzdem auf diesem Weg weiter vorangehen, gerade jetzt, wenn es darum geht, auch in Anbetracht der aktuellen weltweiten Vorfälle, europäische Werte zu definieren.	I think we must, in any case, carry on along this road, especially now that events around the world make the definition of European values an issue.
Transparenz gehört entschieden dazu.	Transparency is definitely one of them.
Was wir jetzt vorliegen haben, ist ein Schritt in diese Richtung.	What we now have in front of us is a step in this direction.
Von der Beschlussfassung im Ausschuss für konstitutionelle Fragen war bereits die Rede.	Mention has already been made of the deliberations in the Committee on Constitutional Affairs.
Ich würde mir wünschen, dass von den Grünen Änderungsantrag 15 noch wesentlich klarer begründet wird, als es bisher der Fall ist.	I would like the Greens to come up with a substantially clearer explanation of Amendment No 15 than has been produced to date.
Persönlich hätte ich gar kein Problem damit, im Rahmen der Haushaltskontrolle erforderliche Dokumente vorzulegen, oder auch mit dem, was am Schluss gefordert wird.	I would personally have no problem whatever with the production of necessary documents in the context of budgetary control, or indeed with what is demanded at the end.
Aber wenn es sich gegen sich selbst richtet, wäre es wegzulassen.	But if it only scores an own goal, it would be better to leave it out.
Zu Änderungsantrag 17 hat mein Kollege Cashman schon entsprechend gesprochen.	Mr Cashman has already said all that needs to be said about Amendment No 17.
Änderungsantrag 14 findet auch von unserer Fraktionsseite her die ungeteilte Zustimmung.	Amendment No 14 meets with our group's undivided approval.
Das ist eine Verbesserung.	It represents an improvement.
Auch die Streichung der Begrenzung auf "ständige" Ausschüsse im ersten Abschnitt des Änderungsantrags 15 kann man nur begrüßen.	Even the deletion of the restriction to 'permanent' committees in the first part of Amendment No 15 is only to be welcomed.
Wir müssen uns alle bewusst sein, dass es ohne Transparenz keine Demokratie geben kann.	We must all be aware that there can be no democracy without transparency.
Bis dahin haben wir noch ein gutes Stück Arbeit vor uns.	We still have plenty of work to do before that is achieved.
