Frau Präsidentin, Frau Kommissarin! Wir befinden uns in einer sehr komplizierten Situation.	Madam President, Commissioner, we find ourselves in a very complicated situation.
Es ist weder undurchschaubar, was sich im Sudan abspielt, noch ist es überraschend, so dass wir erst die Entwicklung abwarten müssen.	What is going on in Sudan is neither so incomprehensible nor so surprising that we need to wait to see what happens.
Hier findet seit Jahrzehnten ein Krieg gegen die Bevölkerung des Südsudans statt.	A war against the people of southern Sudan has been going on there for decades.
Hier gibt es eine humanitäre Katastrophe durch genozidale Politik des Herrn al-Baschir und es gibt Millionen von Vertriebenen, die um ihr Leben ringen, und zwar nicht seit Wochen, sondern seit Monaten und Jahren.	This is a humanitarian disaster brought about by the genocidal policy of Mr al-Bashir. Millions of people have been displaced and are struggling to survive and they have been in this situation for months or years rather than for weeks.
Das ist die eine Seite.	That is one side of the coin.
Auf der anderen Seite ist es richtig, dass wir es mit einer Lage zu tun haben, in der wir die humanitären Organisationen nicht in ihrer Arbeit gefährden dürfen.	On the other side, it is true that we are involved in a situation in which we must not jeopardise the work of the humanitarian organisations.
Wir müssen ihre Sorgen und Nöte schon ernst nehmen.	We must take their concerns and needs seriously.
Also welchen Weg sollten wir gehen?	Which way should we go, then?
Wir müssen uns an den Fakten orientieren.	We must be guided by the facts.
Zu den Fakten gehört, dass Herr al-Baschir diesen Druck auf die humanitären Organisationen ganz gezielt ausübt.	The facts are that Mr al-Bashir is quite deliberately exerting this pressure on the humanitarian organisations.
Wer seinen demonstrativen Auftritt gesehen hat, seinen höhnischen Tanz bei dieser Aktion gegen die humanitären Organisationen und bei seinen Demonstrationen, der weiß: Er provoziert ganz bewusst.	Anyone who has seen his demonstrative performance, his mocking dance in this action against the humanitarian organisations and in his demonstrations knows that he is quite intentionally being provocative.
Wir dürfen uns nicht provozieren lassen.	We must not allow ourselves to be provoked.
Wir dürfen aber auch nicht einfach plötzlich schweigen, wie das manche Kollegen wollen.	However, neither must we simply shut up, as many fellow Members would like.
Das würde den Diktator auch nicht beeindrucken.	That would not impress the dictator either.
Deshalb schlage ich vor, dass wir die drei Ziffern 2, 5 und 6 aus der Entschließung herausnehmen und den Rest so wie vorgesehen verabschieden.	I therefore suggest that we remove the three paragraphs 2, 5 and 6 from the resolution and adopt the remainder as proposed.
