Herr Präsident, Frau Kommissarin!	, draftsperson of the opinion of the Committee on Regional Policy, Transport and Tourism.
Danke schön, Herr Glante, auch für Ihre Bemühungen, diesen Bericht in dieser Form zu verfassen, und danke für Ihre Ausführungen.	Mr President, Commissioner, thank you also, Mr Glante, for your efforts at producing this report in this form, and thank you for what you have said.
Auf den PPE-Vorschlag, den Sie nicht mittragen können, wird Herr Radwan als Ihr Schattenberichterstatter noch eingehen.	Mr Radwan, in his capacity as your shadow rapporteur, will further enlarge on the PPE proposal that you feel unable to support.
Seit mehreren Jahren beschäftigt sich Europa nun mit einem eigenen Satellitennavigationssystem, allerdings ist es nur ein Wunsch.	Having its own satellite navigation system has been one of Europe's concerns for many years now, but it exists only as an aspiration.
Bisher ist es noch zu keiner Entscheidung gekommen.	No decision on it has as yet been reached.
Ausgerechnet bei Galileo wird alles tausendfach abgewägt, jeder Euro dreimal umgedreht, während in anderen Bereichen der europäische Geldbeutel viel lockerer sitzt.	It is in connection with Galileo, of all things, that everything is weighed in the balance a thousand times over, every euro is examined closely, whereas in other areas the European purse-strings are much looser.
Verschieben und vertagen, zögern und zaudern, das ist mein Vorwurf an die Mitgliedstaaten, das ist es, was auch von Galileo beim europäischen Bürger hängen bleiben könnte.	What I reproach the Member States for is the way they delay and defer, hang back and hesitate, and that is what could stick in the minds of Europe's citizens.
Das ist es auch, was Europas Image zu werden droht, wenn wir nicht aufpassen!	That is also what Europe's image threatens to become if we are not careful.
Ich aber möchte ein modernes Europa, technologisch am Ball, wortwörtlich weltweit an der Spitze.	I, however, want Europe to be modern, technologically on the ball, quite literally the worldwide Number One.
Hier kann Europa seine Trümpfe ausspielen: Das sind Wirtschaftskraft, Innovationsfähigkeit, technologische Kapazitäten und Visionen.	This is where Europe can play its trump cards - economic strength, a talent for innovation, technological capacity and vision.
Ich möchte hier keine apokalyptischen Vorhersagen treffen, aber ich bin überzeugt, dass Europa ohne Galileo auf einem wichtigen Sektor seine Position vollständig verlieren und so weit zurückfallen wird, dass letztendlich ein Aufholen unmöglich werden wird.	I do not want to make apocalyptic predictions, but I am convinced that, without Galileo, Europe could completely lose its position in an important sector and will fall back so far that it will, at the end of the day, be quite impossible for it to catch up.
Wenn wir es nicht schaffen, Galileo zu starten und endlich die Türen für neue Technologien zu öffnen, wenn wir es nicht schaffen, die dazu nötigen Mittel bereitzustellen, dann werden wir ausgelacht auf der ganzen Welt und im All.	If we do not manage to get Galileo started and at last open the doors to new technologies, if we do not manage to make the necessary funds available, then we will become a laughing-stock across the world, and in outer space as well.
Warum ich Ihnen das vortrage?	Why am I telling you this?
Wir brauchen jetzt endlich ein klares Ja zu Galileo und eine Wettbewerbsalternative zu GPS!	We need now, at last, a resounding 'yes' to Galileo and a competitive alternative to GPS!
Der Rat wollte Galileo unter Beteiligung der Industrie zum frühestmöglichen Zeitpunkt.	The Council wanted industry involved in Galileo as early as possible.
Die Kommission hat einen Vorschlag unterbreitet, den das Parlament auf Herz und Nieren geprüft hat. Es gab und gibt massive Kritik am Vorschlag von unterschiedlichen Seiten, und ich denke, es gab vielleicht auch auf Seiten der Kommission Versäumnisse.	The Commission submitted a proposal which Parliament put to the acid test, and which received - and still receives - severe criticism from different sides, and I do think there were omissions on the Commission's side as well.
Wir haben in den Ausschüssen einige Problembereiche identifiziert.	Our Committees have identified a number of problem areas.
Die Beteiligung der Industrie am gemeinsamen Unternehmen - ob direkt oder in der Fördergesellschaft - darf aber nicht so hoch gehängt werden, dass dies zum Scheitern von Galileo führt.	Industry involvement in the Joint Undertaking - whether direct or via the development company - must not, though, be made so hard to reach that Galileo's failure becomes a possible result.
Europa braucht Galileo, oder wie die Kommission es in ihrer Information beschreibt: Galileo ist unverzichtbar für Europa!	Europe needs Galileo, or, as the Commission puts it in its information note, Galileo is indispensable to Europe.
Deshalb hoffe ich auf eine klare Stimme des Parlaments und morgen auf eine breite Mehrheit.	That is why I hope Parliament will speak with a clear voice and that there will be a large majority tomorrow.
