Herr Präsident! Wunderwaffen haben noch nie das gehalten, was sie versprochen haben.	Mr President, miracle weapons have never lived up to their reputation.
Das war schon in der Antike so, aber auch in der deutschen Mythologie.	This was so in the ancient world, but it is also the case in German mythology.
Ein, zwei Beispiele von vielen zeigen das sehr deutlich.	One or two examples of the many show this clearly.
Die Achillesferse hat sich in einem echten Belastungstest nicht wirklich als standhaft erwiesen, und auch Wunderwaffen in unserem Jahrhundert haben sich als Schimäre erwiesen, zum Glück für Europa und für die Demokratie in der Europäischen Union.	When tested, the Achilles heel did not really prove to be strong, and even miracle weapons in our century proved to be an illusion, which is fortunate for Europe and for democracy in the European Union.
So gesehen ist es gut, daß die vermeintliche Wunderwaffe verstärkte Zusammenarbeit, von der sich manche vor Beginn der letzten Regierungskonferenz von Turin soviel versprochen haben, in Amsterdam nicht wirklich gezündet wurde.	In this respect, it is good that the supposed miracle weapon of closer cooperation, of which some promised so much prior to the beginning of the last Turin Intergovernmental Conference, was not actually launched in Amsterdam.
So gesehen ist es gut, daß der sehr nüchterne und gerade deshalb so gute Bericht Frischenschlager den begrenzten Anwendungsbereich und die begrenzte Effizienz und Wünschbarkeit dieser neuen Form variabler Geometrie in aller Deutlichkeit zeigt.	In this respect, it is good that Mr Frischenschlager's very sensible report - and it is for that reason that it is such a good one - shows with great clarity the limited scope and the limited efficiency and desirability of this new form of variable geometry.
Verstärkte Zusammenarbeit in europäischer Form mit einem unverzichtbaren Aufgabenbereich auch für die Kommission, mit demokratischer Beteiligung des Europäischen Parlaments, mit rechtsstaatlicher Kontrolle durch den Gerichtshof ist unverzichtbar.	Closer cooperation in its European form with a compulsory field of activities for the Commission also, with democratic participation of the European Parliament, and with constitutional control by the Court of Justice is essential.
Alles andere wäre letztlich schädlich gewesen.	Anything else would have been detrimental, after all.
Daher ist mit dem Bericht Frischenschlager festzuhalten: Der mühselige Prozeß europäischer Entscheidungsfindung in der oder zumindest nach dem Modell der ersten Säule ist durch nichts zu ersetzen.	The main point made by the Frischenschlager report, therefore, is that the laborious process of European decision-making in the first pillar, or at least in accordance with the first pillar, cannot be replaced.
Abkürzungen dieses mühseligen Dialogs, kurze, einfache Wege zu großen neuen europäischen Lösungen gibt es nicht und wird es nicht geben.	Shortened forms of this laborious dialogue, short, simple ways to achieve great new European solutions do not and will not exist.
Daher halten wir noch einmal fest: Nur bei den Galliern, bei Asterix und Obelix, funktioniert der Zaubertrank.	This is why we should remember that the magic potion only works for the Gauls, for Asterix and Obelix.
Die Europäer hingegen sind aufgerufen, sich jeden Tag aufs Neue unser gemeinsames Europa mühselig zu erarbeiten.	We Europeans, on the other hand, are required to recreate our common Europe laboriously each day.
Nicht stehenbleiben ist dabei das alleinige zielführende Rezept, und wir haben heute morgen in der Debatte über die österreichische Präsidentschaft gehört, wie dieses Rezept immer wieder angesprochen wurde.	The only formula which leads to success is to never stand still, and we heard in the debate this morning on the Austrian presidency how this formula is used again and again.
Wir müssen unser gemeinsames Europa gemeinsam erarbeiten.	We must build our common Europe together.
