Herr Präsident, meine Damen und Herren!	Mr President, ladies and gentlemen, thanks are due to both our rapporteurs.
An die beiden Berichterstatter ein außerordentlicher Dank! Ich habe schon einige Berichte gemacht, aber eine solch gute Zusammenarbeit, fachlich fundiert und kameradschaftlich vorgetragen, habe ich bisher noch nicht erlebt!	I have drafted quite a few reports in my time, but I have never before experienced such a good level of cooperation, producing work with such solid technical foundations, which has been presented in such a comradely spirit!
Seit mehr als zwei Jahren, seitdem die Kommission ihren Richtlinienvorschlag vorgelegt hat, wird über die Einführung sauberer Kraftstoffe in Europa diskutiert.	For more than two years, since the Commission tabled its draft directive, the introduction of clean fuels has been under discussion in Europe.
Das Europäische Parlament hat sich zweimal hierzu geäußert und dabei klar und deutlich gesagt, um was es geht.	Parliament has given its views on two occasions, clearly stating what is at stake.
Saubere Kraftstoffe tragen unmittelbar zu einer Verringerung der Luftverschmutzung bei.	Clean fuels directly contribute to reducing air pollution.
Saubere Kraftstoffe ermöglichen den Einsatz moderner Motorentechnologie, die ebenfalls zu einer deutlichen Senkung des Kraftstoffverbrauchs führen wird.	Clean fuels allow modern technology to be used in car engines, which will likewise lead to a substantial reduction in fuel consumption.
Wir erinnern uns: Einige wollten das nicht so recht hinnehmen und haben im Laufe der Verhandlungen steif und fest behauptet, die Vorstellungen des Europäischen Parlaments seien nicht realisierbar und viel zu teuer.	It will be remembered that several people were rather unwilling to accept this, and obstinately declared during the course of the negotiations that Parliament's aspirations were unfeasible and far too expensive.
Heute hören wir mit Genugtuung, daß einige Mineralölunternehmen bereits ab dem Jahr 2000 neue Kraftstoffe auf den Markt bringen wollen, die den Spezifikationen entsprechen, so wie sie nach dem Vermittlungsergebnis im Jahre 2005 Norm sein sollen.	Today, it gives us great satisfaction to hear that several oil companies want to put new fuels on the market as early as the year 2000, fuels which meet the specifications of the 2005 standard as they stand following conciliation.
Offenbar zeigt das gute Vermittlungsergebnis zwischen Rat und Parlament bereits Wirkung, bevor es überhaupt in Kraft tritt.	Obviously, the positive outcome of the conciliation is already bearing fruit, even before entering into force.
Das Ergebnis der Vermittlungen ist gut.	The result of the conciliation is a good one.
Vor allem ist es der Delegation des Europäischen Parlaments gelungen, zwei wichtige Aspekte durchzusetzen.	Above all, the Parliament delegation has managed to gain acceptance of two important proposals.
Die Spezifikationen für das Jahr 2005 sind nicht nur Richtwerte, sie sind verbindlich.	The specifications for the year 2005 are not mere indicative values; they are mandatory.
Es ist außerdem möglich, strenge Spezifikationen auch früher einzuführen, und wie wir eben gehört haben, ist das schon geplant.	In addition, it is also possible to phase in more stringent specifications earlier and, as we have just heard, there are already plans to do so.
Wenn es auch sicher positiv zu werten ist, daß sich die Ratspräsidentschaften schon um die Verkündung dieses Vermittlungsergebnisses gestritten haben, so darf uns so etwas nicht wieder passieren, daß wir in Zeitnot geraten und einige Dinge dann doch unter den Tisch fallen lassen, nur um ein Ergebnis hervorzubringen.	The fact that the Council presidencies vied with each other to announce the result of the conciliation can certainly be regarded in a positive light, but even so, this sort of thing should not happen again: if we run short of time, we should not allow some issues to be dropped from the agenda just for the sake of producing a result.
Denn der Anteil von Schmierfilm im Kraftstoff von 30 ppm ist immer noch ein Ziel, das wir anstreben sollten, wobei es die Entwicklung moderner Technologien sicherlich nicht behindern wird, wenn wir jetzt 50 ppm festgelegt haben.	A proportion of 30 ppm of lubricant film in fuel is still a target we should be aiming for, and our specifying 50 ppm at this stage will certainly not delay the development of modern technologies.
Denn schließlich ist das der obere Grenzwert, und niemand wird daran gehindert, bessere Kraftstoffe anzubieten.	That is the upper limit value, after all, and there is nothing to stop people providing better fuels.
Die Automobilindustrie ist nun gefordert, die Reduzierung der CO2 -Emissionen in Europa einzuleiten.	The motor vehicle industry is now being asked to lead the way in reducing CO2 emissions in Europe.
Daß dies im Wege einer freiwilligen Vereinbarung geschehen soll, hat dieses Parlament bereits mehrfach kritisch zur Kenntnis genommen.	That it should do so by means of a voluntary agreement is something which Parliament has already criticised on several occasions.
Es geht dabei nicht so sehr um die Frage, ob die nun angebotenen 120 g CO2 /km ausreichend sind - ich glaube, damit kann man leben -, sondern es geht darum, daß mir die Transparenz des ganzen Verfahrens etwas dürftig erscheint.	This is not so much because we are questioning whether the 120 g CO2 /km now on the table is sufficient - I think we can live with that - but because the whole procedure seems to me to be rather lacking in transparency.
Wir sollten uns im klaren sein, daß eine solche Vereinbarung ein ordentliches Gesetzgebungsverfahren ersetzt, also den Erlaß einer Richtlinie im Wege des Mitentscheidungsverfahrens.	We should be aware that such an agreement is replacing a proper legislative procedure, i.e. the adoption of a directive by codecision.
Ich bin skeptisch, ob dieser europaweite Test für freiwillige Vereinbarungen im Rahmen der CO2 -Senkungen zum Erfolg führt.	I am rather sceptical about whether this Europe-wide test of voluntary agreements will be successful in terms of CO2 reductions.
Alle Beteiligten sollten sich darüber im klaren sein, was auf dem Spiel steht.	All those involved should realise what is at stake here.
Sollte es notwendig werden, steuerliche Maßnahmen zur Erreichung der vereinbarten Ziele einzuführen, ist für mich dieser Weg gescheitert.	If it became necessary to take fiscal measures to reach the targets we have agreed, then I would consider this method to have failed.
Auch wenn wir im Rahmen des monitoring die Möglichkeit der gesetzgeberischen Zusammenarbeit haben, sollten wir klar machen, daß solche freiwilligen Vereinbarungen im Umweltbereich nur Ausnahmen sein dürfen.	Even though we have the possibility of cooperating by adopting legislation on monitoring, we should make it clear that voluntary agreements of this kind should be the exception where the environment is concerned.
