. – Herr Präsident, Herr Kommissar!	.
Lassen Sie mich zunächst dem Berichterstatter meinen ausdrücklichen und aufrichtigen Dank aussprechen. Normalerweise mache ich so etwas nicht, weil ich denke, dass es die Aufgabe eines Berichterstatters oder einer Berichterstatterin ist, eine anständige Arbeit abzuliefern, und für Selbstverständlichkeiten muss man sich nicht bedanken.	Mr President, Commissioner, let me start by expressing my heartfelt thanks to the rapporteur, something that I do not normally do, believing as I do that the function of a rapporteur is to deliver a proper job of work and that thanks are not called for when things are done as a matter of course.
Aber dies hier ist nun doch eine wirklich komplizierte Angelegenheit gewesen. Unser Kollege Seppänen hat das ganz ausgezeichnet gemacht.	This has, though, indeed been a really complex business, and one that Mr Seppänen has handled outstandingly well.
Das war ja nicht der Anfang der Debatte. Wir und verschiedene andere Kolleginnen und Kollegen kennen uns ja schon aus dem vergangenen Parlament aus der ersten Lesung, wo all dies schon sehr kompliziert war.	The debate has not, of course, only just started; we and a number of other Members already know each other from the previous Parliament and were there for the first reading, which was already complicated enough.
Nun hat der Rat viele der Dinge, die wir in der ersten Lesung zunächst im Streit diskutiert und dann entschieden haben, im Parlament mit aufgenommen, und man kann eigentlich zufrieden sein.	The Council has now joined Parliament in adopting many of the things that we debated at first reading stage – initially with some acrimony – and then accepted, and we can actually be content with that.
Aber wie das eben so ist: Neues Parlament, neue Leute, neue Ideen, neue Vorschläge.	It just so happens, though, that new parliaments bring with them new people, with new ideas and new proposals.
Natürlich kamen die neuen Kolleginnen und Kollegen mit ihren neuen Ideen, und es war schwierig, diese dann unterzubringen, weil ja weitgehend schon ein Kompromiss mit dem Rat erzielt worden war.	Our new Members did, of course, have new ideas, and the fact that a compromise had very largely already been reached with the Council meant that it was very difficult to take these on board.
Der Kollege Seppänen, von dem ich weiß, dass er sowohl bereits für den Vorschlag der Kommission war als auch den Ratsstandpunkt ohne großartige Änderungen von uns beschließen lassen wollte, hat also die Interessen des Parlaments ausdrücklich und gut vertreten und in den Verhandlungen mit dem Rat auch durchgesetzt.	I know that Mr Seppänen was already in favour of our adopting the Commission proposal and the Council position without significant amendment, and so he has done a good job of getting Parliament’s interests across and successfully negotiating their acceptance by the Council.
Aber lassen Sie mich zur Sache kommen: Wir wollen ja nicht Wettbewerb um des Wettbewerbs willen, weder auf den Energiemärkten noch auf den anderen Märkten. Doch wir wissen auch, dass der Wettbewerb eigentlich das geeignete Instrument ist, um die Effizienzgewinne eines gemeinsamen Marktes wirklich ausschöpfen zu können.	I will come to the point, though: neither on the energy market nor any other do we want competition for the sake of it, but we are well aware that competition is in fact a suitable means whereby a common market’s efficiency gains really can be maximised.
Für diesen gemeinsamen Markt und um diese Effizienzgewinne ausschöpfen zu können, brauchen wir die Öffnung der nationalen Teilmärkte hin zu einem integrierten Energiebinnenmarkt. Dies erfordert einen transparenten und diskriminierungsfreien Zugang zu den Netzen.	This common market and the exploitation of these efficiency gains demand that we open up the national market segments and turn them into a single internal market in energy, and hence require transparent and discrimination-free access to the networks.
Ergänzend zur Binnenmarktrichtlinie von 2003 zur vollständigen Öffnung der Gasmärkte soll die vorliegende Verordnung aus unserer Sicht Regelungen für den Erlass präzisierender, detaillierter und verbindlicher Leitlinien beinhalten.	We see this Regulation as making provision for the enactment of more specific, detailed and binding guidelines, thereby complementing the 2003 internal market directive on the complete opening-up of the gas markets.
Gegenstand dieser Verordnung sollen unter anderem klarere Transparenzanforderungen sein, auch dass Netzbetreiber Dienstleistungen an Dritte für deren Zugang zum Netz anbieten sowie insbesondere klarere Strukturen bei den Entgelten, also Entgeltstruktur.	Among other things, this Regulation is meant to bring in more explicit requirements with regard to transparency, also requiring network operators to offer third parties services providing access to the network and, in particular, less ambiguous structures for tariffs.
Gerade diese Entgeltstruktur ist essentiell für den transparenten und diskriminierungsfreien Zugang für Wettbewerber bei der Netznutzung, denn solche Netze sind nun einmal natürliche Monopole, und wir können sie eigentlich nur durch einen regulierten Zugang in den Griff bekommen sowie transparent und diskriminierungsfrei machen.	It is this tariff structure that is essential if competitors are to enjoy transparent and discrimination-free access when using the networks, for such networks are monopolistic by nature, and it is only by regulating access to them that we will be able to get them under control and make them transparent and non-discriminatory.
Deswegen war es wichtig – ich will diesen Fall herausheben –, dass wir neben den vielen Punkten, die wir schon durchgesetzt haben, noch einmal den gemeinsamen Standpunkt bei der Entgeltstruktur präzisieren.	That is why it was important, in one instance that I want to draw to your particular attention, for us to again tighten up the common position on the tariff structure, having already got many other points accepted.
Es reicht eben nicht aus, relativ abstrakt Anreize in Bezug auf Effizienzen bei der Festlegung von Tarifen sicherzustellen.	The fact is that it is not sufficient to ensure that the tariffs laid down include relatively abstract efficiency incentives.
Der Maßstab für die Tarife sind die Kosten eines effizienten und strukturell vergleichbaren Netzbetreibers, und dieses Kriterium, das wir als Parlament für den grenzüberschreitenden Stromhandel entwickelt und durchgesetzt habe, ist auch für die Gasnetze geeignet.	Tariffs must be measured against the benchmark of the costs of an efficient network operator with a comparable structure; this is what this House devised and got accepted for cross-border trade in electricity, and it is also suited to the gas networks.
Insofern sollte sich dafür im Haus breite Zustimmung finden.	That being so, it should be generally supported in the House.
