Hohes Parlament!	.
Ich freue mich sehr, als Vorsitzender des Rates Präsident Josep Borrell, Sie, meine Damen und Herren Parlamentarier, und die Mitglieder der Kommission wieder begrüßen zu können!	Mr President, ladies and gentlemen, I am very pleased to be able, in my capacity as President of the Council, to again greet you, Mr President Borrell, you, honourable Members, and you, Members of the Commission.
Ich habe jetzt meinen zweiten Auftritt vor Ihnen, und Sie erinnern sich vielleicht an das, was ich am Anfang der österreichischen Präsidentschaft versprochen habe, nämlich dass wir nicht eine Präsidentschaft mit unseren eigenen Themen, Wünschen und Sehnsüchten machen wollen, sondern eine Teampräsidentschaft anbieten, innerhalb der wir mit Ihnen, dem demokratisch gewählten Europäischen Parlament, mit der Kommission und natürlich auch mit den Mitgliedstaaten sehr gut zusammenarbeiten wollen.	I am now appearing before you for the second time, and you will perhaps recall the promise I made at the beginning of the Austrian Presidency, to the effect that we did not want this to be a presidency characterised by our own themes, aspirations and desires, but that we wanted to offer you a team presidency, one that would see us working very well together with you, the democratically-elected European Parliament, with the Commission, and – of course – with the Member States too.
Wir können diese gigantische Aufgabe, das Vertrauen der Bürger wiederzugewinnen, nur gemeinsam lösen, und wir müssen die großen Aufgaben, die nur Europa lösen kann, gemeinsam angehen.	Regaining the confidence of the people is a massive task, and it is one that we can accomplish only together, and it is together that we must address the great issues that Europe alone can resolve.
Wir müssen uns dabei aller Institutionen bedienen.	In so doing, we must make use of all the institutions.
Es hat keinen Sinn, wenn die eine Institution auf die andere zeigt oder sie kritisiert.	There is no point in one institution pointing the finger at another or criticising it.
Wir sitzen in einem Boot und müssen gemeinsam fest rudern, damit wir an Tempo gewinnen und unser Ziel erreichen können.	We are all in the same boat and must keep a firm hold of the oars and row together if we are to gain speed and be able to reach our destination.
Ich glaube, dass Sie auch beurteilen können, dass wir uns von Anfang an um dieses Miteinander innerhalb einer Teampräsidentschaft bemüht haben.	I believe that you too can see that we have, from the very outset, tried to establish this collaborative approach within a team presidency.
Ohne große Ankündigungen haben wir in den vergangenen Wochen und Monaten auch einiges an Lösungen gemeinsam mit Ihnen und der Kommission erreichen können.	Without making much fanfare about it, the past weeks and months have seen us, together with you and the Commission, able to achieve quite a few solutions.
Ich möchte Ihnen zunächst kurz über den Europäischen Rat berichten.	I would like to start by giving you a brief report on the European Council.
Wir haben uns vor einem Jahr unter luxemburgischem Vorsitz vorgenommen, einen neuen Impuls für die Lissabon-Strategie für Wachstum und Beschäftigung zu setzen. Es genügt nicht, rhetorisch-wolkige Formeln zu finden, sondern wir brauchen Resultate und Aktionen im Sinne von Schuman, der einst gesagt hat: Europa wird nicht an einem Tag gebaut.	A year ago, under Luxembourg’s Presidency, we set ourselves the task of giving the Lisbon Strategy for growth and employment new impetus.
