Herr Präsident! Der Alltag hat uns wieder.	Mr President, we are back to the usual routine.
Erneut wurde bei einem Gipfel erklärt, Beschäftigung habe oberste Priorität.	Once again a summit has declared that employment is the top priority.
Erneut wurde nichts aus den vom Parlament erwarteten neuen Akzenten in der Koordinierung der Währungs- und Wirtschaftspolitik.	Once again nothing has come of the new emphasis Parliament had expected to be put on coordinating economic and monetary policy.
Die Empfehlung, zusätzliche quantifizierbare Zielvorlagen und Fristen auf nationaler Ebene festzulegen, ist löblich.	The recommendation that additional, quantifiable objectives and timetables should be laid down at national level is commendable.
Konkrete Vereinbarungen aber gibt es nicht.	But there are no concrete agreements.
Eine Ausnahme, Herr Kommissar Fischler, ist die Europäische Kommission.	One exception, Mr Fischler, is the European Commission.
Jacques Santer hat gesagt: Programme, die da sind, werden gebündelt.	Mr Santer said that existing programmes will be packaged together.
Wir werden sie ausrichten auf den ESF und die Beschäftigung.	We will target them at the ESF and at employment.
Das ist nun in der Tat ein europäischer Mehrwert, eine wichtige Initiative.	That is indeed a European added value, a major initiative.
Ob allerdings der Beschäftigungspakt auf europäischer Ebene kommt, was die Deutschen bis März verwirklichen sollen, ist höchst fraglich.	Yet it is highly questionable whether we will obtain the employment pact at European level which the Germans are to achieve by March.
Die neue Bundesregierung versucht auf nationaler Ebene, diesen Pakt herbeizupredigen, Ergebnisse aber sind Mangelware.	The new German Government is endeavouring to preach the virtues of this package at national level, but with little result.
Der in seinem Amt und erst recht auf europäischer Ebene unerfahrene Kanzler Schröder baut bereits vor, wenn er meint, man dürfe die Erwartungen an die deutsche Ratspräsidentschaft nicht überziehen.	Chancellor Schröder, who is inexperienced in office, and particularly so at European level, is providing against the future by saying that we must not place too high hopes in the German Presidency.
In einem hat der österreichische Außenminister recht, als er zur Außen- und Sicherheitspolitik - das gilt aber auch für die Beschäftigung - sagte, es muß da noch vieles verbessert werden.	The Austrian Foreign Minister is right on one point, when he said that much improvement is still needed in relation to foreign and security policy - something which also applies to employment.
Dem können wir nichts hinzufügen.	There is nothing further we can add.
